sgc_code,name,province
1001,Division No. 1,NL
1002,Division No. 2,NL
1003,Division No. 3,NL
1004,Division No. 4,NL
1005,Division No. 5,NL
1006,Division No. 6,NL
1007,Division No. 7,NL
1008,Division No. 8,NL
1009,Division No. 9,NL
1010,Division No. 10,NL
1011,Division No. 11,NL
1101,Kings,PE
1102,Queens,PE
1103,Prince,PE
1201,Shelburne,NS
1202,Yarmouth,NS
1203,Digby,NS
1204,Queens,NS
1205,Annapolis,NS
1206,Lunenburg,NS
1207,Kings,NS
1208,Hants,NS
1209,Halifax,NS
1210,Colchester,NS
1211,Cumberland,NS
1212,Pictou,NS
1213,Guysborough,NS
1214,Antigonish,NS
1215,Inverness,NS
1216,Richmond,NS
1217,Cape Breton,NS
1218,Victoria,NS
1301,Saint John,NB
1302,Charlotte,NB
1303,Sunbury,NB
1304,Queens,NB
1305,Kings,NB
1306,Albert,NB
1307,Westmorland,NB
1308,Kent,NB
1309,Northumberland,NB
1310,York,NB
1311,Carleton,NB
1312,Victoria,NB
1313,Madawaska,NB
1314,Restigouche,NB
1315,Gloucester,NB
2401,Communauté maritime des Îles-de-la-Madeleine,QC
2402,Le Rocher-Percé,QC
2403,La Côte-de-Gaspé,QC
2404,La Haute-Gaspésie,QC
2405,Bonaventure,QC
2406,Avignon,QC
2407,La Matapédia,QC
2408,La Matanie,QC
2409,La Mitis,QC
2410,Rimouski-Neigette,QC
2411,Les Basques,QC
2412,Rivière-du-Loup,QC
2413,Témiscouata,QC
2414,Kamouraska,QC
2415,Charlevoix-Est,QC
2416,Charlevoix,QC
2417,L'Islet,QC
2418,Montmagny,QC
2419,Bellechasse,QC
2420,L'Île-d'Orléans,QC
2421,La Côte-de-Beaupré,QC
2422,La Jacques-Cartier,QC
2423,Québec,QC
2425,Lévis,QC
2426,La Nouvelle-Beauce,QC
2427,Robert-Cliche,QC
2428,Les Etchemins,QC
2429,Beauce-Sartigan,QC
2430,Le Granit,QC
2431,Les Appalaches,QC
2432,L'Érable,QC
