sgc_code,name,csd_type,province
1001105,Portugal Cove South,T,NL
1001113,Trepassey,T,NL
1001120,St. Shott's,T,NL
1001126,Cape Broyle,T,NL
1001131,Renews-Cappahayden,T,NL
1001136,Fermeuse,T,NL
1001140,Port Kirwan,T,NL
1001144,Aquaforte,T,NL
1001149,Ferryland,T,NL
1001169,St. Vincent's-St. Stephen's-Peter's River,T,NL
1001174,Gaskiers-Point La Haye,T,NL
1001178,St. Mary's,T,NL
1001181,Riverhead,T,NL
1001186,Admirals Beach,T,NL
1001192,St. Joseph's,T,NL
1001197,Mount Carmel-Mitchells Brook-St. Catherine's,T,NL
1001207,Colinet,T,NL
1001219,Branch,T,NL
1001225,Point Lance,T,NL
1001228,St. Bride's,T,NL
1001240,Placentia,T,NL
1001254,Fox Harbour,T,NL
1001263,Long Harbour-Mount Arlington Heights,T,NL
1001267,Southern Harbour,T,NL
1001270,Arnold's Cove,T,NL
1001274,Come By Chance,T,NL
1001277,Sunnyside,T,NL
1001281,Chance Cove,T,NL
1001285,Norman's Cove-Long Cove,T,NL
1001289,Chapel Arm,T,NL
1001298,Whitbourne,T,NL
1001308,Whiteway,T,NL
1001312,Heart's Delight-Islington,T,NL
1001316,Heart's Desire,T,NL
1001325,Heart's Content,T,NL
1001328,New Perlican,T,NL
1001332,Winterton,T,NL
1001335,Hant's Harbour,T,NL
1001343,Old Perlican,T,NL
1001347,Bay de Verde,T,NL
1001352,Small Point-Adam's Cove-Blackhead-Broad Cove,T,NL
1001361,Salmon Cove,T,NL
1001365,Victoria,T,NL
1001370,Carbonear,T,NL
1001375,Bryant's Cove,T,NL
1001379,Harbour Grace,T,NL
1001385,Upper Island Cove,T,NL
1001394,Bishop's Cove,T,NL
1001396,Spaniard's Bay,T,NL
1001409,Bay Roberts,T,NL
1001426,North River,T,NL
1001429,Clarke's Beach,T,NL
1001434,South River,T,NL
1001437,Cupids,T,NL
1001446,Brigus,T,NL
1001456,Colliers,T,NL
1001461,Conception Harbour,T,NL
1001464,Avondale,T,NL
1001469,Harbour Main-Chapel's Cove-Lakeview,T,NL
1001472,Holyrood,T,NL
1001485,Conception Bay South,T,NL
1001494,Wabana,T,NL
1001504,Portugal Cove-St. Philip's,T,NL
1001505,Pouch Cove,T,NL
1001507,Flatrock,T,NL
1001509,Torbay,T,NL
1001511,Logy Bay-Middle Cove-Outer Cove,T,NL
1001512,Bauline,T,NL
1001517,Paradise,T,NL
1001519,St. John's,CY,NL
1001542,Mount Pearl,CY,NL
1001551,Petty Harbour-Maddox Cove,T,NL
1001557,Bay Bulls,T,NL
1001559,Witless Bay,T,NL
1002002,Lewin's Cove,T,NL
1002005,Burin,T,NL
1002008,St. Lawrence,T,NL
1002011,Lawn,T,NL
1002012,Lamaline,T,NL
1002013,Lord's Cove,T,NL
1002014,Point May,T,NL
1002015,Point au Gaul,T,NL
1002017,Frenchman's Cove,T,NL
1002018,Fortune,T,NL
1002019,Grand Bank,T,NL
1002021,Garnish,T,NL
1002023,Winterland,T,NL
1002024,Marystown,T,NL
1002025,Fox Cove-Mortier,T,NL
1002027,Bay L'Argent,T,NL
1002030,Grand Le Pierre,T,NL
1002033,Rushoon,T,NL
1002034,Parkers Cove,T,NL
1002036,Terrenceville,T,NL
1002037,Red Harbour,T,NL
1002039,English Harbour East,T,NL
1002040,Baine Harbour,T,NL
1002041,St. Bernard's-Jacques Fontaine,T,NL
1002055,Little Bay East,T,NL
1003002,Rencontre East,T,NL
1003003,St. Jacques-Coomb's Cove,T,NL
1003004,Belleoram,T,NL
1003005,Pool's Cove,T,NL
1003008,Harbour Breton,T,NL
1003010,Seal Cove (Fortune Bay),T,NL
1003011,Hermitage-Sandyville,T,NL
1003012,Gaultois,T,NL
1003018,Milltown-Head of Bay d'Espoir,T,NL
1003019,St. Alban's,T,NL
1003020,Morrisville,T,NL
1003026,Ramea,T,NL
1003028,Burgeo,T,NL
1003032,Isle aux Morts,T,NL
1003033,Burnt Islands,T,NL
1003034,Channel-Port aux Basques,T,NL
1003045,Rose Blanche-Harbour le Cou,T,NL
1004013,St. George's,T,NL
1004017,Gallants,T,NL
1004018,Stephenville Crossing,T,NL
1004019,Stephenville,T,NL
1004020,Kippens,T,NL
1004021,Port au Port East,T,NL
1004033,Cape St. George,T,NL
1004037,Lourdes,T,NL
1004042,Port au Port West-Aguathuna-Felix Cove,T,NL
1005004,Deer Lake,T,NL
1005005,Jackson's Arm,T,NL
1005006,Howley,T,NL
1005008,Hampden,T,NL
1005009,Reidville,T,NL
1005011,Steady Brook,T,NL
1005012,Pasadena,T,NL
1005014,Cormack,T,NL
1005015,Gillams,T,NL
1005017,Massey Drive,T,NL
1005018,Corner Brook,CY,NL
1005020,Humber Arm South,T,NL
1005022,McIvers,T,NL
1005023,Cox's Cove,T,NL
1005024,Lark Harbour,T,NL
1005025,Meadows,T,NL
1005028,Hughes Brook,T,NL
1005030,Irishtown-Summerside,T,NL
1005033,Mount Moriah,T,NL
1005035,York Harbour,T,NL
1006003,Norris Arm,T,NL
1006009,Gander,T,NL
1006011,Appleton,T,NL
1006012,Glenwood,T,NL
1006015,Northern Arm,T,NL
1006017,Grand Falls-Windsor,T,NL
1006019,Bishop's Falls,T,NL
1006021,Peterview,T,NL
1006022,Botwood,T,NL
1006026,Badger,T,NL
1006028,Millertown,T,NL
1006031,Buchans,T,NL
1007013,Clarenville,T,NL
1007015,Trinity (Trinity Bay),T,NL
1007016,Port Rexton,T,NL
1007020,Elliston,T,NL
1007022,Trinity Bay North,T,NL
1007023,Bonavista,T,NL
1007025,Keels,T,NL
1007026,Duntara,T,NL
1007027,King's Cove,T,NL
1007032,Musgravetown,T,NL
1007036,Port Blandford,T,NL
1007037,Traytown,T,NL
1007039,Sandy Cove,T,NL
1007040,Terra Nova,T,NL
1007041,Happy Adventure,T,NL
1007042,Eastport,T,NL
1007043,Sandringham,T,NL
1007044,Glovertown,T,NL
1007046,Salvage,T,NL
1007047,Gambo,T,NL
1007048,St. Brendan's,T,NL
1007049,Hare Bay,T,NL
1007050,Centreville-Wareham-Trinity,T,NL
1007054,Greenspond,T,NL
1007057,Dover,T,NL
1007060,New-Wes-Valley,T,NL
1007067,Indian Bay,T,NL
1008004,Lumsden,T,NL
1008006,Musgrave Harbour,T,NL
1008011,Carmanville,T,NL
1008024,Change Islands,T,NL
1008029,Crow Head,T,NL
1008032,Cottlesville,T,NL
1008033,Summerford,T,NL
1008035,Twillingate,T,NL
1008037,Campbellton,T,NL
1008038,Birchy Bay,T,NL
1008039,Comfort Cove-Newstead,T,NL
1008040,Baytona,T,NL
1008043,Embree,T,NL
1008044,Lewisporte,T,NL
1008045,Little Burnt Bay,T,NL
1008047,Point of Bay,T,NL
1008048,Leading Tickles,T,NL
1008049,Point Leamington,T,NL
1008053,Pilley's Island,T,NL
1008054,Triton,T,NL
1008055,Brighton,T,NL
1008056,Lushes Bight-Beaumont-Beaumont North,T,NL
1008059,South Brook,T,NL
1008060,Robert's Arm,T,NL
1008061,Springdale,T,NL
1008062,Port Anson,T,NL
1008063,Little Bay,T,NL
1008064,Little Bay Islands,T,NL
1008066,Beachside,T,NL
1008069,King's Point,T,NL
1008070,Nippers Harbour,T,NL
1008071,Burlington,T,NL
1008072,Middle Arm,T,NL
1008073,Tilt Cove,T,NL
1008075,Fleur de Lys,T,NL
1008076,LaScie,T,NL
1008077,Brent's Cove,T,NL
1008078,Pacquet,T,NL
1008079,Baie Verte,T,NL
1008091,Seal Cove (White Bay),T,NL
1008092,Coachman's Cove,T,NL
1008093,Westport,T,NL
1008095,Ming's Bight,T,NL
1008096,Woodstock,T,NL
1008098,Miles Cove,T,NL
1008099,Fogo Island,T,NL
1009004,Englee,T,NL
1009007,Roddickton-Bide Arm,T,NL
1009008,Conche,T,NL
1009010,Trout River,T,NL
1009011,"Woody Point, Bonne Bay",T,NL
1009012,Norris Point,T,NL
1009013,Rocky Harbour,T,NL
1009015,Daniel's Harbour,T,NL
1009016,Cow Head,T,NL
1009017,Parson's Pond,T,NL
1009018,Hawke's Bay,T,NL
1009019,Port Saunders,T,NL
1009020,St. Pauls,T,NL
1009022,Port au Choix,T,NL
1009023,Anchor Point,T,NL
1009024,Flower's Cove,T,NL
1009026,Bird Cove,T,NL
1009028,Main Brook,T,NL
1009029,St. Anthony,T,NL
1009030,Glenburnie-Birchy Head-Shoal Brook,T,NL
1009032,St. Lunaire-Griquet,T,NL
1009034,Cook's Harbour,T,NL
1009035,Raleigh,T,NL
1009037,Sally's Cove,T,NL
1009039,Goose Cove East,T,NL
1009042,Bellburns,T,NL
1009048,River of Ponds,T,NL
1010002,L'Anse au Loup,T,NL
1010003,Red Bay,T,NL
1010004,L'Anse-au-Clair,T,NL
1010005,Forteau,T,NL
1010006,West St. Modeste,T,NL
1010007,Pinware,T,NL
1010009,Port Hope Simpson,T,NL
1010010,St. Lewis,T,NL
1010011,Mary's Harbour,T,NL
1010012,"Cartwright, Labrador",T,NL
1010013,Charlottetown (Labrador),T,NL
1010022,North West River,T,NL
1010025,Happy Valley-Goose Bay,T,NL
1010032,Labrador City,T,NL
1010034,Wabush,T,NL
1011010,Rigolet,T,NL
1011015,Postville,T,NL
1011020,Makkovik,T,NL
1011030,Hopedale,T,NL
1011035,Nain,T,NL
1101002,Murray Harbour,RM,PE
1101003,Murray Harbour,FD,PE
1101004,Murray River,RM,PE
1101005,"Murray River, Part 1",FD,PE
1101020,Cardigan,FD,PE
1101025,Central Kings,FD,PE
1101027,Central Kings,RM,PE
1101030,Annandale - Little Pond - Howe Bay,RM,PE
1101033,Souris West,RM,PE
1101035,Souris,FD,PE
1101036,Souris,T,PE
1101037,St. Peters,FD,PE
1101040,Eastern Kings,RM,PE
1101043,Morell,FD,PE
1101044,St. Peters Bay,RM,PE
1101045,Three Rivers,T,PE
1101048,Morell,RM,PE
1101052,"East River, Part 2",FD,PE
1102002,Belfast,RM,PE
1102003,"Murray River, Part 2",FD,PE
1102005,Montague,FD,PE
1102010,Crossroads,FD,PE
1102011,Hazelbrook,RM,PE
1102013,Alexandra,RM,PE
1102015,Johnstons River,FD,PE
1102016,Vernon River,FD,PE
1102017,New Glasgow,FD,PE
1102018,"Crapaud, Part 1",FD,PE
1102019,North Rustico,FD,PE
1102020,North Wiltshire,RM,PE
1102021,Hampshire,RM,PE
1102022,Kingston,RM,PE
1102032,Victoria,RM,PE
1102034,Crapaud,RM,PE
1102035,Darlington,RM,PE
1102037,Clyde River,RM,PE
1102040,Miltonvale Park,RM,PE
1102043,Hunter River,RM,PE
1102045,"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico",RMU,PE
1102046,North Rustico,T,PE
1102050,Union Road,RM,PE
1102051,Breadalbane,RM,PE
1102055,Brackley,RM,PE
1102059,Mount Stewart,RM,PE
1102061,York,RM,PE
1102064,"East River, Part 1",FD,PE
1102066,"Kensington, Part 2",FD,PE
1102067,North Shore,RM,PE
1102068,West River,RM,PE
1102069,Winsloe North,FD,PE
1102070,Warren Grove,RM,PE
1102071,New London,FD,PE
1102072,North River,FD,PE
1102073,North Shore,FD,PE
1102075,Charlottetown,CY,PE
1102080,Stratford,T,PE
1102085,Cornwall,T,PE
1103002,Borden,FD,PE
1103003,Kinkora,FD,PE
1103004,"Crapaud, Part 2",FD,PE
1103005,Borden-Carleton,T,PE
1103007,Malpeque Bay,RM,PE
1103008,Kinkora,RM,PE
1103014,Kensington,T,PE
1103015,Bedeque and Area,RM,PE
1103018,Sherbrooke,RM,PE
1103020,Wellington,FD,PE
1103021,Tyne Valley,FD,PE
1103022,St. Nicholas,RM,PE
1103023,Linkletter,RM,PE
1103024,Miscouche,RM,PE
1103025,Summerside,CY,PE
1103027,Abram-Village,RM,PE
1103029,Wellington,RM,PE
1103033,Tyne Valley,RM,PE
1103039,Lot 11 and Area,RM,PE
1103040,Miscouche,FD,PE
1103042,O'Leary,T,PE
1103043,Central Prince,RM,PE
1103050,Northport,RM,PE
1103052,Alberton,T,PE
1103053,St. Felix,RM,PE
1103055,Greenmount-Montrose,RM,PE
1103057,St. Louis,RM,PE
1103059,Tignish,T,PE
1103060,Tignish Shore,RM,PE
1103061,Tignish,FD,PE
1103062,Miminegash,RM,PE
1103063,Miminegash,FD,PE
1103064,Alberton,FD,PE
1103065,O'Leary,FD,PE
1103066,West Point,FD,PE
1103067,"Kensington, Part 1",FD,PE
1103068,Victoria,FD,PE
1201001,Barrington,MD,NS
1201004,Clark's Harbour,T,NS
1201006,Shelburne,MD,NS
1201008,Shelburne,T,NS
1201009,Lockeport,T,NS
