cog_id,name,gov_type,state,county_area_name
100001,COUNTY OF AUTAUGA,county,AL,AUTAUGA
100002,COUNTY OF BUTLER,county,AL,BUTLER
100004,COUNTY OF CHILTON,county,AL,CHILTON
100005,COUNTY OF CONECUH,county,AL,CONECUH
100006,COUNTY OF DALE,county,AL,DALE
100010,COUNTY OF JACKSON,county,AL,JACKSON
100012,COUNTY OF LAWRENCE,county,AL,LAWRENCE
100014,COUNTY OF MARION,county,AL,MARION
100015,COUNTY OF PICKENS,county,AL,PICKENS
100018,COUNTY OF WASHINGTON,county,AL,WASHINGTON
100019,CITY OF PRATTVILLE,municipality,AL,AUTAUGA
100020,CITY OF GULF SHORES,municipality,AL,BALDWIN
100021,CITY OF CLIO,municipality,AL,BARBOUR
100023,TOWN OF WEST BLOCTON,municipality,AL,BIBB
100024,TOWN OF CLEVELAND,municipality,AL,BLOUNT
100025,CITY OF ANNISTON,municipality,AL,CALHOUN
100026,CITY OF LAFAYETTE,municipality,AL,CHAMBERS
100027,TOWN OF MAPLESVILLE,municipality,AL,CHILTON
100028,TOWN OF SILAS,municipality,AL,CHOCTAW
100029,TOWN OF FRUITHURST,municipality,AL,CLEBURNE
100032,TOWN OF KINSTON,municipality,AL,COFFEE
100035,CITY OF SHEFFIELD,municipality,AL,COLBERT
100037,TOWN OF GOODWATER,municipality,AL,COOSA
100040,TOWN OF HEATH,municipality,AL,COVINGTON
100041,CITY OF BABBIE,municipality,AL,COVINGTON
100042,TOWN OF DOZIER,municipality,AL,CRENSHAW
100045,TOWN OF GARDEN CITY,municipality,AL,CULLMAN
100046,TOWN OF BAILEYTON,municipality,AL,CULLMAN
100047,TOWN OF PINCKARD,municipality,AL,DALE
100048,CITY OF SELMA,municipality,AL,DALLAS
100051,TOWN OF GERALDINE,municipality,AL,DEKALB
100052,TOWN OF SHILOH,municipality,AL,DEKALB
100053,TOWN OF DEATSVILLE,municipality,AL,ELMORE
100054,TOWN OF RIVERVIEW,municipality,AL,ESCAMBIA
100055,CITY OF SOUTHSIDE,municipality,AL,ETOWAH
100056,CITY OF RUSSELLVILLE,municipality,AL,FRANKLIN
100058,TOWN OF EUTAW,municipality,AL,GREENE
100059,TOWN OF MOUNDVILLE,municipality,AL,HALE
100060,TOWN OF ASHFORD,municipality,AL,HOUSTON
100062,TOWN OF KINSEY,municipality,AL,HOUSTON
100063,TOWN OF PAINT ROCK,municipality,AL,JACKSON
100065,TOWN OF HYTOP,municipality,AL,JACKSON
100066,CITY OF FULTONDALE,municipality,AL,JEFFERSON
100068,TOWN OF DETROIT,municipality,AL,LAMAR
100074,TOWN OF ARDMORE,municipality,AL,LIMESTONE
100075,TOWN OF BENTON,municipality,AL,LOWNDES
100077,TOWN OF SHORTER,municipality,AL,MACON
100081,TOWN OF TRIANA,municipality,AL,MADISON
100083,CITY OF LINDEN,municipality,AL,MARENGO
100086,CITY OF CHICKASAW,municipality,AL,MOBILE
100089,CITY OF SATSUMA,municipality,AL,MOBILE
100090,TOWN OF BEATRICE,municipality,AL,MONROE
100091,CITY OF MONTGOMERY,municipality,AL,MONTGOMERY
100094,TOWN OF TRINITY,municipality,AL,MORGAN
100095,TOWN OF MEMPHIS,municipality,AL,PICKENS
100096,CITY OF TROY,municipality,AL,PIKE
100099,CITY OF CALERA,municipality,AL,SHELBY
100100,TOWN OF VINCENT,municipality,AL,SHELBY
100101,TOWN OF EPES,municipality,AL,SUMTER
100102,TOWN OF BON AIR,municipality,AL,TALLADEGA
100105,TOWN OF NEW SITE,municipality,AL,TALLAPOOSA
100106,TOWN OF LAKE VIEW,municipality,AL,TUSCALOOSA
100107,TOWN OF BROOKWOOD,municipality,AL,TUSCALOOSA
100108,CITY OF DORA,municipality,AL,WALKER
100110,TOWN OF KANSAS,municipality,AL,WALKER
100111,TOWN OF OAKMAN,municipality,AL,WALKER
100112,TOWN OF CHATOM,municipality,AL,WASHINGTON
100113,TOWN OF MCINTOSH,municipality,AL,WASHINGTON
100114,TOWN OF PINE APPLE,municipality,AL,WILCOX
100115,TOWN OF YELLOW BLUFF,municipality,AL,WILCOX
100116,TOWN OF DOUBLE SPRINGS,municipality,AL,WINSTON
100117,PRATTVILLE HOUSING AUTHORITY,special_district,AL,AUTAUGA
100121,COWIKEE WATER AUTHORITY,special_district,AL,BARBOUR
100122,BAKERHILL WATER AUTHORITY,special_district,AL,BARBOUR
100123,BIBB COUNTY HEALTH CARE AUTHORITY,special_district,AL,BIBB
100124,BLOUNT COUNTY SOIL AND WATER CONSERVATION DISTRICT,special_district,AL,BLOUNT
100125,FRANKLIN FIELD BULLOCK COUNTY AIRPORT AUTHORITY,special_district,AL,BULLOCK
100126,BUTLER COUNTY SOIL CONSERVATION DISTRICT,special_district,AL,BUTLER
100127,CALHOUN COUNTY WATER AND FIRE PROTECTION AUTHORITY,special_district,AL,CALHOUN
100128,CHEROKEE COUNTY SOIL CONSERVATION DISTRICT,special_district,AL,CHEROKEE
100129,CHILTON WATER AUTHORITY,special_district,AL,CHILTON
100131,ASHLAND HOUSING AUTHORITY,special_district,AL,CLAY
100132,HEFLIN HOUSING AUTHORITY,special_district,AL,CLEBURNE
100133,NORTH ALABAMA GAS DISTRICT,special_district,AL,COLBERT
100135,SOUTHEAST ALABAMA GAS DISTRICT,special_district,AL,COVINGTON
100136,BRANTLEY HOUSING AUTHORITY,special_district,AL,CRENSHAW
100137,JOPPA HULACO AND RYAN WATER AUTHORITY,special_district,AL,CULLMAN
100138,DALEVILLE CITY HOUSING AUTHORITY,special_district,AL,DALE
100139,DALLAS COUNTY WATER AND SEWER AUTHORITY,special_district,AL,DALLAS
100140,DE KALB COUNTY HOSPITAL ASSOCIATION,special_district,AL,DEKALB
100141,RUHAMA FIRE PROTECTION AUTHORITY,special_district,AL,DEKALB
100143,ETOWAH COUNTY SOIL AND WATER CONSERVATION DISTRICT,special_district,AL,ETOWAH
100144,TILLISON BEND WATER AUTHORITY,special_district,AL,ETOWAH
100145,WEST ETOWAH COUNTY WATER AUTHORITY,special_district,AL,ETOWAH
100147,RUSSELLVILLE HOUSING AUTHORITY,special_district,AL,FRANKLIN
100148,FRANKLIN COUNTY SOIL AND WATER CONSERVATION DISTRICT,special_district,AL,FRANKLIN
100149,GENEVA COUNTY NATURAL GAS DISTRICT,special_district,AL,GENEVA
100150,SAMSON HOUSING AUTHORITY,special_district,AL,GENEVA
100151,GREENSBORO CITY HOUSING AUTHORITY,special_district,AL,HALE
100152,HOUSTON COUNTY HEALTH CARE AUTHORITY,special_district,AL,HOUSTON
100153,HOUSTON COUNTY SOIL AND WATER CONSERVATION DISTRICT,special_district,AL,HOUSTON
100154,SCOTTSBORO CITY HOUSING AUTHORITY,special_district,AL,JACKSON
100155,TARRANT HOUSING AUTHORITY,special_district,AL,JEFFERSON
100156,BESSEMER HOUSING AUTHORITY,special_district,AL,JEFFERSON
100159,VERNON CITY HOUSING AUTHORITY,special_district,AL,LAMAR
100161,EAST LAUDERDALE COUNTY WATER AND FIRE PROTECTION AUTHORITY,special_district,AL,LAUDERDALE
100162,OPELIKA CITY HOUSING AUTHORITY,special_district,AL,LEE
100164,STAR-MINDINGALL WATER AUTHORITY,special_district,AL,MACON
100165,HUNTSVILLE MADISON COUNTY MARINA AND PORT AUTHORITY,special_district,AL,MADISON
100166,MARENGO COUNTY SOIL CONSERVATION DISTRICT,special_district,AL,MARENGO
100167,BEAR CREEK HOUSING AUTHORITY,special_district,AL,MARION
100168,ALBERTVILLE HOUSING AUTHORITY,special_district,AL,MARSHALL
100169,ASBURY WATER AUTHORITY,special_district,AL,MARSHALL
100171,ST ELMO IRVINGTON WATER AUTHORITY,special_district,AL,MOBILE
100172,MONTGOMERY AIRPORT AUTHORITY,special_district,AL,MONTGOMERY
100173,MORGAN COUNTY SOIL AND WATER CONSERVATION DISTRICT,special_district,AL,MORGAN
100175,UNIONTOWN HOUSING AUTHORITY,special_district,AL,PERRY
100176,TROY CITY HOUSING AUTHORITY,special_district,AL,PIKE
100177,RANDOLPH COUNTY WATER SEWER AND FIRE PROTECTION AUTHORITY,special_district,AL,RANDOLPH
100178,COOK SPRINGS WATER AUTHORITY INC,special_district,AL,ST CLAIR
100179,RAGLAND HOUSING AUTHORITY,special_district,AL,ST CLAIR
100180,COLUMBIANA TOWN HOUSING AUTHORITY,special_district,AL,SHELBY
100182,CHILDERSBURG HOUSING AUTHORITY,special_district,AL,TALLADEGA
100184,EAST ALABAMA MENTAL HEALTH CENTER,special_district,AL,TALLAPOOSA
100185,ALEXANDER CITY HOUSING AUTHORITY,special_district,AL,TALLAPOOSA
100186,DCH HEALTH CARE AUTHORITY,special_district,AL,TUSCALOOSA
100187,SUMITON HOUSING AUTHORITY,special_district,AL,WALKER
100188,WASHINGTON COUNTY SOLID WASTE AUTHORITY,special_district,AL,WASHINGTON
100190,WINSTON COUNTY SOIL CONSERVATION DISTRICT,special_district,AL,WINSTON
100191,BALDWIN COUNTY SCHOOL DISTRICT,school_district,AL,BALDWIN
100192,ONEONTA CITY SCHOOL DISTRICT,school_district,AL,BLOUNT
100193,PIEDMONT CITY SCHOOL DISTRICT,school_district,AL,CALHOUN
100194,CHOCTAW COUNTY SCHOOL DISTRICT,school_district,AL,CHOCTAW
100195,COOSA COUNTY SCHOOL DISTRICT,school_district,AL,COOSA
100196,SELMA CITY SCHOOL DISTRICT,school_district,AL,DALLAS
100197,DOTHAN CITY SCHOOL DISTRICT,school_district,AL,HOUSTON
100198,FAIRFIELD CITY SCHOOL DISTRICT,school_district,AL,JEFFERSON
100199,ATHENS CITY SCHOOL DISTRICT,school_district,AL,LIMESTONE
100200,PICKENS COUNTY SCHOOL DISTRICT,school_district,AL,PICKENS
100201,ST CLAIR COUNTY SCHOOL DISTRICT,school_district,AL,ST CLAIR
100202,SHELBY COUNTY SCHOOL DISTRICT,school_district,AL,SHELBY
100203,SYLACAUGA CITY SCHOOL DISTRICT,school_district,AL,TALLADEGA
100204,TALLADEGA COUNTY SCHOOL DISTRICT,school_district,AL,TALLADEGA
100205,TALLAPOOSA COUNTY SCHOOL DISTRICT,school_district,AL,TALLAPOOSA
100206,JASPER CITY SCHOOL DISTRICT,school_district,AL,WALKER
100207,HALEYVILLE CITY SCHOOL DISTRICT,school_district,AL,WINSTON
100208,BOROUGH OF FAIRBANKS NORTH STAR,county,AK,FAIRBANKS NORTH STAR BOROUGH
100212,CITY OF NUNAPITCHUK,municipality,AK,BETHEL CENSUS AREA
100214,CITY OF EEK,municipality,AK,BETHEL CENSUS AREA
100215,CITY OF NEW STUYAHOK,municipality,AK,DILLINGHAM CENSUS AREA
100216,CITY OF FAIRBANKS,municipality,AK,FAIRBANKS NORTH STAR BOROUGH
100218,CITY OF SAXMAN,municipality,AK,KETCHIKAN-GATEWAY BOROUGH
100219,CITY OF SELAWIK,municipality,AK,NORTHWEST ARCTIC BOROUGH
100220,CITY OF LARSEN BAY,municipality,AK,KODIAK ISLAND BOROUGH
100221,CITY OF BREVIG MISSION,municipality,AK,NOME CENSUS AREA
100222,CITY OF KOYUK,municipality,AK,NOME CENSUS AREA
100223,CITY OF STEBBINS,municipality,AK,NOME CENSUS AREA
100224,CITY OF POINT HOPE,municipality,AK,NORTH SLOPE BOROUGH
100226,CITY OF COFFMAN COVE,municipality,AK,PRINCE OF WALES-HYDER CENSUS AREA
100227,CITY OF HOONAH,municipality,AK,HOONAH-ANGOON CENSUS AREA
100228,CITY OF CORDOVA,municipality,AK,CHUGACH CENSUS AREA
100229,CITY OF EMMONAK,municipality,AK,KUSILVAK CENSUS AREA
100230,CITY OF KUPREANOF,municipality,AK,PETERSBURG BOROUGH
100231,CITY OF ALLAKAKET,municipality,AK,YUKON-KOYUKUK CENSUS AREA
100233,CITY OF BETTLES,municipality,AK,YUKON-KOYUKUK CENSUS AREA
