gov_id,gov_name,gov_type,country,state,place_geoid,county_fips,sgc_code,nces_lea_id,cog_id,aliases,source,evidence
,County of Sussex,county,us,,,,,,,"Abbotsford|Aberdeen|Ac Transit|Ada County Highway District|Albany Common|Arizona Supreme Court|Ashland|Beach Cities Health District|Bellefonte Borough|Brighton|Bruce County|Cal-ICMA|Caledonia Township|California|Cambridge|Central Valley Flood Protection Board|City of Al|City of Bangor|City of Beaverton|City of Bellevue|City of Belmont|City of Beverly Hills|City of Cambridge|City of Carson|City of Clinton|City of Cottage Grove|City of Crestview|City of Dallas|City of Dearborn|City of Derby|City of Duncan Town|City of Easton|City of Edina|City of Evanston|City of Evansville|City of Everett|City of Farmington|City of Fremont|City of Fullerton|City of Greenville|City of Gridley|City of Gulfport|City of Hamilton|City of Hartford|City of Hawarden|City of Hawthorne|City of Hot Springs, Arkansas Government|City of Houston|City of Irvine|City of Lake Forest|City of Lake Forest""|City of Lakeland|City of Lancaster|City of Langford|City of Las Vegas|City of Lees Summit|City of Lincoln|City of Lockport|City of London|City of Longview|City of Marion|City of Mesa|City of Middletown|City of Midland|City of Millersburg|City of Mission|City of Nampa|City of Nelson|City of New Carlisle|City of New Franklin|City of Newton|City of Niagara Falls|City of Palo Alto Amending Section|City of Pasadena|City of Phoenix|City of Plano|City of Pleasant Hill|City of Plymouth|City of Portage|City of Racine|City of Richmond|City of Saint Paul|City of San Marcos|City of Sandy|City of Saratoga Springs|City of Sb""|City of Sitka|City of St. George|City of St. Marys|City of Stockton|City of Umatilla|City of Vernon|City of Verona|City of Victoria|City of Walker|City of Walnut|City of Waverly|City of Wayne|City of White Rock|City of Williamsburg|City of Woodland|City, MA|Clearview|Clearwater County|Clinton|Coaldale|Cofs|Cook County Forest Preserve District|Corpus Christi ISD|County of Adams|County of Carroll|County of Clark|County of Elgin|County of Lake|County of Sedgwick|County of Sussex|Covington|Cumberland Town Council|Cvr D|DC Water &amp; Sewer Authority|Draper|Duncan|Eastvale|Edmonton|Edwards Aquifer Authority|ElPaso County Colorado|Fairfield|Fremont|Fulton|Fulton County|Greenwich Community Television|Halifax|Hamden Action NOW|Hamilton|Harrison|High Plains Underground Water Conservation District No. 1|Holden|Hopkins|Howard County|Howard County Council|Huron Township|IEUA|Irvington|Jackson|Jefferson Parish|Jurupa Area Recreation and Park District|KSAT 12|Kendall County|King|LOSSAN - OCTA|La|La Center|La Usd|Lake County Illinois|Langford|Leduc County|Leeds1000Islands|Lethbridge County|Lexington-Fayette Urban County Government|Lincoln|Llbc|Long Island Power Authority|MCS|MLGW|Malvern Borough|Mason County|Meeting Portal|Metra Railroad|Metrolink|Minneapolis Public Schools|Mission|Modesto Irrigation District|Montgomery County|Morrisville|Mountain View County|Mw Rd|New Boston|New Brighton|Norfolk County|North Bay|North Bay By|Northern Dakota County|Northern Rockies Regional Municipality|Notl|Nsb|Ny State Assembly|Oakdale|Oneinvestmentprogram|Open Publica|Oregon Metro Council|Park County|Pasadena Community College|Pawtucket City Council|Pcb Gov|Peters Township|Phoenix|Pontiac|Port Hope|Prescott|Ps C, FL|Regional Transportation Authority (Chicago)|Richland Center Wisconsin|Ride Uta|Rmwb|Roosevelt|S Fw, MD|SLRD|Salem|Saline County|Salisbury|San Diego County Retirement Association|Santee|Scituate Town Council|Sd57|Sonoma County Library|South Coast Water District|South Florida Water Management District|South Kingstown School Committee|Southern California Association of Governments|St|State of Nevada Public Utilities Commission|Stratford Ad|Subtitles County|Sulphur|Summit Planning|Syosset School District|TV, NY|The City of Hilliard|The City of Spokane Valley|The Maryland-National Capital Park & Planning Commission|The Town of Redcliff|Town of Bancroft|Town of Berlin|Town of Chapel Hill|Town of Creston|Town of Gilbert|Town of Lincoln|Town of Oliver|Town of Paradise|Town of Princeton|Town of Ross California|Town of Shelburne|Town of Sidney|Town of Voluntown, CT- Government|Town of Woodside|Townofws|Township of Mapleton|Township of Newtown|Twpec|Unknown Jurisdiction|Vermilion|Village of Irvington|Village of Northfield|WB|Walton County|Washington|Washington Suburban Sanitary Commission|Watertown|West County Wastewater|West Warwick Town Council|Westfield|Wilmot|qathet Regional District|the Town of Perth",unresolved,no state for 'County of Sussex'
ca:cd:1202,Yarmouth,county,ca,NS,,,1202,,,"Town of Yarmouth, NS",ca_cd.csv,
ca:cd:3518,Durham,county,ca,ON,,,3518,,,"Durham Region, ON",ca_cd.csv,
ca:cd:3521,Peel,county,ca,ON,,,3521,,,"Peel Region, ON",ca_cd.csv,
ca:cd:3523,Wellington,county,ca,ON,,,3523,,,"County of Wellington|County of Wellington, ON",ca_cd.csv,
ca:cd:3530,Waterloo,county,ca,ON,,,3530,,,"Region Of Waterloo, ON",ca_cd.csv,
ca:cd:3532,Oxford,county,ca,ON,,,3532,,,"Oxford County, ON",ca_cd.csv,
ca:cd:3537,Essex,county,ca,ON,,,3537,,,"County of Essex|County of Essex, ON",ca_cd.csv,
ca:cd:3539,Middlesex,county,ca,ON,,,3539,,,County of Middlesex,ca_cd.csv,
ca:cd:5929,Sunshine Coast,county,ca,BC,,,5929,,,"Sunshine Coast Regional District, BC",ca_cd.csv,
