vocabulary,token_or_bigram,kind,positives,negatives,lift,weight
hub_firstparty,agendas,path,125,246,15.463,2.738
hub_firstparty,agendacenter,path,281,714,11.965,2.482
hub_firstparty,meetings,path,70,186,11.481,2.441
hub_firstparty,commissioners,path,34,92,11.327,2.427
hub_firstparty,supervisors,path,12,40,9.374,2.238
hub_firstparty,council,path,116,426,8.296,2.116
hub_firstparty,mayor,path,24,102,7.259,1.982
hub_firstparty,calendar,path,83,439,5.77,1.753
hub_firstparty,boards,path,45,246,5.606,1.724
hub_firstparty,minutes,path,104,603,5.259,1.66
hub_firstparty,commission,path,25,160,4.825,1.574
hub_firstparty,commissions,path,29,196,4.559,1.517
hub_firstparty,city,path,105,909,3.523,1.259
hub_firstparty,meeting,path,30,273,3.387,1.22
hub_firstparty,board,path,66,766,2.635,0.969
hub_firstparty,aspx,path,50,597,2.567,0.943
hub_firstparty,government,path,136,2107,1.967,0.677
hub_firstparty,town,path,23,424,1.681,0.52
hub_firstparty,committees,path,10,191,1.665,0.51
hub_firstparty,index,path,64,1386,1.413,0.346
hub_firstparty,events,path,16,382,1.31,0.27
hub_firstparty,center,path,11,277,1.259,0.23
hub_firstparty,county,path,22,555,1.23,0.207
hub_firstparty,agenda,path,20,609,1.021,0.021
hub_firstparty,and,path,54,1758,0.941,-0.061
hub_firstparty,php,path,100,3529,0.865,-0.145
hub_firstparty,html,path,16,602,0.832,-0.184
hub_firstparty,public,path,14,834,0.528,-0.639
hub_firstparty,departments,path,29,3007,0.298,-1.211
hub_firstparty,services,path,12,1904,0.199,-1.613
hub_firstparty_bigram,board-commissioners,path,14,8,51.809,3.948
hub_firstparty_bigram,council-index,path,17,12,42.519,3.75
hub_firstparty_bigram,public-meetings,path,11,15,22.533,3.115
hub_firstparty_bigram,board-supervisors,path,10,15,20.574,3.024
hub_firstparty_bigram,agendas-minutes,path,79,119,20.205,3.006
hub_firstparty_bigram,agendas-and,path,12,23,16.155,2.782
hub_firstparty_bigram,city-council,path,73,144,15.448,2.737
hub_firstparty_bigram,government-board,path,18,42,13.22,2.582
hub_firstparty_bigram,and-minutes,path,11,32,10.747,2.375
hub_firstparty_bigram,calendar-aspx,path,27,79,10.506,2.352
hub_firstparty_bigram,minutes-php,path,12,39,9.611,2.263
hub_firstparty_bigram,government-city,path,34,141,7.405,2.002
hub_firstparty_bigram,boards-commissions,path,20,97,6.386,1.854
hub_firstparty_bigram,government-agendas,path,11,69,5.025,1.614
hub_firstparty_bigram,government-boards,path,14,127,3.454,1.24
hub_firstparty_bigram,index-php,path,59,1211,1.492,0.4
meeting_firstparty,doctype,path,12,0,29642.347,7.0
meeting_firstparty,viewmeeting,path,12,0,29642.347,7.0
meeting_firstparty,onbaseagendaonline,path,10,49,251.511,5.527
meeting_firstparty,meetings,path,14,186,92.185,4.524
meeting_vendor,clip,path,2073,0,12097.369,7.0
meeting_vendor,mediaplayer,path,1022,0,5965.546,7.0
meeting_vendor,meetinginformation,path,330,0,1928.228,7.0
meeting_vendor,splitview,path,281,0,1642.348,7.0
meeting_vendor,meetingtemplateid,path,174,0,1018.081,6.926
meeting_vendor,legifile,path,92,0,539.67,6.291
meeting_vendor,mediaposition,path,91,0,533.836,6.28
meeting_vendor,rel,path,89,0,522.168,6.258
meeting_vendor,cssclass,path,84,0,492.996,6.201
meeting_vendor,mediahttps,path,59,0,347.139,5.85
meeting_vendor,doctype,path,56,0,329.637,5.798
meeting_vendor,viewmeeting,path,56,0,329.637,5.798
meeting_vendor,watch,path,2937,27,311.603,5.742
meeting_vendor,frame,path,90,1,176.001,5.17
meeting_vendor,legid,path,21,0,125.437,4.832
meeting_vendor,publish,path,21,0,125.437,4.832
meeting_vendor,controls,path,20,0,119.603,4.784
meeting_vendor,mediafileformat,path,17,0,102.1,4.626
meeting_vendor,minutesid,path,16,0,96.266,4.567
meeting_vendor,dsp,path,14,0,84.597,4.438
meeting_vendor,vod,path,13,0,78.763,4.366
meeting_vendor,enablejsapi,path,13,0,78.763,4.366
meeting_vendor,tab,path,63,2,74.095,4.305
meeting_vendor,pmn,path,589,24,70.19,4.251
meeting_vendor,format,path,149,6,67.094,4.206
meeting_vendor,wmode,path,11,0,67.094,4.206
meeting_vendor,markedagenda,path,11,0,67.094,4.206
meeting_vendor,playsinline,path,11,0,67.094,4.206
meeting_vendor,embed,path,236,10,65.705,4.185
meeting_vendor,ross,path,10,0,61.26,4.115
meeting_vendor,lang,path,458,24,54.592,4.0
meeting_vendor,mode,path,285,15,53.732,3.984
meeting_vendor,feature,path,79,4,51.536,3.942
meeting_vendor,civicclerk,path,25,1,49.591,3.904
meeting_vendor,gid,path,21,1,41.812,3.733
meeting_vendor,redirect,path,284,20,40.484,3.701
meeting_vendor,stream,path,140,10,39.034,3.664
meeting_vendor,autoplay,path,42,3,35.422,3.567
meeting_vendor,loop,path,17,1,34.033,3.527
meeting_vendor,location,path,134,12,31.388,3.446
meeting_vendor,www,path,77,7,30.144,3.406
meeting_vendor,player,path,1166,113,29.981,3.401
meeting_vendor,meetingdetail,path,25,2,29.755,3.393
meeting_vendor,seq,path,14,1,28.199,3.339
meeting_vendor,https,path,38,4,24.958,3.217
meeting_vendor,meetingid,path,382,45,24.523,3.2
meeting_vendor,internetchannel,path,88,11,22.449,3.111
meeting_vendor,medias,path,11,1,22.365,3.107
meeting_vendor,autostart,path,10,1,20.42,3.017
meeting_vendor,channels,path,14,2,16.919,2.828
meeting_vendor,sitemap,path,589,116,14.761,2.692
meeting_vendor,gov,path,92,18,14.586,2.68
meeting_vendor,notice,path,590,121,14.178,2.652
meeting_vendor,show,path,278,61,13.21,2.581
meeting_vendor,org,path,86,19,12.94,2.56
meeting_vendor,load,path,10,2,12.252,2.506
meeting_vendor,videos,path,660,159,12.08,2.492
meeting_vendor,live,path,282,74,11.062,2.403
meeting_vendor,media,path,735,199,10.755,2.375
meeting_vendor,event,path,791,218,10.567,2.358
meeting_vendor,agendaonline,path,12,3,10.418,2.344
meeting_vendor,vna,path,10,3,8.751,2.169
meeting_vendor,transcript,path,39,13,8.535,2.144
meeting_vendor,item,path,64,22,8.362,2.124
meeting_vendor,citizens,path,390,162,7.01,1.947
meeting_vendor,meeting,path,870,513,4.945,1.598
meeting_vendor,com,path,62,38,4.736,1.555
meeting_vendor,portal,path,529,330,4.674,1.542
meeting_vendor,towncouncil,path,13,8,4.633,1.533
meeting_vendor,description,path,11,7,4.473,1.498
meeting_vendor,aspx,path,1331,1021,3.802,1.336
meeting_vendor,summary,path,11,11,2.917,1.071
meeting_vendor,html,path,589,602,2.854,1.049
meeting_vendor,site,path,129,156,2.414,0.881
meeting_vendor,ref,path,15,19,2.319,0.841
meeting_vendor,agenda,path,502,633,2.314,0.839
meeting_vendor,fbclid,path,11,16,2.033,0.71
meeting_vendor,onbaseagendaonline,path,34,49,2.033,0.71
meeting_vendor,meetings,path,143,215,1.943,0.664
meeting_vendor,august,path,18,28,1.894,0.638
meeting_vendor,video,path,46,96,1.406,0.341
meeting_vendor,fullscreen,path,24,53,1.336,0.29
meeting_vendor,showtabssearch,path,23,53,1.281,0.248
meeting_vendor,july,path,10,24,1.25,0.223
meeting_vendor,agendacenter,path,271,715,1.107,0.102
meeting_vendor,php,path,1198,3537,0.988,-0.012
meeting_vendor,citycouncil,path,17,57,0.888,-0.119
meeting_vendor,regular,path,14,67,0.627,-0.467
meeting_vendor,source,path,10,52,0.583,-0.539
meeting_vendor,title,path,14,72,0.583,-0.539
meeting_vendor,detail,path,114,630,0.53,-0.635
meeting_vendor,agendas,path,43,246,0.515,-0.664
meeting_vendor,files,path,26,150,0.514,-0.666
meeting_vendor,playlists,path,17,101,0.503,-0.687
meeting_vendor,get,path,14,84,0.501,-0.692
meeting_vendor,commissioners,path,16,100,0.479,-0.736
meeting_vendor,council,path,95,589,0.473,-0.75
meeting_vendor,share,path,12,86,0.422,-0.864
meeting_vendor,channel,path,12,88,0.412,-0.887
meeting_vendor,cfm,path,20,192,0.311,-1.169
meeting_vendor,commission,path,25,266,0.279,-1.276
meeting_vendor,minutes,path,57,628,0.267,-1.321
meeting_vendor,city,path,64,1035,0.182,-1.705
meeting_vendor,policy,path,10,187,0.163,-1.812
meeting_vendor,committee,path,11,217,0.154,-1.869
meeting_vendor,board,path,41,856,0.141,-1.957
meeting_vendor,town,path,20,447,0.134,-2.013
meeting_vendor,page,path,58,1345,0.127,-2.065
meeting_vendor,index,path,52,1387,0.11,-2.204
meeting_vendor,county,path,11,562,0.06,-2.819
meeting_vendor,government,path,40,2107,0.056,-2.881
meeting_vendor,and,path,26,1801,0.043,-3.149
hub_anchor_text,agendas,anchor,31,215,51.73,3.946
hub_anchor_text,commissioners,anchor,6,63,36.226,3.59
hub_anchor_text,minutes,anchor,26,304,30.799,3.427
hub_anchor_text,boards,anchor,6,136,16.852,2.824
hub_anchor_text,meetings,anchor,5,228,8.518,2.142
hub_anchor_text,council,anchor,9,513,6.547,1.879
hub_anchor_text,board,anchor,10,626,5.931,1.78
hub_anchor_text,meeting,anchor,6,547,4.202,1.435
hub_anchor_text,of,anchor,9,1176,2.858,1.05
