vocabulary,token_or_bigram,kind,positives,negatives,lift,weight
hub_firstparty_fr,diffusion,path,4,3,104.964,4.654
hub_firstparty_fr,seances,path,41,32,104.246,4.647
hub_firstparty_fr,proces,path,20,61,27.213,3.304
hub_firstparty_fr,verbaux,path,20,61,27.213,3.304
hub_firstparty_fr,conseil,path,38,132,23.721,3.166
hub_firstparty_fr,democratique,path,4,30,12.045,2.489
hub_firstparty_fr,municipal,path,10,133,6.421,1.86
hub_firstparty_fr,calendrier,path,9,123,6.28,1.837
hub_firstparty_fr,vie,path,6,123,4.297,1.458
hub_firstparty_fr,municipalite,path,13,308,3.573,1.273
hub_firstparty_fr,des,path,13,346,3.181,1.157
hub_firstparty_fr,ville,path,8,220,3.147,1.146
hub_firstparty_fr,municipale,path,3,103,2.761,1.015
hub_firstparty_fr,administration,path,6,195,2.714,0.999
hub_firstparty_fr,index,path,4,139,2.633,0.968
hub_firstparty_fr,php,path,8,367,1.888,0.636
hub_firstparty_fr,pages,path,7,344,1.777,0.575
hub_firstparty_fr_bigram,ville-seances,path,3,0,571.468,6.348
hub_firstparty_fr_bigram,democratique-seances,path,3,1,190.489,5.25
hub_firstparty_fr_bigram,seances-conseil,path,27,14,154.831,5.042
hub_firstparty_fr_bigram,diffusion-des,path,3,2,114.294,4.739
hub_firstparty_fr_bigram,des-seances,path,13,11,95.836,4.563
hub_firstparty_fr_bigram,pages-proces,path,3,4,63.496,4.151
hub_firstparty_fr_bigram,proces-verbaux,path,20,61,27.213,3.304
hub_firstparty_fr_bigram,conseil-municipal,path,10,69,12.334,2.512
hub_firstparty_fr_bigram,vie-democratique,path,4,30,12.045,2.489
hub_firstparty_fr_bigram,calendrier-des,path,8,62,11.103,2.407
hub_firstparty_fr_bigram,index-php,path,4,119,3.074,1.123
hub_anchor_text_fr,diffusion,anchor,3,1,145.253,4.978
hub_anchor_text_fr,seances,anchor,43,25,106.194,4.665
hub_anchor_text_fr,proces,anchor,22,47,29.488,3.384
hub_anchor_text_fr,verbaux,anchor,21,47,28.177,3.339
hub_anchor_text_fr,conseil,anchor,40,94,26.679,3.284
hub_anchor_text_fr,seance,anchor,5,21,15.925,2.768
hub_anchor_text_fr,calendrier,anchor,12,71,10.883,2.387
hub_anchor_text_fr,ordre,anchor,3,24,8.893,2.185
hub_anchor_text_fr,du,anchor,36,261,8.689,2.162
hub_anchor_text_fr,municipal,anchor,9,118,4.991,1.608
hub_anchor_text_fr,jour,anchor,4,70,3.973,1.38
hub_anchor_text_fr,des,anchor,15,367,2.626,0.965
hub_anchor_text_fr,et,anchor,10,669,0.976,-0.024
hub_anchor_text_fr,la,anchor,3,287,0.758,-0.277
hub_anchor_text_fr,de,anchor,5,828,0.413,-0.884
