vocabulary,token_or_bigram,kind,positives,negatives,lift,weight
school_meeting_vendor,clip,path,32,0,6578.922,7.0
school_meeting_vendor,mediaplayer,path,12,0,2530.355,7.0
school_meeting_vendor,autoplay,path,5,0,1113.356,7.0
school_meeting_vendor,player,path,21,2,870.442,6.769
school_meeting_vendor,channel,path,73,19,381.5,5.944
school_meeting_vendor,streams,path,5,2,222.671,5.406
school_meeting_vendor,videos,path,48,43,112.848,4.726
school_meeting_vendor,featured,path,6,6,101.214,4.617
school_meeting_vendor,embed,path,10,12,85.02,4.443
school_meeting_vendor,user,path,19,26,74.478,4.311
school_meeting_vendor,share,path,6,9,69.252,4.238
school_meeting_vendor,live,path,9,24,39.246,3.67
school_meeting_vendor,transcript,path,5,28,19.533,2.972
school_meeting_vendor,php,path,12,568,2.225,0.8
school_meeting_vendor,aspx,path,6,593,1.108,0.103
school_meeting_vendor_bigram,player-clip,path,20,0,4149.781,7.0
school_meeting_vendor_bigram,php-clip,path,12,0,2530.355,7.0
school_meeting_vendor_bigram,mediaplayer-php,path,12,0,2530.355,7.0
school_meeting_vendor_bigram,videos-transcript,path,5,0,1113.356,7.0
school_channel_anchor_text,youtube,anchor,84,11,1164.395,7.0
school_channel_anchor_text,channel,anchor,20,5,590.653,6.381
school_channel_anchor_text,watch,anchor,13,11,186.028,5.226
school_channel_anchor_text,video,anchor,18,41,70.642,4.258
school_channel_anchor_text,videos,anchor,8,41,32.457,3.48
school_channel_anchor_text,live,anchor,8,46,28.967,3.366
school_channel_anchor_text,are,anchor,5,36,23.879,3.173
school_channel_anchor_text,follow,anchor,8,56,23.84,3.171
school_channel_anchor_text,we,anchor,7,59,19.975,2.994
school_channel_anchor_text,on,anchor,13,213,10.02,2.305
school_channel_anchor_text,here,anchor,6,112,9.156,2.214
school_channel_anchor_text,meetings,anchor,8,159,8.445,2.134
school_channel_anchor_text,meeting,anchor,11,402,4.528,1.51
school_channel_anchor_text,window,anchor,27,968,4.5,1.504
school_channel_anchor_text,tab,anchor,27,980,4.445,1.492
school_channel_anchor_text,opens,anchor,27,981,4.44,1.491
school_channel_anchor_text,new,anchor,28,1157,3.902,1.361
school_channel_anchor_text,in,anchor,30,1287,3.754,1.323
school_channel_anchor_text,view,anchor,5,250,3.479,1.247
school_channel_anchor_text,us,anchor,8,422,3.188,1.159
school_channel_anchor_text,more,anchor,6,354,2.906,1.067
school_channel_anchor_text,board,anchor,17,1086,2.552,0.937
school_channel_anchor_text,schools,anchor,7,490,2.423,0.885
school_channel_anchor_text,to,anchor,7,556,2.136,0.759
school_channel_anchor_text,the,anchor,6,529,1.945,0.665
school_channel_anchor_text,school,anchor,11,3545,0.514,-0.666
school_hub_vendor,goto,path,7,0,13624.481,7.0
school_hub_vendor,nsf,path,21,2,7811.369,7.0
school_hub_vendor,organization,path,7,27,247.718,5.512
school_hub_vendor,open,path,12,89,126.857,4.843
school_hub_vendor,public,path,17,317,50.064,3.913
school_hub_vendor,board,path,20,1288,14.451,2.671
school_hub_vendor,aspx,path,7,593,11.478,2.44
school_hub_anchor_text,regulation,anchor,5,2,926.726,6.832
school_hub_anchor_text,boarddocs,anchor,6,4,608.456,6.411
school_hub_anchor_text,agenda,anchor,7,49,63.824,4.156
school_hub_anchor_text,harassment,anchor,5,38,60.177,4.097
school_hub_anchor_text,agendas,anchor,14,112,54.293,3.994
school_hub_anchor_text,policies,anchor,17,218,33.738,3.519
school_hub_anchor_text,minutes,anchor,11,174,27.761,3.324
school_hub_anchor_text,policy,anchor,13,319,17.799,2.879
school_hub_anchor_text,meetings,anchor,6,161,16.954,2.83
school_hub_anchor_text,board,anchor,42,1061,16.865,2.825
school_hub_anchor_text,window,anchor,18,977,7.972,2.076
school_hub_anchor_text,tab,anchor,18,989,7.876,2.064
school_hub_anchor_text,opens,anchor,18,990,7.868,2.063
school_hub_anchor_text,new,anchor,19,1166,7.042,1.952
school_hub_anchor_text,meeting,anchor,6,407,6.719,1.905
school_hub_anchor_text,in,anchor,20,1297,6.655,1.895
school_hub_anchor_text,and,anchor,5,1469,1.577,0.455
school_hub_anchor_text,school,anchor,6,3550,0.771,-0.26
