tenant_host,views_id,source_url,found_in,evidence
austintx.new.swagit.com,5,https://austintx.new.swagit.com/views/5,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
batonrougela.new.swagit.com,136,https://batonrougela.new.swagit.com/views/136,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
baycitytx.new.swagit.com,94,https://baycitytx.new.swagit.com/views/94,rtr-business/research/civicclerk_live_lookup_results.csv,1 source file(s)
belgrademt.new.swagit.com,444,https://belgrademt.new.swagit.com/views/444,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
bexarcountytx.new.swagit.com,525,https://bexarcountytx.new.swagit.com/views/525,rtr-business/research/counties_coverage_prospects.csv,1 source file(s)
ccpsmd.new.swagit.com,647,https://ccpsmd.new.swagit.com/views/647,rtr-deeplink-main/tests/test_wo1037_meeting_finder_hop_scan_fetch.py,weak: only in a corrupted snapshot or a test
cedarrapidsia.new.swagit.com,597,https://cedarrapidsia.new.swagit.com/views/597,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
cheverlymd.new.swagit.com,271,https://cheverlymd.new.swagit.com/views/271,rtr-business/research/coverage_map.csv,10 source file(s)
councilbluffsia.new.swagit.com,598,https://councilbluffsia.new.swagit.com/views/598,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
dallasisdtx.new.swagit.com,247,https://dallasisdtx.new.swagit.com/views/247,rtr-business/research/school_districts_coverage_prospects.csv,1 source file(s)
dublinca.new.swagit.com,876,https://dublinca.new.swagit.com/views/876,rtr-business/research/dotgov_calibration_fetches/dublin_watch_meetings.html,1 source file(s)
edmondok.new.swagit.com,435,https://edmondok.new.swagit.com/views/435,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
ferndalesd.new.swagit.com,44,https://ferndalesd.new.swagit.com/views/44,rtr-deeplink-main/tests/test_wo1027_meeting_finder_identify.py,weak: only in a corrupted snapshot or a test
fontanausdca.new.swagit.com,602,https://fontanausdca.new.swagit.com/views/602,rtr-deeplink-main/tests/test_wo1027_meeting_finder_identify.py,weak: only in a corrupted snapshot or a test
fortbendisd.new.swagit.com,398,https://fortbendisd.new.swagit.com/views/398,rtr-business/research/school_districts_coverage_prospects.csv,1 source file(s)
grandrapidsmi.new.swagit.com,800,https://grandrapidsmi.new.swagit.com/views/800,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
greenburghny.new.swagit.com,193,https://greenburghny.new.swagit.com/views/193,rtr-business/research/nationwide_2404_ingest_log.csv,3 source file(s)
harriscountytx.new.swagit.com,54,https://harriscountytx.new.swagit.com/views/54,rtr-business/research/counties_coverage_prospects.csv,1 source file(s)
houstontx.new.swagit.com,408,https://houstontx.new.swagit.com/views/408,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
idahofallsid.new.swagit.com,170,https://idahofallsid.new.swagit.com/views/170,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
jacksonms.new.swagit.com,160,https://jacksonms.new.swagit.com/views/160,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
katyisdtx.new.swagit.com,434,https://katyisdtx.new.swagit.com/views/434,rtr-business/research/school_districts_coverage_prospects.csv,1 source file(s)
liveoaktx.new.swagit.com,672,https://liveoaktx.new.swagit.com/views/672,rtr-business/research/nationwide_2404_ingest_log.csv,2 source file(s)
lmctvny.new.swagit.com,424,https://lmctvny.new.swagit.com/views/424,rtr-business/research/wo217_report.csv,9 source file(s)
midlandtx.new.swagit.com,557,https://midlandtx.new.swagit.com/views/557,rtr-business/research/coverage_gap_2026-09-01/phase1b_resolve_results.csv,1 source file(s)
nccde.new.swagit.com,111,https://nccde.new.swagit.com/views/111,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
northlasvegasnv.new.swagit.com,407,https://northlasvegasnv.new.swagit.com/views/407,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
olatheks.new.swagit.com,726,https://olatheks.new.swagit.com/views/726,rtr-business/research/osm_passive_sweep_2026-09-15/pilot_review/pilot30_root_outcomes.csv,1 source file(s)
overlandparkks.new.swagit.com,72,https://overlandparkks.new.swagit.com/views/72,rtr-business/research/openpublica_2026-09-21/openpublica_governments.json,1 source file(s)
plainviewtx.new.swagit.com,363,https://plainviewtx.new.swagit.com/views/363,rtr-business/research/dns_ctlog_sweep_2026-09-17/passive_vs_queue_test/h2/wo282_recon.jsonl,3 source file(s)
siouxcityschools.new.swagit.com,553,https://siouxcityschools.new.swagit.com/views/553,rtr-business/research/school_district_pipeline_report.csv,1 source file(s)
staffordnj.new.swagit.com,188,https://staffordnj.new.swagit.com/views/188,rtr-business/research/nationwide_2404_ingest_log.csv,2 source file(s)
warringtonpa.new.swagit.com,411,https://warringtonpa.new.swagit.com/views/411,rtr-business/research/wo183_report.csv,6 source file(s)
webbcountytx.new.swagit.com,482,https://webbcountytx.new.swagit.com/views/482,rtr-deeplink-main/tests/test_passive_verify.py,weak: only in a corrupted snapshot or a test
wisecountytx.new.swagit.com,908,https://wisecountytx.new.swagit.com/views/908,rtr-business/research/bucket1_scan_report.csv,4 source file(s)
