tenant_host,state,source,evidence
a2gov.legistar.com,MI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ab-slavelake.civicplus.com,AB,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
abcwua.granicus.com,NM,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
accessfayetteville.granicus.com,AR,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
accomackcountyva.new.swagit.com,VA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
addison.granicus.com,IL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Village of Addison, IL'"
addisontx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
adjala-tosorontio.civicweb.net,ON,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
agenda.friscotexas.gov,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
agourahills.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
al-owenscrossroads.civicplus.com,AL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
alachua.granicus.com,FL,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'County of Alachua, FL'"
alameda.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
alamedacounty.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
alamogordonm.portal.civicclerk.com,NM,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
albanyca.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
albanyca.primegov.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
albanycountywy.gov,WY,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
albanyny.portal.civicclerk.com,NY,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
albemarle.granicus.com,VA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Albemarle County, VA'"
alexandriaschoolsva.new.swagit.com,VA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
alleganycomd.portal.civicclerk.com,MD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
allenisd.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
allentownpa.granicus.com,PA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
alnwickhaldimand.civicweb.net,ON,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
alpharettaga.portal.civicclerk.com,GA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
altoona.granicus.com,WI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
altuscityok.iqm2.com,OK,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
alvordtx.gov,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
amarillo.granicus.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
amarillotx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
americancanyon.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
amherstny.iqm2.com,NY,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
anacorteswa.portal.civicclerk.com,WA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
anaheim.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
angleton-tx.municodemeetings.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
annapolismd.granicus.com,MD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
anoka-k12.granicus.com,MN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
apachejunction.granicus.com,AZ,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
apopkafl.portal.civicclerk.com,FL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ar-hebersprings.civicplus.com,AR,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ar-maumelle.civicplus.com,AR,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Maumelle, AR'"
arapahoe.granicus.com,CO,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Arapahoe County, CO'"
arlingtonheightsil.new.swagit.com,IL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
artesiaca.cablecast.tv,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
arvin.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ashland-va.granicus.com,VA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
ashlandcowi.portal.civicclerk.com,WI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
athensoh.new.swagit.com,OH,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
atherton.primegov.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
atikokan.civicweb.net,ON,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
atlantacityga.iqm2.com,GA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
atlanticbeachfl.new.swagit.com,FL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
auburn.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
augustacova.portal.civicclerk.com,VA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
aurora-il.granicus.com,IL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
austintx.new.swagit.com,TX,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Austin, TX'"
austintx.swagit.com,TX,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Austin, TX'"
avonindiana.gov,IN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
azusa.granicus.com,CA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Azusa, CA'"
baha.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bainbridgeislandwa.portal.civicclerk.com,WA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bainbridgewa.granicus.com,WA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bakercityor.portal.civicclerk.com,OR,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
baldwincountyal.granicus.com,AL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
baltimore.legistar.com,MD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
barstowcityca.iqm2.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bartlesvilleok.new.swagit.com,OK,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
batonrougela.new.swagit.com,LA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Baton Rouge, LA'"
baycountyfl.new.swagit.com,FL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bayharborislandsfl.portal.civicclerk.com,FL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
baytowntx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bcnv.primegov.com,NV,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
beaufort.granicus.com,SC,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
beaufortcountysc.new.swagit.com,SC,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Beaufort County, SC'"
beaumonttx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bedfordtx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
belaire-ks.municodemeetings.com,KS,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
belfastme.new.swagit.com,ME,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bellairetx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bellbrook-oh.municodemeetings.com,OH,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
belleplaine.granicus.com,MN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
belmont-ca.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
benbrooktx.new.swagit.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bend.granicus.com,OR,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bentoncoor.portal.civicclerk.com,OR,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Benton County, OR'"
bentonvillear.portal.civicclerk.com,AR,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
berkeley.granicus.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bernalillocountynm.iqm2.com,NM,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
berwynheights.granicus.com,MD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bethanybeach.granicus.com,DE,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bethlehemtownny.iqm2.com,NY,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
beverlyma.gov,MA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bexarcountytx.new.swagit.com,TX,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Bexar County, TX'"
bhamal.granicus.com,AL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
biddefordme.portal.civicclerk.com,ME,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bigspringtx.portal.civicclerk.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
blackfordcoin.portal.civicclerk.com,IN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
blacksburg.granicus.com,VA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bladensburgtown-md.municodemeetings.com,MD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
blaine.granicus.com,MN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
blainemn.portal.civicclerk.com,MN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
blueearthcountymn.gov,MN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
blueriver-co.municodemeetings.com,CO,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bluewater.civicweb.net,ON,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bluffdaleut.portal.civicclerk.com,UT,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bluffton-sc.municodemeetings.com,SC,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Beaufort County, SC'"
blufftonin.portal.civicclerk.com,IN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bocaraton.granicus.com,FL,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
boisecityid.iqm2.com,ID,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
borough-ketchikan.granicus.com,AK,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
boston.granicus.com,MA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brainerdmn.gov,MN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
branchburgnj.granicus.com,NJ,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
branchburgnj.iqm2.com,NJ,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brazoriacountytx.granicus.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
breaca.new.swagit.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
breckenridge-tx.municodemeetings.com,TX,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brecksville-oh.municodemeetings.com,OH,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brentwoodtn.new.swagit.com,TN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brightonco.granicus.com,CO,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Brighton'"
brisbaneca.portal.civicclerk.com,CA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bristol-in.municodemeetings.com,IN,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bristol-ri.municodemeetings.com,RI,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
bristolva.gov,VA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brla.gov,LA,auto_derived,"state only, from rtr-discovery ledger.db tenants.jurisdiction_override 'Baton Rouge, LA'"
brockville.civicweb.net,ON,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brokenarrow.granicus.com,OK,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brookhavencityga.iqm2.com,GA,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brookhavenny.portal.civicclerk.com,NY,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
brookingscountysd.gov,SD,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
broomfield.granicus.com,CO,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
broomfieldco.cablecast.tv,CO,ledger_state_abbr,rtr-discovery ledger.db tenants.state_abbr
