note,tenant_host,gov_id,gov_name,raw_name,source,strength,tier,evidence
sources disagree — review,dallascounty.civicweb.net,us:place:4819000,"Dallas, TX","Dallas, TX",known_domains,fallback,registry,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS
sources disagree — review,dallascounty.civicweb.net,us:county:29059,"Dallas County, MO","Dallas County, MO",wildcard_http_sweep_2,fallback,registry,DNS resolves
sources disagree — review,oneidacounty.primegov.com,us:county:16071,"Oneida County, ID","Oneida County, ID",wildcard_http_sweep_2,fallback,registry,DNS resolves
sources disagree — review,oneidacounty.primegov.com,us:county:36065,"Oneida County, NY","Oneida County, NY",auto_derived,fallback,registry,rtr-discovery ledger.db tenants.jurisdiction_override
"SHARED TENANT, not a conflict: the upcoming roster lists this host under BOTH El Cerrito and San Pablo, which is a real many-governments-to-one-tenant case (architecture doc §1.5). It wants the first real `match` discriminator in tenant_overrides.csv -- a path prefix or query parameter that separates the two cities' meetings -- not a pin to either. No pin is written until that discriminator is known.",uatccta.primegov.com,us:place:0621796,"El Cerrito, CA","El Cerrito, CA",upcoming_roster,fallback,registry,upcoming_jurisdictions.csv geoid=0621796 match=exact
"SHARED TENANT, not a conflict: the upcoming roster lists this host under BOTH El Cerrito and San Pablo, which is a real many-governments-to-one-tenant case (architecture doc §1.5). It wants the first real `match` discriminator in tenant_overrides.csv -- a path prefix or query parameter that separates the two cities' meetings -- not a pin to either. No pin is written until that discriminator is known.",uatccta.primegov.com,us:place:0668294,"San Pablo, CA","San Pablo, CA",upcoming_roster,fallback,registry,upcoming_jurisdictions.csv geoid=0668294 match=exact
sources disagree — review,unioncity.primegov.com,us:place:2178384,"Union, KY","Union, KY",wildcard_http_sweep_2,fallback,registry,DNS resolves
sources disagree — review,unioncity.primegov.com,us:place:0681204,"Union City, CA","Union City, CA",upcoming_roster,fallback,registry,upcoming_jurisdictions.csv geoid=0681204 match=exact
sources disagree — review,washingtoncounty.civicweb.net,us:county:41067,"Washington County, OR","Washington, OR",known_domains,fallback,registry,app/utils/jurisdiction_enrich.py _KNOWN_DOMAINS
sources disagree — review,washingtoncounty.civicweb.net,us:county:16087,"Washington County, ID","Washington County, ID",wildcard_http_sweep_2,fallback,registry,DNS resolves
