geoid,name,state
0911001080,Andover town,CT
0911002060,Avon town,CT
0911004300,Berlin town,CT
0911005910,Bloomfield town,CT
0911006260,Bolton town,CT
0911012270,Canton town,CT
0911016400,Columbia town,CT
0911017800,Coventry town,CT
0911022070,East Granby town,CT
0911022630,East Hartford town,CT
0911024800,East Windsor town,CT
0911025360,Ellington town,CT
0911025990,Enfield town,CT
0911027600,Farmington town,CT
0911031240,Glastonbury town,CT
0911032640,Granby town,CT
0911037910,Hebron town,CT
0911044700,Manchester town,CT
0911044910,Mansfield town,CT
0911045820,Marlborough town,CT
0911052140,Newington town,CT
0911060120,Plainville town,CT
0911065370,Rocky Hill town,CT
0911068940,Simsbury town,CT
0911069220,Somers town,CT
0911070550,Southington town,CT
0911071390,South Windsor town,CT
0911072090,Stafford town,CT
0911074540,Suffield town,CT
0911076290,Tolland town,CT
0911078250,Vernon town,CT
0911082590,West Hartford town,CT
0911084900,Wethersfield town,CT
0911085950,Willington town,CT
0911087000,Windsor town,CT
0911087070,Windsor Locks town,CT
0912023890,Easton town,CT
0912026620,Fairfield town,CT
0912048620,Monroe town,CT
0912074190,Stratford town,CT
0912077200,Trumbull town,CT
0913014300,Chester town,CT
0913015350,Clinton town,CT
0913018080,Cromwell town,CT
0913019130,Deep River town,CT
0913020810,Durham town,CT
0913022280,East Haddam town,CT
0913022490,East Hampton town,CT
0913026270,Essex town,CT
0913035230,Haddam town,CT
0913040710,Killingworth town,CT
0913044210,Lyme town,CT
0913047080,Middlefield town,CT
0913057040,Old Lyme town,CT
0913057320,Old Saybrook town,CT
0913061800,Portland town,CT
0913081680,Westbrook town,CT
0914003250,Beacon Falls town,CT
0914004930,Bethlehem town,CT
0914014160,Cheshire town,CT
0914046940,Middlebury town,CT
0914058300,Oxford town,CT
0914060750,Plymouth town,CT
0914062290,Prospect town,CT
0914067610,Seymour town,CT
0914069640,Southbury town,CT
0914075730,Thomaston town,CT
0914080490,Watertown town,CT
0914087560,Wolcott town,CT
0914087910,Woodbury town,CT
0915001430,Ashford town,CT
0915009190,Brooklyn town,CT
0915012130,Canterbury town,CT
0915013810,Chaplin town,CT
0915021860,Eastford town,CT
0915036000,Hampton town,CT
0915040500,Killingly town,CT
0915059980,Plainfield town,CT
0915061030,Pomfret town,CT
0915062710,Putnam town,CT
0915067400,Scotland town,CT
0915073420,Sterling town,CT
0915075870,Thompson town,CT
0915077830,Union town,CT
0915078600,Voluntown town,CT
0915088190,Woodstock town,CT
0916002760,Barkhamsted town,CT
0916010100,Burlington town,CT
0916010940,Canaan town,CT
0916016050,Colebrook town,CT
0916017240,Cornwall town,CT
0916032290,Goshen town,CT
0916037140,Hartland town,CT
0916037280,Harwinton town,CT
0916040290,Kent town,CT
0916043370,Litchfield town,CT
0916049460,Morris town,CT
0916051350,New Hartford town,CT
0916053470,Norfolk town,CT
0916054030,North Canaan town,CT
0916065930,Roxbury town,CT
0916066420,Salisbury town,CT
0916067960,Sharon town,CT
0916079510,Warren town,CT
0916079720,Washington town,CT
0916086440,Winchester town,CT
0917004580,Bethany town,CT
0917007310,Branford town,CT
0917022910,East Haven town,CT
0917034950,Guilford town,CT
0917035650,Hamden town,CT
0917044560,Madison town,CT
0917053890,North Branford town,CT
0917054870,North Haven town,CT
0917057600,Orange town,CT
0917078740,Wallingford town,CT
0917087700,Woodbridge town,CT
0918006820,Bozrah town,CT
0918015910,Colchester town,CT
0918023400,East Lyme town,CT
0918029910,Franklin town,CT
0918033900,Griswold town,CT
0918034250,Groton town,CT
0918042390,Lebanon town,CT
0918042600,Ledyard town,CT
0918043230,Lisbon town,CT
0918048900,Montville town,CT
0918055500,North Stonington town,CT
0918062150,Preston town,CT
0918066210,Salem town,CT
0918071670,Sprague town,CT
0918073770,Stonington town,CT
0918080280,Waterford town,CT
0918086790,Windham town,CT
0919004720,Bethel town,CT
0919008210,Bridgewater town,CT
0919008980,Brookfield town,CT
0919018850,Darien town,CT
0919033620,Greenwich town,CT
0919050580,New Canaan town,CT
0919050860,New Fairfield town,CT
0919052630,New Milford town,CT
0919052980,Newtown town,CT
0919063480,Redding town,CT
0919063970,Ridgefield town,CT
0919068310,Sherman town,CT
0919083430,Weston town,CT
0919083500,Westport town,CT
0919086370,Wilton town,CT
1700105742,Beverly township,IL
1700110019,Burton township,IL
1700110890,Camp Point township,IL
1700114780,Clayton township,IL
1700115859,Columbus township,IL
1700116015,Concord township,IL
1700123412,Ellington township,IL
1700125258,Fall Creek township,IL
1700129288,Gilmer township,IL
1700135957,Honey Creek township,IL
1700136295,Houston township,IL
1700139220,Keene township,IL
1700143146,Liberty township,IL
1700143458,Lima township,IL
1700145746,McKee township,IL
1700148203,Melrose township,IL
1700148320,Mendon township,IL
1700153624,Northeast township,IL
1700158278,Payson township,IL
1700163550,Richfield township,IL
1700164408,Riverside township,IL
1700177057,Ursa township,IL
1700509694,Burgess township,IL
1700512112,Central township,IL
1700540741,Lagrange township,IL
1700549321,Mills township,IL
1700551297,Mulberry Grove township,IL
1700555730,Old Ripley township,IL
1700560586,Pleasant Mound township,IL
1700569641,Shoal Creek township,IL
1700574418,Tamalco township,IL
1700705105,Belvidere township,IL
1700707302,Bonus township,IL
1700707328,Boone township,IL
1700710435,Caledonia township,IL
1700726441,Flora township,IL
1700742951,LeRoy township,IL
1700746318,Manchester township,IL
1700761158,Poplar Grove township,IL
1700771578,Spring township,IL
1700909291,Buckhorn township,IL
1700916262,Cooperstown township,IL
1700923308,Elkhorn township,IL
1700942561,Lee township,IL
1700949685,Missouri township,IL
1700951167,Mount Sterling township,IL
1700958330,Pea Ridge township,IL
1700964187,Ripley township,IL
1700977733,Versailles township,IL
1701102076,Arispie township,IL
1701105430,Berlin township,IL
1701109668,Bureau township,IL
1701114598,Clarion township,IL
1701116028,Concord township,IL
1701120539,Dover township,IL
1701124790,Fairfield township,IL
1701130146,Gold township,IL
1701131602,Greenville township,IL
1701132265,Hall township,IL
1701137413,Indiantown township,IL
1701141807,La Moille township,IL
1701142665,Leepertown township,IL
1701145928,Macon township,IL
1701146435,Manlius township,IL
1701149438,Milo township,IL
1701149529,Mineral township,IL
1701152012,Neponset township,IL
1701155392,Ohio township,IL
1701161912,Princeton township,IL
1701168562,Selby township,IL
1701178539,Walnut township,IL
1701180268,Westfield township,IL
1701181009,Wheatland township,IL
1701183635,Wyanet township,IL
1701512996,Cherry Grove-Shannon township,IL
1701523321,Elkhorn Grove township,IL
1701524881,Fairhaven township,IL
1701527832,Freedom township,IL
1701550894,Mount Carroll township,IL
1701564892,Rock Creek-Lima township,IL
1701567210,Salem township,IL
1701567834,Savanna township,IL
1701579020,Washington township,IL
1701583076,Woodland township,IL
1701583700,Wysox township,IL
1701583908,York township,IL
1701701959,Arenzville township,IL
1701702518,Ashland township,IL
1701704364,Beardstown township,IL
1701706938,Bluff Springs township,IL
1701712463,Chandlerville township,IL
1701732148,Hagener township,IL
1701752662,Newmansville township,IL
1701757550,Panther Creek township,IL
1701759481,Philadelphia township,IL
1701767600,Sangamon Valley township,IL
1701778214,Virginia township,IL
1701903246,Ayers township,IL
1701908914,Brown township,IL
1701912398,Champaign township,IL
1701915482,Colfax township,IL
1701915976,Compromise township,IL
1701916080,Condit township,IL
1701917588,Crittenden township,IL
1701921566,East Bend township,IL
1701933422,Harwood township,IL
1701934189,Hensley township,IL
1701939688,Kerr township,IL
1701945187,Ludlow township,IL
1701946149,Mahomet township,IL
1701952376,Newcomb township,IL
1701955288,Ogden township,IL
1701959286,Pesotum township,IL
1701959546,Philo township,IL
1701962796,Rantoul township,IL
1701962952,Raymond township,IL
1701966547,Sadorus township,IL
1701966963,St. Joseph township,IL
1701968289,Scott township,IL
1701969888,Sidney township,IL
1701970382,Somer township,IL
1701970863,South Homer township,IL
1701972273,Stanton township,IL
1701975627,Tolono township,IL
1701977018,Urbana township,IL
1702102622,Assumption township,IL
1702104325,Bear Creek township,IL
1702109239,Buckhart township,IL
1702131641,Greenwood township,IL
1702138492,Johnson township,IL
1702139948,King township,IL
1702144251,Locust township,IL
1702147631,May township,IL
1702150686,Mosquito township,IL
1702150842,Mount Auburn township,IL
1702157485,Pana township,IL
1702161730,Prairieton township,IL
1702163797,Ricks township,IL
1702165598,Rosamond township,IL
1702170798,South Fork township,IL
1702172962,Stonington township,IL
1702174587,Taylorville township,IL
1702301465,Anderson township,IL
1702302908,Auburn township,IL
1702311631,Casey township,IL
1702318680,Darwin township,IL
1702320279,Dolson township,IL
1702320461,Douglas township,IL
1702338505,Johnson township,IL
1702347176,Marshall township,IL
1702347267,Martinsville township,IL
1702348229,Melrose township,IL
1702356302,Orange township,IL
1702357667,Parker township,IL
1702378279,Wabash township,IL
1702380294,Westfield township,IL
1702383934,York township,IL
1702505807,Bible Grove township,IL
1702506392,Blair township,IL
1702514728,Clay City township,IL
1702533266,Harter township,IL
1702536087,Hoosier township,IL
1702542158,Larkinsburg township,IL
1702544940,Louisville township,IL
1702556835,Oskaloosa township,IL
1702560261,Pixley township,IL
1702570486,Songer township,IL
1702572247,Stanford township,IL
1702583752,Xenia township,IL
1702707926,Breese township,IL
1702708732,Brookside township,IL
1702711241,Carlyle township,IL
1702714884,Clement township,IL
1702721748,East Fork township,IL
1702729054,Germantown township,IL
1702737673,Irishtown township,IL
1702740871,Lake township,IL
1702744667,Looking Glass township,IL
1702748476,Meridian township,IL
1702767171,St. Rose township,IL
1702767652,Santa Fe township,IL
1702773365,Sugar Creek township,IL
1702778344,Wade township,IL
1702780996,Wheatfield township,IL
1702902570,Ashmore township,IL
1702912580,Charleston township,IL
1702922138,East Oakland township,IL
1702936555,Humboldt township,IL
1702936880,Hutton township,IL
