geoid,name,state,lsad,funcstat
0100124,Abbeville city,AL,25,A
0100460,Adamsville city,AL,25,A
0100484,Addison town,AL,43,A
0100676,Akron town,AL,43,A
0100820,Alabaster city,AL,25,A
0100988,Albertville city,AL,25,A
0101132,Alexander City city,AL,25,A
0101228,Aliceville city,AL,25,A
0101396,Allgood town,AL,43,A
0101660,Altoona town,AL,43,A
0101708,Andalusia city,AL,25,A
0101756,Anderson town,AL,43,A
0101852,Anniston city,AL,25,A
0102116,Arab city,AL,25,A
0102260,Ardmore town,AL,43,A
0102320,Argo city,AL,25,A
0102428,Ariton town,AL,43,A
0102500,Arley town,AL,43,A
0102836,Ashford city,AL,25,A
0102860,Ashland town,AL,43,A
0102908,Ashville city,AL,25,A
0102956,Athens city,AL,25,A
0103004,Atmore city,AL,25,A
0103028,Attalla city,AL,25,A
0103076,Auburn city,AL,25,A
0103220,Autaugaville town,AL,43,A
0103364,Avon town,AL,43,A
0103556,Babbie town,AL,43,A
0103676,Baileyton town,AL,43,A
0103724,Bakerhill town,AL,43,A
0103940,Banks town,AL,43,A
0104660,Bay Minette city,AL,25,A
0104684,Bayou La Batre city,AL,25,A
0104852,Bear Creek town,AL,43,A
0104900,Beatrice town,AL,43,A
0104948,Beaverton town,AL,43,A
0105164,Belk town,AL,43,A
0105692,Benton town,AL,43,A
0105812,Berlin town,AL,43,A
0105932,Berry town,AL,43,A
0105980,Bessemer city,AL,25,A
0106460,Billingsley town,AL,43,A
0107000,Birmingham city,AL,25,A
0107120,Black town,AL,43,A
0107456,Blountsville town,AL,43,A
0107672,Blue Springs town,AL,43,A
0107912,Boaz city,AL,25,A
0108104,Boligee town,AL,43,A
0108248,Bon Air town,AL,43,A
0109016,Brantley town,AL,43,A
0109136,Brent city,AL,25,A
0109208,Brewton city,AL,25,A
0109328,Bridgeport city,AL,25,A
0109400,Brighton city,AL,25,A
0109424,Brilliant town,AL,43,A
0109736,Brookside town,AL,43,A
0109808,Brookwood town,AL,43,A
0110240,Brundidge city,AL,25,A
0111032,Butler town,AL,43,A
0111416,Calera city,AL,25,A
0111512,Camden city,AL,25,A
0111680,Camp Hill town,AL,43,A
0112016,Carbon Hill city,AL,25,A
0112040,Cardiff town,AL,43,A
0112160,Carolina town,AL,43,A
0112304,Carrollton town,AL,43,A
0112496,Castleberry town,AL,43,A
0112760,Cedar Bluff town,AL,43,A
0113264,Center Point city,AL,25,A
0113648,Centre city,AL,25,A
0113672,Centreville city,AL,25,A
0114008,Chatom town,AL,43,A
0114104,Chelsea city,AL,25,A
0114152,Cherokee town,AL,43,A
0114202,Cherokee Ridge town,AL,43,A
0114392,Chickasaw city,AL,25,A
0114464,Childersburg city,AL,25,A
0115064,Citronelle city,AL,25,A
0115136,Clanton city,AL,25,A
0115256,Clay city,AL,25,A
0115304,Clayhatchee town,AL,43,A
0115376,Clayton city,AL,25,A
0115472,Cleveland town,AL,43,A
0115640,Clio city,AL,25,A
0116000,Coaling city,AL,25,A
0116240,Coffee Springs town,AL,43,A
0116264,Coffeeville town,AL,43,A
0116312,Coker town,AL,43,A
0116600,Collinsville city,AL,25,A
0116684,Colony town,AL,43,A
0116744,Columbia town,AL,43,A
0116768,Columbiana city,AL,25,A
0117176,Coosada town,AL,43,A
0117368,Cordova town,AL,43,A
0117824,Cottonwood town,AL,43,A
0117968,County Line town,AL,43,A
0118040,Courtland town,AL,43,A
0118088,Cowarts town,AL,43,A
0118304,Creola town,AL,43,A
0118856,Crossville town,AL,43,A
0118952,Cuba town,AL,43,A
0118976,Cullman city,AL,25,A
0119216,Cusseta town,AL,43,A
0119336,Dadeville city,AL,25,A
0119360,Daleville city,AL,25,A
0119648,Daphne city,AL,25,A
0119744,Dauphin Island town,AL,43,A
0119816,Daviston town,AL,43,A
0119912,Dayton town,AL,43,A
0120008,Deatsville town,AL,43,A
0120104,Decatur city,AL,25,A
0120296,Demopolis city,AL,25,A
0120392,Detroit town,AL,43,A
0120955,Dodge City town,AL,43,A
0121136,Dora city,AL,25,A
0121184,Dothan city,AL,25,A
0121280,Double Springs town,AL,43,A
0121328,Douglas town,AL,43,A
0121448,Dozier town,AL,43,A
0121952,Dutton town,AL,43,A
0122216,East Brewton city,AL,25,A
0122816,Eclectic town,AL,43,A
0123176,Edwardsville town,AL,43,A
0123296,Elba city,AL,25,A
0123320,Elberta town,AL,43,A
0123344,Eldridge town,AL,43,A
0123488,Elkmont town,AL,43,A
0123656,Elmore town,AL,43,A
0123872,Emelle town,AL,43,A
0124184,Enterprise city,AL,25,A
0124256,Epes town,AL,43,A
0124472,Ethelsville town,AL,43,A
0124568,Eufaula city,AL,25,A
0124664,Eutaw city,AL,25,A
0124688,Eva town,AL,43,A
0124808,Evergreen city,AL,25,A
0124880,Excel town,AL,43,A
0125120,Fairfield city,AL,25,A
0125240,Fairhope city,AL,25,A
0125384,Fairview town,AL,43,A
0125648,Falkville town,AL,43,A
0125816,Faunsdale town,AL,43,A
0125840,Fayette city,AL,25,A
0126200,Five Points town,AL,43,A
0126824,Flomaton town,AL,43,A
0126848,Florala town,AL,43,A
0126896,Florence city,AL,25,A
0126992,Foley city,AL,25,A
0127376,Forkland town,AL,43,A
0127520,Fort Deposit town,AL,43,A
0127616,Fort Payne city,AL,25,A
0128024,Franklin town,AL,43,A
0128312,Frisco City town,AL,43,A
0128432,Fruithurst town,AL,43,A
0128504,Fulton town,AL,43,A
0128552,Fultondale city,AL,25,A
0128672,Fyffe town,AL,43,A
0128696,Gadsden city,AL,25,A
0128768,Gainesville town,AL,43,A
0128936,Gantt town,AL,43,A
0129032,Garden City town,AL,43,A
0129056,Gardendale city,AL,25,A
0129296,Gaylesville town,AL,43,A
0129392,Geiger town,AL,43,A
0129464,Geneva city,AL,25,A
0129560,Georgiana town,AL,43,A
0129608,Geraldine town,AL,43,A
0129704,Gilbertown town,AL,43,A
0129944,Glen Allen town,AL,43,A
0129992,Glencoe city,AL,25,A
0130160,Glenwood town,AL,43,A
0130448,Goldville town,AL,43,A
0130496,Good Hope city,AL,25,A
0130640,Goodwater town,AL,43,A
0130736,Gordo town,AL,43,A
0130760,Gordon town,AL,43,A
0130808,Gordonville town,AL,43,A
0130880,Goshen town,AL,43,A
0131096,Grant town,AL,43,A
0131384,Graysville city,AL,25,A
0131720,Greensboro city,AL,25,A
0131912,Greenville city,AL,25,A
0132056,Grimes town,AL,43,A
0132080,Grove Hill town,AL,43,A
0132224,Guin city,AL,25,A
0132272,Gulf Shores city,AL,25,A
0132416,Guntersville city,AL,25,A
0132440,Gurley town,AL,43,A
0132536,Gu-Win town,AL,43,A
0132560,Hackleburg town,AL,43,A
0132656,Haleburg town,AL,43,A
