geoid,name,state,level
0100001,Fort Rucker School District,AL,unified
0100003,Maxwell AFB School District,AL,unified
0100005,Albertville City School District,AL,unified
0100006,Marshall County School District,AL,unified
0100007,Hoover City School District,AL,unified
0100008,Madison City School District,AL,unified
0100011,Leeds City School District,AL,unified
0100012,Boaz City School District,AL,unified
0100013,Trussville City School District,AL,unified
0100030,Alexander City City School District,AL,unified
0100060,Andalusia City School District,AL,unified
0100090,Anniston City School District,AL,unified
0100100,Arab City School District,AL,unified
0100120,Athens City School District,AL,unified
0100180,Attalla City School District,AL,unified
0100185,Saraland City School District,AL,unified
0100188,Chickasaw City School District,AL,unified
0100189,Satsuma City School District,AL,unified
0100190,Alabaster City School District,AL,unified
0100194,Pelham City School District,AL,unified
0100195,Pike Road City School District,AL,unified
0100202,Gulf Shores City School District,AL,unified
0100210,Auburn City School District,AL,unified
0100240,Autauga County School District,AL,unified
0100270,Baldwin County School District,AL,unified
0100300,Barbour County School District,AL,unified
0100330,Bessemer City School District,AL,unified
0100360,Bibb County School District,AL,unified
0100390,Birmingham City School District,AL,unified
0100420,Blount County School District,AL,unified
0100450,Brewton City School District,AL,unified
0100480,Bullock County School District,AL,unified
0100510,Butler County School District,AL,unified
0100540,Calhoun County School District,AL,unified
0100600,Chambers County School District,AL,unified
0100630,Cherokee County School District,AL,unified
0100660,Chilton County School District,AL,unified
0100690,Choctaw County School District,AL,unified
0100720,Clarke County School District,AL,unified
0100750,Clay County School District,AL,unified
0100780,Cleburne County School District,AL,unified
0100810,Coffee County School District,AL,unified
0100840,Colbert County School District,AL,unified
0100870,Conecuh County School District,AL,unified
0100900,Coosa County School District,AL,unified
0100930,Covington County School District,AL,unified
0100960,Crenshaw County School District,AL,unified
0100990,Cullman City School District,AL,unified
0101020,Cullman County School District,AL,unified
0101050,Dale County School District,AL,unified
0101080,Daleville City School District,AL,unified
0101110,Dallas County School District,AL,unified
0101140,DeKalb County School District,AL,unified
0101170,Decatur City School District,AL,unified
0101200,Demopolis City School District,AL,unified
0101230,Dothan City School District,AL,unified
0101260,Elba City School District,AL,unified
0101290,Elmore County School District,AL,unified
0101320,Enterprise City School District,AL,unified
0101350,Escambia County School District,AL,unified
0101380,Etowah County School District,AL,unified
0101410,Eufaula City School District,AL,unified
0101440,Fairfield City School District,AL,unified
0101470,Fayette County School District,AL,unified
0101530,Florence City School District,AL,unified
0101560,Fort Payne City School District,AL,unified
0101590,Franklin County School District,AL,unified
0101620,Gadsden City School District,AL,unified
0101640,Geneva City School District,AL,unified
0101660,Geneva County School District,AL,unified
0101680,Greene County School District,AL,unified
0101690,Guntersville City School District,AL,unified
0101710,Hale County School District,AL,unified
0101720,Haleyville City School District,AL,unified
0101730,Hartselle City School District,AL,unified
0101740,Henry County School District,AL,unified
0101760,Homewood City School District,AL,unified
0101770,Houston County School District,AL,unified
0101800,Huntsville City School District,AL,unified
0101830,Jackson County School District,AL,unified
0101860,Jacksonville City School District,AL,unified
0101890,Jasper City School District,AL,unified
0101920,Jefferson County School District,AL,unified
0101950,Lamar County School District,AL,unified
0101980,Lanett City School District,AL,unified
0102010,Lauderdale County School District,AL,unified
0102040,Lawrence County School District,AL,unified
0102070,Lee County School District,AL,unified
0102100,Limestone County School District,AL,unified
0102130,Linden City School District,AL,unified
0102160,Lowndes County School District,AL,unified
0102190,Macon County School District,AL,unified
0102220,Madison County School District,AL,unified
0102250,Marengo County School District,AL,unified
0102310,Marion County School District,AL,unified
0102350,Midfield City School District,AL,unified
0102370,Mobile County School District,AL,unified
0102400,Monroe County School District,AL,unified
0102430,Montgomery County School District,AL,unified
0102480,Morgan County School District,AL,unified
0102490,Mountain Brook City School District,AL,unified
0102520,Muscle Shoals City School District,AL,unified
0102550,Oneonta City School District,AL,unified
0102580,Opelika City School District,AL,unified
0102610,Opp City School District,AL,unified
0102635,Oxford City School District,AL,unified
0102640,Ozark City School District,AL,unified
0102650,Pell City City School District,AL,unified
0102670,Perry County School District,AL,unified
0102700,Phenix City City School District,AL,unified
0102730,Pickens County School District,AL,unified
0102760,Piedmont City School District,AL,unified
0102790,Pike County School District,AL,unified
0102820,Randolph County School District,AL,unified
0102850,Roanoke City School District,AL,unified
0102880,Russell County School District,AL,unified
0102910,Russellville City School District,AL,unified
0102940,Scottsboro City School District,AL,unified
0102970,Selma City School District,AL,unified
0103000,Sheffield City School District,AL,unified
0103030,Shelby County School District,AL,unified
0103062,St. Clair County School District,AL,unified
0103090,Sumter County School District,AL,unified
0103120,Sylacauga City School District,AL,unified
0103150,Talladega City School District,AL,unified
0103180,Talladega County School District,AL,unified
0103210,Tallapoosa County School District,AL,unified
0103240,Tallassee City School District,AL,unified
0103270,Tarrant City School District,AL,unified
0103300,Thomasville City School District,AL,unified
0103330,Troy City School District,AL,unified
0103360,Tuscaloosa City School District,AL,unified
0103390,Tuscaloosa County School District,AL,unified
0103420,Tuscumbia City School District,AL,unified
0103430,Vestavia Hills City School District,AL,unified
0103450,Walker County School District,AL,unified
0103480,Washington County School District,AL,unified
0103510,Wilcox County School District,AL,unified
0103540,Winfield City School District,AL,unified
0103580,Winston County School District,AL,unified
0103581,Orange Beach City School District,AL,unified
0200001,Lower Kuskokwim School District,AK,unified
0200003,Lower Yukon School District,AK,unified
0200004,Yupiit School District,AK,unified
0200005,Kashunamiut School District,AK,unified
0200007,Aleutians East Borough School District,AK,unified
0200010,Aleutian Region School District,AK,unified
0200020,Bering Strait School District,AK,unified
0200030,Bristol Bay Borough School District,AK,unified
0200050,Alaska Gateway School District,AK,unified
0200060,Cordova City School District,AK,unified
0200070,Copper River School District,AK,unified
0200090,Craig City School District,AK,unified
0200100,Delta/Greely School District,AK,unified
0200120,Dillingham City School District,AK,unified
0200130,Galena City School District,AK,unified
0200150,Ketchikan Gateway Borough School District,AK,unified
0200180,Anchorage School District,AK,unified
0200210,Juneau Borough School District,AK,unified
0200240,Sitka School District,AK,unified
0200270,Haines Borough School District,AK,unified
0200300,Hoonah City School District,AK,unified
0200330,Hydaburg City School District,AK,unified
0200360,Kake City School District,AK,unified
0200390,Kenai Peninsula Borough School District,AK,unified
0200450,Klawock City School District,AK,unified
0200480,Kodiak Island Borough School District,AK,unified
0200485,Lake and Peninsula Borough School District,AK,unified
0200510,Matanuska-Susitna Borough School District,AK,unified
