zcta,county_name,state,area_land_part
00601,Adjuntas Municipio,PR,164781682
00601,Utuado Municipio,PR,2066227
00602,Aguada Municipio,PR,78530159
00602,Añasco Municipio,PR,16554
00603,Aguadilla Municipio,PR,88747846
00603,Moca Municipio,PR,209487
00606,Maricao Municipio,PR,94466099
00606,Sabana Grande Municipio,PR,6960442
00606,Yauco Municipio,PR,13398841
00610,Aguada Municipio,PR,82104
00610,Añasco Municipio,PR,93009966
00610,Las Marías Municipio,PR,342983
00610,Moca Municipio,PR,2694297
00611,Utuado Municipio,PR,27570859
00612,Arecibo Municipio,PR,195161357
00612,Barceloneta Municipio,PR,176895
00612,Hatillo Municipio,PR,1864502
00616,Arecibo Municipio,PR,28189755
00617,Barceloneta Municipio,PR,47372606
00617,Florida Municipio,PR,166039
00622,Cabo Rojo Municipio,PR,80724808
00623,Cabo Rojo Municipio,PR,101522968
00624,Peñuelas Municipio,PR,115558559
00624,Ponce Municipio,PR,6065417
00627,Camuy Municipio,PR,120058676
00627,Quebradillas Municipio,PR,36977
00631,Adjuntas Municipio,PR,4091311
00631,Lares Municipio,PR,4004634
00636,San Germán Municipio,PR,949819
00637,Lajas Municipio,PR,1624014
00637,Sabana Grande Municipio,PR,85628403
00637,San Germán Municipio,PR,3838700
00638,Ciales Municipio,PR,169929646
00638,Manatí Municipio,PR,1167592
00638,Orocovis Municipio,PR,13831444
00641,Adjuntas Municipio,PR,78154
00641,Utuado Municipio,PR,217772289
00646,Dorado Municipio,PR,52970379
00646,Vega Alta Municipio,PR,1554515
00647,Guánica Municipio,PR,40217156
00647,Lajas Municipio,PR,732410
00650,Arecibo Municipio,PR,1960361
00650,Barceloneta Municipio,PR,872394
00650,Ciales Municipio,PR,2380547
00650,Florida Municipio,PR,39225458
00650,Manatí Municipio,PR,3504120
00650,Utuado Municipio,PR,34197145
00652,Arecibo Municipio,PR,16685216
00653,Guánica Municipio,PR,55739865
00653,Sabana Grande Municipio,PR,1461398
00656,Guayanilla Municipio,PR,105926727
00656,Yauco Municipio,PR,3226985
00659,Hatillo Municipio,PR,106336153
00660,Hormigueros Municipio,PR,29314496
00662,Isabela Municipio,PR,106890325
00664,Jayuya Municipio,PR,115340542
00664,Utuado Municipio,PR,6154646
00667,Lajas Municipio,PR,152931406
00667,San Germán Municipio,PR,2982750
00669,Lares Municipio,PR,155150711
00669,Las Marías Municipio,PR,4449997
00669,San Sebastián Municipio,PR,166288
00669,Utuado Municipio,PR,6284229
00670,Añasco Municipio,PR,4272383
00670,Las Marías Municipio,PR,115278844
00670,Maricao Municipio,PR,385645
00670,Mayagüez Municipio,PR,518522
00674,Manatí Municipio,PR,111921830
00674,Vega Baja Municipio,PR,620873
00676,Aguada Municipio,PR,1010761
00676,Aguadilla Municipio,PR,13939
00676,Moca Municipio,PR,125503540
00677,Aguada Municipio,PR,300613
00677,Añasco Municipio,PR,427153
00677,Rincón Municipio,PR,37005459
00678,Isabela Municipio,PR,13201331
00678,Quebradillas Municipio,PR,58710727
00678,San Sebastián Municipio,PR,3561556
00680,Añasco Municipio,PR,4021373
00680,Mayagüez Municipio,PR,156812880
00680,San Germán Municipio,PR,5715917
00682,Hormigueros Municipio,PR,70396
00682,Mayagüez Municipio,PR,42171663
00683,San Germán Municipio,PR,127657838
00685,Isabela Municipio,PR,23164186
00685,Moca Municipio,PR,1976241
00685,San Sebastián Municipio,PR,178667063
00687,Morovis Municipio,PR,100676194
00688,Arecibo Municipio,PR,84182898
00690,Aguadilla Municipio,PR,5856225
00692,Vega Alta Municipio,PR,68604911
00692,Vega Baja Municipio,PR,103912
00693,Manatí Municipio,PR,319475
00693,Vega Alta Municipio,PR,1656884
00693,Vega Baja Municipio,PR,113042021
00694,Vega Baja Municipio,PR,2069783
00698,Guayanilla Municipio,PR,3553656
00698,Yauco Municipio,PR,158746104
00703,Aguas Buenas Municipio,PR,74857404
00703,Cidra Municipio,PR,2859243
00703,Comerío Municipio,PR,2630161
00704,Guayama Municipio,PR,588414
00704,Salinas Municipio,PR,22711614
00705,Aibonito Municipio,PR,76526187
00705,Coamo Municipio,PR,2219853
00707,Maunabo Municipio,PR,54196286
00714,Arroyo Municipio,PR,38857653
00715,Juana Díaz Municipio,PR,274799
00715,Ponce Municipio,PR,32638754
00716,Ponce Municipio,PR,22449489
00717,Ponce Municipio,PR,6145510
00718,Ceiba Municipio,PR,150705
00718,Naguabo Municipio,PR,122124435
00719,Comerío Municipio,PR,359906
00719,Corozal Municipio,PR,1642207
00719,Naranjito Municipio,PR,70969173
00719,Toa Alta Municipio,PR,90846
00720,Coamo Municipio,PR,1021428
00720,Orocovis Municipio,PR,144378028
00723,Arroyo Municipio,PR,15092
00723,Maunabo Municipio,PR,620430
00723,Patillas Municipio,PR,118514616
00725,Aguas Buenas Municipio,PR,2057990
00725,Caguas Municipio,PR,93344067
00725,Guaynabo Municipio,PR,4834999
00725,San Juan Municipio,PR,2449159
00725,San Lorenzo Municipio,PR,2947891
00725,Trujillo Alto Municipio,PR,1496082
00727,Caguas Municipio,PR,58439043
00728,Ponce Municipio,PR,39878650
00729,Canóvanas Municipio,PR,84749593
00729,Loíza Municipio,PR,7850838
00730,Ponce Municipio,PR,17191037
00731,Adjuntas Municipio,PR,3774579
00731,Ponce Municipio,PR,123013531
00735,Ceiba Municipio,PR,67084117
00735,Naguabo Municipio,PR,3819045
00736,Cayey Municipio,PR,131454582
00736,Cidra Municipio,PR,10736019
00738,Ceiba Municipio,PR,342279
00738,Fajardo Municipio,PR,76367260
00739,Cidra Municipio,PR,79702683
00740,Fajardo Municipio,PR,1081390
00741,Humacao Municipio,PR,5896296
00745,Canóvanas Municipio,PR,325448
00745,Río Grande Municipio,PR,157008570
00751,Cayey Municipio,PR,250906
00751,Salinas Municipio,PR,157043787
00754,San Lorenzo Municipio,PR,129481143
00757,Santa Isabel Municipio,PR,84003578
00765,Vieques Municipio,PR,122392233
00766,Orocovis Municipio,PR,6578886
00766,Villalba Municipio,PR,92298569
00767,Humacao Municipio,PR,963264
00767,Yabucoa Municipio,PR,141949016
00769,Coamo Municipio,PR,195731993
00769,Santa Isabel Municipio,PR,3900617
00771,Humacao Municipio,PR,894394
00771,Las Piedras Municipio,PR,86130989
00772,Loíza Municipio,PR,42328585
00773,Luquillo Municipio,PR,62418898
00775,Culebra Municipio,PR,30161189
00777,Canóvanas Municipio,PR,55230
00777,Gurabo Municipio,PR,28586
00777,Juncos Municipio,PR,68609110
00777,Las Piedras Municipio,PR,313474
00777,San Lorenzo Municipio,PR,544201
00778,Gurabo Municipio,PR,71889882
00778,San Lorenzo Municipio,PR,4574727
00780,Juana Díaz Municipio,PR,825219
00780,Ponce Municipio,PR,48730595
