zcta,place_name,state,area_land_part
01001,Agawam Town city,MA,29247431
01002,Amherst Town city,MA,69465283
01003,Amherst Town city,MA,2082670
01009,Palmer Town city,MA,1806483
01013,Chicopee city,MA,14659172
01020,Chicopee city,MA,32197131
01020,Springfield city,MA,76505
01022,Chicopee city,MA,12468872
01027,Easthampton Town city,MA,34501970
01027,Northampton city,MA,226974
01028,Springfield city,MA,17042
01030,Agawam Town city,MA,31155981
01040,Holyoke city,MA,54816657
01053,Northampton city,MA,14893903
01060,Northampton city,MA,28147405
01062,Northampton city,MA,45199186
01063,Northampton city,MA,228872
01069,Palmer Town city,MA,70157646
01077,Westfield city,MA,93435
01079,Palmer Town city,MA,4163329
01080,Palmer Town city,MA,4313061
01082,Palmer Town city,MA,180879
01085,Westfield city,MA,119720914
01089,West Springfield Town city,MA,43331574
01095,Palmer Town city,MA,1152121
01103,Springfield city,MA,1126124
01104,Springfield city,MA,13551122
01105,Springfield city,MA,3123274
01106,Springfield city,MA,1284934
01107,Springfield city,MA,3994637
01108,Springfield city,MA,8856458
01109,Springfield city,MA,14092648
01118,Springfield city,MA,9312986
01119,Springfield city,MA,9144298
01128,Springfield city,MA,2872228
01129,Springfield city,MA,8899440
01144,Springfield city,MA,55751
01151,Springfield city,MA,6135002
01201,Pittsfield city,MA,104812683
01247,North Adams city,MA,52697981
01301,Greenfield city,MA,55458172
01420,Fitchburg city,MA,71468187
01420,Leominster city,MA,6382072
01440,Gardner city,MA,57154590
01453,Leominster city,MA,68269233
01462,Fitchburg city,MA,596513
01545,Worcester city,MA,51399
01550,Southbridge Town city,MA,52416905
01583,Worcester city,MA,24962
01602,Worcester city,MA,15096694
01603,Worcester city,MA,11544052
01604,Worcester city,MA,17174773
01605,Worcester city,MA,14643872
01606,Worcester city,MA,14509945
01607,Worcester city,MA,7279552
01608,Worcester city,MA,1247109
01609,Worcester city,MA,9670694
01610,Worcester city,MA,5522924
01701,Framingham city,MA,43741623
01702,Framingham city,MA,21121649
01752,Marlborough city,MA,54026863
01773,Waltham city,MA,41745
01801,Woburn city,MA,32762934
01824,Lowell city,MA,344496
01826,Methuen Town city,MA,299905
01830,Haverhill city,MA,35918669
01832,Haverhill city,MA,29413877
01835,Haverhill city,MA,20231094
01840,Lawrence city,MA,1322161
01841,Lawrence city,MA,7881520
