old_slug,gov_id,new_slug,evidence
abbotsford,us:place:5500100,abbotsford-wi,"'Abbotsford' now resolves to us:place:5500100 (Abbotsford, WI)"
aiken-county-public-schools-sc,us:sd:4500720,aiken-county-school-district-sc,"'Aiken County Public Schools, SC' now resolves to us:sd:4500720 (Aiken County School District, SC)"
alameda,us:place:0600562,alameda-ca,"'City of Alameda' now resolves to us:place:0600562 (Alameda, CA)"
albuquerque-bernalillo-county-water-utility-authority,rtr:us:nm:albuquerque-bernalillo-county-water-utility-authority,albuquerque-bernalillo-county-water-utility-authority-nm,"'Albuquerque Bernalillo County Water Utility Authority' now resolves to rtr:us:nm:albuquerque-bernalillo-county-water-utility-authority (Albuquerque Bernalillo County Water Utility Authority, NM)"
alpine,us:county:06003,alpine-county-ca,"'Alpine' now resolves to us:county:06003 (Alpine County, CA)"
altoona,us:place:5501550,altoona-wi,"'City of Altoona' now resolves to us:place:5501550 (Altoona, WI)"
amherst,us:county:51009,amherst-county-va,"'Amherst' now resolves to us:county:51009 (Amherst County, VA)"
amherst-oh,us:place:3901798,amherst-city-oh,"'Amherst, OH' now resolves to us:place:3901798 (Amherst (city), OH)"
amsterdam-ny,us:place:3602066,amsterdam-city-ny,"'Amsterdam, NY' now resolves to us:place:3602066 (Amsterdam (city), NY)"
anderson-in,us:place:1801468,anderson-city-in,"'City of Anderson, IN' now resolves to us:place:1801468 (Anderson (city), IN)"
andover,us:place:2001800,andover-ks,"'The City of Andover' now resolves to us:place:2001800 (Andover, KS)"
annapolis,us:place:2401600,annapolis-md,"'City of Annapolis' now resolves to us:place:2401600 (Annapolis, MD)"
antioch,us:place:0602252,antioch-ca,"'Antioch' now resolves to us:place:0602252 (Antioch, CA)"
appleton,us:place:5502375,appleton-wi,"'City of Appleton' now resolves to us:place:5502375 (Appleton, WI)"
arkansas-supreme-court,rtr:us:sc:arkansas-supreme-court,arkansas-supreme-court-sc,"'Arkansas Supreme Court' now resolves to rtr:us:sc:arkansas-supreme-court (Arkansas Supreme Court, SC)"
arlington-heights,us:place:1702154,arlington-heights-il,"'Arlington Heights' now resolves to us:place:1702154 (Arlington Heights, IL)"
artesia,us:place:0602896,artesia-ca,"'Artesia' now resolves to us:place:0602896 (Artesia, CA)"
ashland-wi,us:place:5503225,ashland-city-wi,"'Ashland, WI' now resolves to us:place:5503225 (Ashland (city), WI)"
athens-oh,us:place:3902736,athens-city-oh,"'Athens, OH' now resolves to us:place:3902736 (Athens (city), OH)"
auburn-ca,rtr:us:ca:auburn,the-city-of-auburn-ca,"'The City of Auburn, CA' now resolves to rtr:us:ca:auburn (The City of Auburn, CA)"
aurora-il,us:place:1703012,aurora-city-il,"'Aurora, IL' now resolves to us:place:1703012 (Aurora (city), IL)"
bainbridge-wa,us:place:5303736,bainbridge-island-wa,"'Bainbridge, WA' now resolves to us:place:5303736 (Bainbridge Island, WA)"
baldwin-county,us:county:01003,baldwin-county-al,"'Baldwin County' now resolves to us:county:01003 (Baldwin County, AL)"
