gov_id,name,state,population,domain,hub_url,hub_fetch_status,home_fetch_status,hop_candidates_checked,fetches_used,outcome,platform,hit_url,hit_source,needs_listing_discovery,all_platforms_found,note,error
38:4836020,Ingleside on the Bay city,TX,602,https://inglesideonthebaytx.gov,https://inglesideonthebaytx.gov/news-agendas,ok,ok,10,10,no_platform_link_found,,,,False,,,
38:5502500,Arcadia city,WI,3821,https://cityofarcadiawi.gov,https://cityofarcadiawi.gov/government/mayor-council/,ok,ok,12,10,no_platform_link_found,,,,False,,,
38:1728430,Galva city,IL,2396,https://galvail.gov,https://www.galvail.gov/government/agendas-minutes-reports/,ok,ok,0,2,platform_found,direct_file,https://www.galvail.gov/wp-content/uploads/CityOfGalva_Slide_TBRMF2024-1.mp4,home_page_anchor,False,direct_file:https://www.galvail.gov/wp-content/uploads/CityOfGalva_Slide_TBRMF2024-1.mp4,,
37:2302756450,Palermo town,ME,,https://www.townofpalermo.org,https://www.townofpalermo.org/meetings-elections/select-board-meetings,ok,ok,10,10,platform_found,youtube,https://www.youtube.com/zoommeetings,hub_hop_link_page_anchor,False,youtube:https://www.youtube.com/zoommeetings,challenge at home_hop_link (http://www.lakesofmaine.org/lake-overview.html?m=4896),
38:3644424,Madison village,NY,311,https://villageofmadisonny.gov,https://villageofmadisonny.gov/board-meetings-minutes,ok,ok,1,3,no_platform_link_found,,,,False,,,
38:3028000,Fort Benton city,MT,1422,https://cityoffortbenton.com,https://www.cloudflare.com/?utm_source=challenge&utm_campaign=l,ok,challenge,1,3,no_platform_link_found,,,,False,,domain home is behind a human-verification challenge; stopped there,
38:2508130,Bridgewater Town city,MA,29167,https://bridgewaterma.org,https://bridgewaterma.portal.civicclerk.com/,ok,redirect_off_host,0,2,no_platform_link_found,,,,False,,"domain home redirects off-host, not fetched: https://www.bridgewaterma.gov/",
38:1006730,Blades town,DE,1330,https://blades.delaware.gov,https://blades.delaware.gov/meeting-agendas-minutes/,ok,ok,14,10,no_platform_link_found,,,,False,,,
38:3607190,Bolivar village,NY,1001,https://villageofbolivarny.gov,https://www.villageofbolivarny.gov/budgets-meetings-agendas,ok,ok,6,8,no_platform_link_found,,,,False,,,
38:2513660,Chicopee city,MA,55381,https://chicopeema.gov,https://chicopeema.gov/582/Meeting-Notifications,ok,ok,13,10,no_platform_link_found,,,,False,,excluded non-actionable hit: civicplus https://chicopeema.gov/agendacenter (source=hub_page_anchor); excluded non-actionable hit: civicplus https://chicopeema.gov/agendacenter (source=home_page_anchor); excluded non-actionable hit: civicplus https://chicopeema.gov/agendacenter (source=hub_hop_link); excluded non-actionable hit: civicplus https://chicopeema.gov/agendacenter (source=hub_hop_link_page_anchor); excluded non-actionable hit: civicplus https://chicopeema.gov/agendacenter (source=hub_ho,
37:2301917950,Dixmont town,ME,,https://townofdixmont.org,https://townofdixmont.org/local-government/board-of-appeals/,ok,ok,8,10,no_platform_link_found,,,,False,,,
38:1774223,Sycamore city,IL,18968,https://cityofsycamore.com,https://cityofsycamore.com/DocumentCenter/View/2001/2027-pre-filing-notice-AMENDED,ok,ok,9,10,no_platform_link_found,,,,False,,excluded non-actionable hit: civicplus https://cityofsycamore.com/AgendaCenter (source=home_page_anchor); excluded non-actionable hit: civicplus https://cityofsycamore.com/AgendaCenter (source=home_icon_shortcut_page_anchor); excluded non-actionable hit: civicplus https://cityofsycamore.com/AgendaCenter (source=home_hop_link); excluded non-actionable hit: civicplus https://cityofsycamore.com/AgendaCenter (source=home_hop_link_page_anchor); excluded non-actionable hit: civicplus https://cityofsyc,
