gov_id,name,state,population,domain,hub_url,hub_fetch_status,home_fetch_status,hop_candidates_checked,fetches_used,outcome,platform,hit_url,hit_source,needs_listing_discovery,all_platforms_found,note,error
0:5939,Columbia-Shuswap,BC,,https://csrd.bc.ca,https://www.csrd.bc.ca/AgendaCenter/Advisory-Planning-Commissions-7,ok,ok,16,10,platform_found,youtube,https://www.youtube.com/user/ColumbiaShuswapRD/videos,hub_icon_shortcut_redirect,False,youtube:https://www.youtube.com/user/ColumbiaShuswapRD/videos,excluded non-actionable hit: civicplus https://www.csrd.bc.ca/rss.aspx#agendaCenter (source=hub_page_anchor); excluded non-actionable hit: civicplus https://www.csrd.bc.ca/AgendaCenter/ViewFile/Minutes/_04152026-42 (source=hub_hop_link); excluded non-actionable hit: civicplus https://www.csrd.bc.ca/AgendaCenter/Advisory-Planning-Commissions-7 (source=home_hop_link_page_anchor); excluded non-actionable hit: civicplus https://www.csrd.bc.ca/AgendaCenter/PreviousVersions/_04152026-42 (source=hub_ho,
36:01117,Shelby County,AL,235969,https://shelbyal.com,https://www.shelbyal.com/AgendaCenter/PreviousVersions/732,ok,ok,17,10,platform_found,vimeo,https://player.vimeo.com/video/727839472?h=f2e07dd543&badge=0&autopause=0&player_id=0&app_id=58479,home_icon_shortcut_page_anchor,False,vimeo:https://player.vimeo.com/video/727839472?h=f2e07dd543&badge=0&autopause=0&player_id=0&app_id=58479,excluded non-actionable hit: civicplus https://www.shelbyal.com/rss.aspx#agendaCenter (source=hub_page_anchor); excluded non-actionable hit: civicplus https://www.shelbyal.com/AgendaCenter/PreviousVersions/735 (source=home_page_anchor); excluded non-actionable hit: civicplus https://www.shelbyal.com/AgendaCenter (source=hub_hop_link); excluded non-actionable hit: civicplus https://www.shelbyal.com/AgendaCenter/ViewFile/Agenda/_09142026-732 (source=hub_hop_link); excluded non-actionable hit: civi,
36:08075,Logan County,CO,20755,https://logancountyco.gov,https://www.logancountyco.gov/agendacenter,challenge,challenge,0,2,hub_and_home_unreachable,,,,False,,hub_url is behind a human-verification challenge; stopped there; domain home is behind a human-verification challenge; stopped there,
36:13107,Emanuel County,GA,23224,https://emanuelco-ga.gov,https://www.emanuelco-ga.gov/AgendaCenter,ok,dead_then_dead,8,2,no_platform_link_found,,,,False,,excluded non-actionable hit: civicplus https://www.emanuelco-ga.gov/rss.aspx#agendaCenter (source=hub_page_anchor); excluded non-actionable hit: civicplus https://www.emanuelco-ga.gov/agendacenter (source=hub_hop_link); excluded non-actionable hit: civicplus https://portal.civicplus.com/GA-EmanuelCounty/notifications?tab=alerts (source=hub_hop_link); excluded non-actionable hit: civicplus https://www.emanuelco-ga.gov/AgendaCenter/ViewFile/Agenda/_12212026-214?html=true (source=hub_hop_link); exc,
36:13189,McDuffie County,GA,21764,https://thomson-mcduffie.com,https://www.thomson-mcduffie.com/AgendaCenter,redirect_off_host,blocked_then_blocked,0,2,hub_and_home_unreachable,,,,False,,excluded non-actionable hit: civicplus http://www.thomson-mcduffie.gov/AgendaCenter (source=hub_redirect),
36:16053,Jerome County,ID,26056,https://jeromecountyid.gov,https://jeromecountyid.gov/agendacenter,challenge,ok,8,9,no_platform_link_found,,,,False,,hub_url is behind a human-verification challenge; stopped there; excluded non-actionable hit: civicplus https://jeromecountyid.gov/agendacenter (source=home_page_anchor); excluded non-actionable hit: civicplus https://jeromecountyid.gov/agendacenter (source=home_hop_link); excluded non-actionable hit: civicplus https://jeromecountyid.gov/agendacenter (source=home_hop_link_page_anchor); excluded non-actionable hit: civicplus https://jeromecountyid.gov/agendacenter (source=home_hop_link_page_ancho,
36:17103,Lee County,IL,33544,https://www.leecountyil.com,https://www.leecountyil.com/AgendaCenter/County-Board-2,ok,ok,16,8,no_platform_link_found,,,,False,,excluded non-actionable hit: civicplus https://www.leecountyil.com/rss.aspx#agendaCenter (source=hub_page_anchor); excluded non-actionable hit: civicplus https://www.leecountyil.com/AgendaCenter/County-Board-2 (source=home_page_anchor); excluded non-actionable hit: civicplus https://www.leecountyil.com/AgendaCenter/ViewFile/Agenda/_05072026-1177 (source=hub_hop_link); excluded non-actionable hit: civicplus https://www.leecountyil.com/AgendaCenter/County-Board-2 (source=home_hop_link); excluded n,
36:18103,Miami County,IN,35613,https://miamicountyin.gov,https://www.miamicountyin.gov/AgendaCenter,ok,dead_then_dead,8,2,no_platform_link_found,,,,False,,excluded non-actionable hit: civicplus https://www.miamicountyin.gov/rss.aspx#agendaCenter (source=hub_page_anchor); excluded non-actionable hit: civicplus https://www.miamicountyin.gov/AgendaCenter/ViewFile/Agenda/_05052025-984 (source=hub_hop_link); excluded non-actionable hit: civicplus https://www.miamicountyin.gov/AgendaCenter/ViewFile/Agenda/_08032026-1045 (source=hub_hop_link); excluded non-actionable hit: civicplus https://www.miamicountyin.gov/AgendaCenter/ViewFile/Agenda/_07232026-1044,
36:19183,Washington County,IA,22631,https://co.washington.ia.us,https://washingtoncounty.iowa.gov/agendacenter,ok,blocked_then_blocked,9,3,no_platform_link_found,,,,False,,excluded non-actionable hit: civicplus https://washingtoncounty.iowa.gov/rss.aspx#agendaCenter (source=hub_page_anchor); excluded non-actionable hit: civicplus https://washingtoncounty.iowa.gov/agendacenter (source=hub_icon_shortcut_page_anchor); excluded non-actionable hit: civicplus https://washingtoncounty.iowa.gov/AgendaCenter/ViewFile/Agenda/_02182026-972 (source=hub_hop_link); excluded non-actionable hit: civicplus https://washingtoncounty.iowa.gov/AgendaCenter/ViewFile/Agenda/_08112026-10,
36:20087,Jefferson County,KS,18332,https://jeffersoncountyks.gov,https://jfcountyks.com/agendacenter,ok,blocked_then_blocked,8,2,no_platform_link_found,,,,False,,excluded non-actionable hit: civicplus https://jfcountyks.com/agendacenter (source=hub_page_anchor); excluded non-actionable hit: civicplus https://jfcountyks.com/agendacenter (source=hub_hop_link); excluded non-actionable hit: civicplus https://jfcountyks.com/AgendaCenter/ViewFile/Agenda/_09282026-902?html=true (source=hub_hop_link); excluded non-actionable hit: civicplus https://jfcountyks.com/AgendaCenter/ViewFile/Agenda/_07062026-883?html=true (source=hub_hop_link); excluded non-actionable h,
