gov_id,name,state,country,gov_kind,population,domain,reject_reason,access_mode,rung_answered,bucket,platform,hit_url,final_url,waf_family,note,elapsed_seconds,exception,final_url_is_youtube,direct_file_plausible
38:4902740,Aurora city,UT,us,municipality,1053,facebook.com,no-platform-link-found,plain,plain,dead,,,https://www.facebook.com/,none,"reached, hop links checked, no platform link found",18.2,,False,
37:5512776175,Spring Prairie town,WI,us,township,,townofspringprairiewi.gov,no-platform-link-found,plain,plain,dead,,,https://townofspringprairiewi.gov,cloudflare,"reached, hop links checked, no platform link found",17.5,,False,
36:29107,Lafayette County,MO,us,county,33511,lafayettecountymo.gov,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com,https://lafayettecountymo.gov,none,,0.3,,False,
38:3067600,Sheridan town,MT,us,municipality,765,townofsheridanmt.net,no-platform-link-found,plain,plain,dead,,,https://townofsheridanmt.net,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://townofsheridanmt.net/
Call log:
  - navigating to ""https://townofsheridanmt.net/"", waiting until ""load""
",4.4,,False,
38:2651660,Marion village,MI,us,municipality,798,mariontwpcvxmi.gov,no-platform-link-found,plain,plain,dead,,,https://mariontwpcvxmi.gov,none,"reached, hop links checked, no platform link found",16.9,,False,
38:1771448,Sparta city,IL,us,municipality,4040,spartaillinois.us,no-platform-link-found,plain,plain,dead,,,https://www.spartaillinois.us/,none,"reached, hop links checked, no platform link found",3.4,,False,
37:3611378300,Warrensburg town,NY,us,township,,warrensburgny.gov,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/channel/UCmPz14cOT54xh87DJX_oPxg,https://warrensburgny.gov,none,,0.6,,False,
38:2906346,Blodgett city,MO,us,municipality,207,cityofblodgett.com,no-platform-link-found,plain,plain,dead,,,https://www.cityofblodgett.com/,none,"reached, hop links checked, no platform link found",11.2,,False,
38:1772468,Steeleville village,IL,us,municipality,1895,steeleville.org,no-platform-link-found,plain,plain,dead,,,https://www.steeleville.org/,none,"reached, hop links checked, no platform link found",7.4,,False,
1:2431100,Saint-Jean-de-Brébeuf,QC,ca,municipality,351,st-jean-de-brebeuf.ca,no-platform-link-found,plain,plain,plain,direct_file,https://drive.google.com/file/d/1rla47Oo-mSxKje_J7WoOxBdBqRe4MmI-/view?usp=sharing,https://st-jean-de-brebeuf.ca,none,,0.4,,False,True
36:29043,Christian County,MO,us,county,96045,christiancountymo.gov,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/embed/l5htgDwHsQo?si=Q7Aldd7Lyas-J5PU,https://www.christiancountymo.gov/,none,,1.2,,False,
38:0241830,Kotzebue city,AK,us,municipality,2889,cityofkotzebue.gov,no-platform-link-found,challenge,challenge,challenge,,,https://www.cityofkotzebue.gov/meetings,cloudflare,,4.4,,False,
38:3942476,Leesburg village,OH,us,municipality,1283,leesburgtownshipoh.gov,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/WordPressdotcom,https://wordpress.com/?ref=footer_blog,none,,7.5,,False,
38:3472480,Teterboro borough,NJ,us,municipality,71,teterboronj.org,no-platform-link-found,plain,plain,dead,,,https://teterboronj.org,none,"reached, hop links checked, no platform link found",53.6,,False,
38:2153616,Mortons Gap city,KY,us,municipality,724,mortonsgap.ky.gov,no-platform-link-found,plain,plain,plain,youtube,https://www.youtube.com/user/kygov,https://www.kentucky.gov/policies/Pages/default.aspx,none,,3.9,,False,
36:28113,Pike County,MS,us,county,38980,pikecountyms.gov,no-platform-signature,plain,plain,dead,,,https://pikecountyms.gov,none,"headless failed: Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://pikecountyms.gov/
Call log:
  - navigating to ""https://pikecountyms.gov/"", waiting until ""load""
",3.6,,False,
