page_id,slug,tenant_host,platform,category,status,expected_gov_id,expected_jurisdiction,expected_tier,note
6998,hmb-city-council-9-1-26,videoplayer.telvue.com,telvue,shared TelVue token,verified,us:place:0631708,"Half Moon Bay, CA",manual_override,Pacifica Coast TV token carries Pacifica AND Half Moon Bay; a one-page rule filed HMB under Pacifica
1130,juneau-wi-2025-05-05-assembly-committee-of-the-whole,juneauak.portal.civicclerk.com,civicclerk,name collision across a state line,verified,us:place:0236400,"Juneau, AK",manual_override,"Juneau AK host, page keyed to Juneau WI by the place table; authoritative pin"
3948,juneau-wi-2026-08-25-planning-commission-meeting,juneauak.portal.civicclerk.com,civicclerk,name collision across a state line,verified,us:place:0236400,"Juneau, AK",manual_override,same
3129,juneau-ak-2025-11-05-assembly-finance-committee,juneauak.portal.civicclerk.com,civicclerk,minted duplicate of a real place,verified,us:place:0236400,"Juneau, AK",manual_override,"Juneau, AK minted rtr:us:ak:juneau beside us:place:0236400"
6584,wasatch-ut-2026-08-24-2026-08-24-wfwrd-board-of-trustees-meeting-recording,youtu.be,youtube,special district filed under its county,verified,rtr:us:ut:wasatch-front-waste-recycling-district,"Wasatch Front Waste & Recycling District, UT",manual_override,WFWRD board on youtu.be keyed to Wasatch County; minted district row
6973,wasatch-ut-2026-03-25-2026-03-23-wfwrd-board-of-trustees-regular-meeting-and-pub,youtu.be,youtube,special district filed under its county,verified,rtr:us:ut:wasatch-front-waste-recycling-district,"Wasatch Front Waste & Recycling District, UT",manual_override,
6974,wasatch-ut-2026-04-27-2026-04-27-wfwrd-board-of-trustees-leadership-staff-retrea,youtu.be,youtube,special district filed under its county,verified,rtr:us:ut:wasatch-front-waste-recycling-district,"Wasatch Front Waste & Recycling District, UT",manual_override,
6975,wasatch-ut-2026-05-18-2026-05-18-wfwrd-board-of-trustees-meeting-recording,youtu.be,youtube,special district filed under its county,verified,rtr:us:ut:wasatch-front-waste-recycling-district,"Wasatch Front Waste & Recycling District, UT",manual_override,
6976,wasatch-ut-2026-07-27-2026-07-27-board-of-trustees-meeting-recording,youtu.be,youtube,special district filed under its county,verified,rtr:us:ut:wasatch-front-waste-recycling-district,"Wasatch Front Waste & Recycling District, UT",manual_override,
7114,state-college-pa-8-6-25-state-college-borough-planning-commission,videoplayer.telvue.com,telvue,place that reads as a school district,verified,us:place:4273808,"State College, PA",registry,"State College, PA keyed to State College Area SD via the trailing-College classify rule"
4097,gloucester-ma-2026-08-11-school-board-meeting,pub-gloucesterva.escribemeetings.com,escribe,name collision across a state line,verified,us:sd:5101620,"Gloucester County Public Schools, VA",manual_override,Gloucester VA/MA (manual override)
757,arkansas-supreme-court-2026-05-21-cv-25-16-tyson-chicken-inc-et-al-v-jim-hudson,arkansas-sc.granicus.com,granicus,subdomain type initials look like a state,verified,rtr:us:ar:arkansas-supreme-court,"Arkansas Supreme Court, AR",pinned,"sc = Supreme Court, not South Carolina"
5541,arkansas-supreme-court-2026-08-28-cmp-graduation-aug-28th-2026,arkansas-sc.granicus.com,granicus,subdomain type initials look like a state,verified,rtr:us:ar:arkansas-supreme-court,"Arkansas Supreme Court, AR",pinned,"sc = Supreme Court, not South Carolina"
5218,oxnard-school-district-regular-board-meeting-21-22-agenda-1,oxnardsd.granicus.com,granicus,subdomain type initials look like a state,verified,us:sd:0629220,"Oxnard School District, CA",pinned,"sd = School District, not South Dakota"
2095,colorado-joint-education-virtual-online-only-sep-23rd-2020,coloradoga.granicus.com,granicus,subdomain type initials look like a state,verified,us:state:08,State of Colorado,inferred,"ga = General Assembly, not Georgia"
5644,state-of-colorado-2020-05-27-senate-agriculture-natural-resources-may-27th-2020,coloradoga.granicus.com,granicus,subdomain type initials look like a state,verified,us:state:08,State of Colorado,registry,"ga = General Assembly, not Georgia"
417,s-fw-md-2024-12-12-february-2025-governing-board-meeting,sfwmd.granicus.com,granicus,subdomain type initials look like a state,verified,rtr:us:fl:south-florida-water-management,"South Florida Water Management District, FL",pinned,"md = Management District, not Maryland"
5933,south-florida-water-management-district-2026-08-31-big-cypress-basin-board,sfwmd.granicus.com,granicus,subdomain type initials look like a state,verified,rtr:us:fl:south-florida-water-management,"South Florida Water Management District, FL",pinned,"md = Management District, not Maryland"
1009,south-florida-water-management-district-2016-03-10-governing-board-monthly-meeti,sfwmd.iqm2.com,iqm2,subdomain type initials look like a state,verified,rtr:us:fl:south-florida-water-management,"South Florida Water Management District, FL",pinned,same government on a second host
2418,south-florida-water-management-district-2013-06-13-governing-board-monthly-meeti,sfwmd.iqm2.com,iqm2,subdomain type initials look like a state,verified,rtr:us:fl:south-florida-water-management,"South Florida Water Management District, FL",pinned,same government on a second host
800,lloydminster-minutes-of-a-regular-council-meeting-meeting-2023-04-03-regular-cou,pub-lloydminster.escribemeetings.com,escribe,two-province government,verified,rtr:ca:ab-sk:lloydminster,"Lloydminster, AB/SK",pinned,"Lloydminster AB/SK: one city, both provinces displayed"
2333,2025-08-11-governance-and-priorities-committee,pub-lloydminster.escribemeetings.com,escribe,two-province government,verified,rtr:ca:ab-sk:lloydminster,"Lloydminster, AB/SK",pinned,"Lloydminster AB/SK: one city, both provinces displayed"
170,city-and-county-of-san-francisco-2026-07-28-board-of-supervisors-regular-meeting,sanfrancisco.granicus.com,granicus,consolidated government,verified,us:place:0667000,"San Francisco, CA",registry,City and County of San Francisco
167,city-and-county-of-denver-2026-08-03-city-council-on-2026-08-03-3-30-pm,denver.granicus.com,granicus,consolidated government,verified,us:place:0820000,"Denver, CO",registry,City and County of Denver
316,county-of-honolulu-2024-06-27-2024-06-27-ps,honolulu.granicus.com,granicus,consolidated government,verified,us:county:15003,"City and County of Honolulu, HI",pinned,Honolulu keyed to the county row
168,nashville-davidson-county-tn-2026-04-21-metropolitan-council-on-2026-04-21-6-30,nashville.granicus.com,granicus,consolidated government,verified,us:place:4752006,"Nashville-Davidson, TN",registry,Nashville-Davidson (balance) row
169,louisville-jefferson-county-metro-2026-07-30-committee-of-the-whole-this-meeting,louisville.granicus.com,granicus,consolidated government,verified,us:place:2148006,"Louisville/Jefferson County, KY",registry,Louisville-Jefferson (balance) row
