input_set,jurisdiction,gov_id,keyed,tenant_host
archive,"Elliot Lake, ON",ca:csd:3557041,yes,elliotlakeon.new.swagit.com
archive,"Amherstburg, ON",ca:csd:3537028,yes,pub-amherstburg.escribemeetings.com
archive,"Arran-Elderslie, ON",ca:csd:3541043,yes,pub-arranelderslie.escribemeetings.com
archive,"Blind River, ON",ca:csd:3557038,yes,pub-blindriver.escribemeetings.com
archive,"The Blue Mountains, ON",ca:csd:3542045,yes,pub-bluemountains.escribemeetings.com
archive,"Brampton, ON",ca:csd:3521010,yes,pub-brampton.escribemeetings.com
archive,"Caledon, ON",ca:csd:3521024,yes,pub-caledon.escribemeetings.com
archive,"Cobourg, ON",ca:csd:3514021,yes,pub-cobourg.escribemeetings.com
archive,"Collingwood, ON",ca:csd:3543031,yes,pub-collingwood.escribemeetings.com
archive,"Fort Erie, ON",ca:csd:3526003,yes,pub-forterie.escribemeetings.com
archive,"Georgina, ON",ca:csd:3519070,yes,pub-georgina.escribemeetings.com
archive,"Guelph, ON",ca:csd:3523008,yes,pub-guelph.escribemeetings.com
archive,Hamilton,rtr:ca:on:hamilton-police-services-board,no,pub-hpsb.escribemeetings.com
archive,"Lambton Shores, ON",ca:csd:3538040,yes,pub-lambtonshores.escribemeetings.com
archive,"Milton, ON",ca:csd:3524009,yes,pub-milton.escribemeetings.com
archive,"Oshawa, ON",ca:csd:3518013,yes,pub-oshawa.escribemeetings.com
archive,"Peel Region, ON",ca:cd:3521,yes,pub-peelregion.escribemeetings.com
archive,"Penticton, BC",ca:csd:5907041,yes,pub-penticton.escribemeetings.com
archive,"Port Moody, BC",rtr:ca:bc:port-moody,no,pub-portmoody.escribemeetings.com
archive,"Region Of Waterloo, ON",ca:cd:3530,yes,pub-regionofwaterloo.escribemeetings.com
archive,Richmond Hill Single Source Award,ca:csd:3519038,yes,pub-richmondhill.escribemeetings.com
archive,"Scugog, ON",ca:csd:3518020,yes,pub-scugog.escribemeetings.com
archive,Tdsb,rtr:ca:on:toronto-district-school-board,no,pub-tdsb.escribemeetings.com
archive,"Thunder Bay, ON",ca:csd:3558004,yes,pub-thunderbay.escribemeetings.com
archive,"Grand Valley, ON",ca:csd:3522010,yes,pub-townofgrandvalley.escribemeetings.com
archive,"Mississauga, ON",ca:csd:3521005,yes,pub-mississauga.escribemeetings.com
archive,"Oakville, ON",ca:csd:3524001,yes,pub-oakville.escribemeetings.com
archive,"Township of Adjala-Tosorontio, ON",ca:csd:3543003,yes,adjala-tosorontio.civicweb.net
archive,"Brockville, ON",ca:csd:3507015,yes,brockville.civicweb.net
archive,"Ashfield-Colborne-Wawanosh, ON",ca:csd:3540063,yes,pub-acwtownship.escribemeetings.com
archive,"Airdrie, AB",ca:csd:4806021,yes,pub-airdrie.escribemeetings.com
archive,"Arran-Elderslie, ON",ca:csd:3541043,yes,pub-arranelderslie.escribemeetings.com
archive,"The Blue Mountains, ON",ca:csd:3542045,yes,pub-bluemountains.escribemeetings.com
archive,"Brampton, ON",ca:csd:3521010,yes,pub-brampton.escribemeetings.com
archive,"Central Saanich, BC",ca:csd:5917015,yes,pub-centralsaanich.escribemeetings.com
archive,County of Essex,ca:cd:3537,yes,coe-pub.escribemeetings.com
archive,"Cramahe, ON",ca:csd:3514014,yes,pub-cramahe.escribemeetings.com
archive,"Welland, ON",ca:csd:3526032,yes,pub-elgincounty.escribemeetings.com
archive,"Fredericton, NB",ca:csd:1310032,yes,pub-fredericton.escribemeetings.com
archive,"Georgina, ON",ca:csd:3519070,yes,pub-georgina.escribemeetings.com
archive,"Grey, MB",ca:csd:4609018,yes,pub-grey.escribemeetings.com
archive,"Halton Hills, ON",ca:csd:3524015,yes,pub-haltonhills.escribemeetings.com
archive,"Kelowna, BC",ca:csd:5935010,yes,kelownapublishing.escribemeetings.com
archive,"City of Kitchener, ON",ca:csd:3530013,yes,pub-kitchener.escribemeetings.com
archive,"Lake Country, BC",ca:csd:5935016,yes,pub-lakecountry.escribemeetings.com
archive,"Moose Jaw, SK",ca:csd:4707039,yes,pub-moosejaw.escribemeetings.com
archive,"New Westminster, BC",ca:csd:5915029,yes,pub-newwestcity.escribemeetings.com
archive,"Oshawa, ON",ca:csd:3518013,yes,pub-oshawa.escribemeetings.com
archive,"Owen Sound, ON",ca:csd:3542059,yes,pub-owensound.escribemeetings.com
archive,"Oxford County, ON",ca:cd:3532,yes,pub-oxfordcounty.escribemeetings.com
archive,"Port Coquitlam, BC",rtr:ca:bc:port-coquitlam,no,pub-portcoquitlam.escribemeetings.com
archive,"Port Moody, BC",rtr:ca:bc:port-moody,no,pub-portmoody.escribemeetings.com
archive,"Burnaby, BC",ca:csd:5915025,yes,pub-burnaby.escribemeetings.com
archive,"Caledon, ON",ca:csd:3521024,yes,pub-caledon.escribemeetings.com
archive,"Calgary, AB",ca:csd:4806016,yes,pub-calgary.escribemeetings.com
archive,"Cobourg, ON",ca:csd:3514021,yes,pub-cobourg.escribemeetings.com
archive,"Collingwood, ON",ca:csd:3543031,yes,pub-collingwood.escribemeetings.com
archive,Dryden,ca:csd:3560027,yes,pub-dryden.escribemeetings.com
archive,"Durham Region, ON",ca:cd:3518,yes,pub-durhamregion.escribemeetings.com
archive,"Fort Erie, ON",ca:csd:3526003,yes,pub-forterie.escribemeetings.com
archive,"Goderich, ON",ca:csd:3540028,yes,pub-goderich.escribemeetings.com
archive,"Guelph, ON",ca:csd:3523008,yes,pub-guelph.escribemeetings.com
archive,"Hamilton Public Library, ON",rtr:ca:on:hamilton-public-library,no,pub-hpl.escribemeetings.com
archive,"City of Kenora, ON",ca:csd:3560010,yes,pub-kenora.escribemeetings.com
archive,"Lambton Shores, ON",ca:csd:3538040,yes,pub-lambtonshores.escribemeetings.com
archive,"City of Leduc, AB",rtr:ca:ab:leduc,no,pub-leduc.escribemeetings.com
archive,"City of Lethbridge, AB",rtr:ca:ab:lethbridge,no,pub-lethbridge.escribemeetings.com
archive,"Milton, ON",ca:csd:3524009,yes,pub-milton.escribemeetings.com
archive,"Town of Morinville, AB",ca:csd:4811068,yes,pub-morinville.escribemeetings.com
archive,"Nanaimo, BC",ca:csd:5921007,yes,pub-nanaimo.escribemeetings.com
archive,"Town of Oakville, ON",ca:csd:3524001,yes,pub-oakville.escribemeetings.com
archive,"Peel Region, ON",ca:cd:3521,yes,pub-peelregion.escribemeetings.com
archive,"City of Penticton, BC",ca:csd:5907041,yes,pub-penticton.escribemeetings.com
archive,"Peterborough, ON",ca:csd:3515014,yes,pub-peterborough.escribemeetings.com
archive,"City of Pitt Meadows, BC",ca:csd:5915070,yes,pub-pittmeadows.escribemeetings.com
archive,"City of Kelowna, BC",ca:csd:5935010,yes,pub-rdco.escribemeetings.com
archive,"Region Of Waterloo, ON",ca:cd:3530,yes,pub-regionofwaterloo.escribemeetings.com
archive,"Rideau Lakes, ON",ca:csd:3507040,yes,pub-rideaulakes.escribemeetings.com
archive,"Whistler, BC",ca:csd:5931020,yes,pub-rmow.escribemeetings.com
archive,"Saskatoon, SK",ca:csd:4711066,yes,pub-saskatoon.escribemeetings.com
archive,"Sunshine Coast Regional District, BC",ca:cd:5929,yes,pub-scrd.escribemeetings.com
archive,"Scugog, ON",ca:csd:3518020,yes,pub-scugog.escribemeetings.com
archive,"Sechelt, BC",ca:csd:5929011,yes,pub-sechelt.escribemeetings.com
archive,"City of Spruce Grove, AB",ca:csd:4811049,yes,pub-sprucegrove.escribemeetings.com
archive,"Surrey, BC",ca:csd:5915004,yes,pub-surreyschools.escribemeetings.com
archive,"Thunder Bay, ON",ca:csd:3558004,yes,pub-thunderbay.escribemeetings.com
archive,"Town of Bonnyville, AB",ca:csd:4812009,yes,pub-townofbonnyville.escribemeetings.com
archive,"Uxbridge, ON",ca:csd:3518029,yes,pub-uxbridge.escribemeetings.com
archive,"City of Vaughan, ON",ca:csd:3519028,yes,pub-vaughan.escribemeetings.com
archive,"Town of Wasaga Beach, ON",ca:csd:3543064,yes,pub-wasagabeach.escribemeetings.com
archive,"Whitby, ON",ca:csd:3518009,yes,pub-whitby.escribemeetings.com
archive,"Nanaimo, BC",ca:csd:5921007,yes,rdn-pub.escribemeetings.com
archive,,rtr:ca:on:toronto-catholic-district-school-board,no,tcdsbpublishing.escribemeetings.com
archive,"West Grey, ON",ca:csd:3542004,yes,pub-westgrey.escribemeetings.com
archive,"City of Colwood, BC",ca:csd:5917041,yes,colwood.civicweb.net
archive,"Loyalist Township, ON",ca:csd:3511005,yes,loyalist.civicweb.net
archive,"Metchosin, BC",ca:csd:5917042,yes,metchosin.civicweb.net
archive,"Town of Mono, ON",ca:csd:3522012,yes,mono.civicweb.net
archive,"Oak Bay, BC",ca:csd:5917030,yes,oakbay.civicweb.net
archive,"Sooke, BC",ca:csd:5917052,yes,sooke.civicweb.net
archive,"Squamish, BC",ca:csd:5931006,yes,squamish.civicweb.net
archive,"Trent Hills, ON",ca:csd:3514045,yes,trenthills.civicweb.net
archive,"Beaumont, AB",ca:csd:4811013,yes,pub-beaumontab.escribemeetings.com
archive,"Brant, ON",ca:csd:3529005,yes,pub-brant.escribemeetings.com
archive,"Mackenzie, BC",ca:csd:5953033,yes,pub-mackenziebc.escribemeetings.com
archive,"Point Edward, ON",ca:csd:3538031,yes,pub-pointedward.escribemeetings.com
archive,"Kincardine, ON",ca:csd:3541024,yes,pub-kincardine.escribemeetings.com
archive,"Shelburne, ON",ca:csd:3522021,yes,pub-shelburne.escribemeetings.com
archive,"Tillsonburg, ON",ca:csd:3532004,yes,pub-tillsonburg.escribemeetings.com
archive,"City of Beaumont, AB",ca:csd:4811013,yes,pub-beaumontab.escribemeetings.com
archive,"Courtenay, BC",ca:csd:5926010,yes,pub-courtenay.escribemeetings.com
archive,H Psb,rtr:ca:on:hamilton-police-services-board,no,pub-hpsb.escribemeetings.com
archive,"City of Salmon Arm, BC",ca:csd:5939032,yes,pub-salmonarm.escribemeetings.com
