gov_id,gov_name,old_hubs,hub_count
us:place:0667000,"San Francisco, CA",ccs-f|city-and-county-of-san-francisco|san-francisco-ca,3
us:county:12095,"Orange County, FL",orange-county|orange-county-comptroller|orange-county-fl,3
us:county:06085,"Santa Clara County, CA",county-of-santa-clara-ca|santa-clara|santa-clara-county-ca,3
us:place:0828690,"Frisco, CO",frisco-co|town-of-frisco|town-of-frisco-co,3
us:county:53009,"Clallam County, WA",clallam|clallam-county-wa|clallam-wa,3
us:place:5553000,"Milwaukee, WI",milwaukee|milwaukee-wi,2
rtr:us:tn:nashville-davidson-county,"Nashville-Davidson County, TN",nashville|nashville-davidson-county-tn,2
rtr:us:ky:louisville,"Louisville, KY",louisville|louisville-ky,2
us:place:0452930,"Paradise Valley, AZ",paradise-valley|paradise-valley-az,2
us:county:48201,"Harris County, TX",harris-county-tx|harris-tx,2
us:county:04013,"Maricopa County, AZ",maricopa|maricopa-county-az,2
us:county:06073,"San Diego County, CA",county-of-san-diego-ca|san-diego-county-ca,2
us:county:06059,"Orange County, CA",county-of-orange|orange-county-ca,2
us:county:12086,"Miami-Dade County, FL",miami-dade-county|miami-dade-county-fl,2
us:county:06065,"Riverside County, CA",riverside|riverside-county-ca,2
rtr:us:xx:ashland,Ashland,ashland|town-of-ashland,2
us:place:1248625,"New Smyrna Beach, FL",new-smyrna-beach-fl|nsb,2
us:place:0655184,"Palm Desert, CA",palm-desert-ca|palm-desert-city-negotiator,2
us:place:0618100,"Davis, CA",davis|davis-ca,2
us:place:1728326,"Galesburg (city), IL",gales-burg|galesburg-il,2
us:place:5135000,"Hampton, VA",hampton|hampton-va,2
us:county:15003,"Honolulu County, HI",county-of-honolulu|honolulu,2
rtr:us:xx:howard-county,Howard County,howard-county|howard-county-council,2
us:place:0137000,"Huntsville, AL",huntsville-al|huntsville-ordinance-no,2
rtr:us:ca:judicial-council-of-california,"Judicial Council of California, CA",california|j-cc,2
us:place:1349756,"Marietta, GA",marietta|marietta-ga,2
us:county:12083,"Marion County, FL",marion|marion-county-fl,2
us:place:1249225,"North Bay Village, FL",miami|north-bay-village-fl,2
us:place:0650874,"Nevada City, CA",county-of-nevada|nevada-county,2
us:place:2052575,"Olathe, KS",olathe|olathe-ks,2
us:cousub:1700158278,"Payson Township, IL",payson|town-of-payson,2
us:place:1254725,"Panama City Beach, FL",panama-city-beach-fl|pcb-gov,2
us:place:4857176,"Pflugerville, TX",pflugerville|pflugerville-tx,2
us:place:2467675,"Rockville, MD",rockville|rockville-md,2
us:place:1270075,"Surfside, FL",surfside-fl|town-of-surfside-fl,2
us:place:0680854,"Tustin, CA",tustin|tustin-ca,2
us:state:51,State of Virginia,virginia|virginia-senate,2
us:place:1275812,"Wellington, FL",village-of-wellington-fl|wellington,2
us:place:3775000,"Winston-Salem, NC",lees-summit|winston-salem-nc,2
us:place:5138424,"Hopewell, VA",hopewell-borough-va|hopewell-va,2
us:county:29095,"Jackson County, MO",jackson-county|jackson-county-mo,2
ca:csd:3537028,"Amherstburg, ON",amherstburg-on|town-of-amherstburg-on,2
us:place:3915210,"Clarington, OH",clarington|clarington-oh,2
ca:csd:3514021,"Cobourg, ON",cobourg-on|town-of-cobourg-on,2
ca:csd:3543031,"Collingwood, ON",collingwood-on|town-of-collingwood-on,2
us:place:0616350,"Corona, CA",corona|corona-ca,2
us:place:4724320,"Erin, TN",erin-tn|town-of-erin,2
ca:csd:3526003,"Fort Erie, ON",fort-erie-on|town-of-fort-erie-on,2
ca:csd:3519070,"Georgina, ON",georgina-on|town-of-georgina-on,2
rtr:ca:on:hamilton-police-services-board,"Hamilton Police Services Board, ON",h-psb|hamilton,2
us:place:1747007,"Markham, IL",markham|markham-il,2
ca:csd:3524009,"Milton, ON",milton-on|town-of-milton-on,2
us:place:2957404,"Pickering, MO",pickering|pickering-mo,2
us:place:3668462,"Southampton (village), NY",southampton|southampton-ny,2
ca:csd:3522010,"Grand Valley, ON",grand-valley-on|town-of-grand-valley-on,2
us:county:48469,"Victoria County, TX",victoria|victoria-county-tx,2
ca:csd:3524001,"Oakville, ON",oakville-on|town-of-oakville-on,2
us:place:0602252,"Antioch, CA",antioch|antioch-ca,2
us:county:12033,"Escambia County, FL",escambia-county-fl|escambia-fl,2
us:county:48453,"Travis County, TX",travis|travis-county-tx,2
rtr:us:ca:los-angeles-department-of-water-and-power,"Los Angeles Department of Water and Power, CA",lad-wp|los-angeles-ca,2
us:place:0613392,"Chula Vista, CA",chula-vista-ca|chula-vista-public-comments,2
us:county:51073,"Gloucester County, VA",gloucester-county-va|gloucester-va,2
ca:csd:3524015,"Halton Hills, ON",halton-hills-on|town-of-halton-hills-on,2
us:place:5500100,"Abbotsford, WI",abbotsford|abbotsford-wi,2
us:place:4216256,"Cornwall, PA",cornwall|cornwall-pa,2
us:place:2123968,"Edmonton, KY",edmonton|edmonton-ky,2
us:place:1228400,"Haines City, FL",haines-city-fl|haines-city-settlement-fl,2
us:sd:4502490,"Horry County School District, SC",horry-county-sc|horry-county-schools,2
us:place:0462140,"Sahuarita, AZ",sahuarita-az|town-of-sahuarita-az,2
ca:csd:3543064,"Wasaga Beach, ON",town-of-wasaga-beach-on|wasaga-beach-on,2
ca:csd:3518009,"Whitby, ON",town-of-whitby-on|whitby-on,2
us:county:06111,"Ventura County, CA",ventura-ca|ventura-county-ca,2
us:county:48113,"Dallas County, TX",county-of-dallas-tx|dallas-county-tx,2
us:place:3651055,"Niagara Falls, NY",niagara-falls|niagara-falls-ny,2
us:county:06009,"Calaveras County, CA",calaveras-ca|calaveras-county-ca,2
us:place:2511000,"Cambridge, MA",cambridge-city-ma|cambridge-ma,2
us:county:12017,"Citrus County, FL",citrus-county-fl|county-of-citrus-fl,2
us:county:17043,"DuPage County, IL",county-of-dupage-il|dupage-county-il,2
us:place:0620956,"East Palo Alto, CA",east-palo-alto-ca|unknown-jurisdiction,2
us:place:1729756,"Glen Ellyn, IL",glen-ellyn-il|village-of-glen-ellyn-il,2
us:place:0649278,"Morgan Hill, CA",morgan-hill-ca|morgan-hill-ca-california,2
