input_set,gov_id,gov_name,gov_type,tier,jurisdiction,tenant_host,evidence
archive,rtr:ca:ab:leduc,"City of Leduc, AB",municipality,unverified,"City of Leduc, AB",pub-leduc.escribemeetings.com,"minted from 'City of Leduc, AB'"
archive,rtr:ca:ab:leduc,"City of Leduc, AB",municipality,unverified,"City of Leduc, AB",pub-leduc.escribemeetings.com,"minted from 'City of Leduc, AB'"
archive,rtr:ca:ab:lethbridge,"City of Lethbridge, AB",municipality,unverified,"City of Lethbridge, AB",pub-lethbridge.escribemeetings.com,"minted from 'City of Lethbridge, AB'"
archive,rtr:ca:ab:lethbridge,"Lethbridge, AB",other,unverified,"Lethbridge, AB",pub-lethbridge.escribemeetings.com,"minted from 'Lethbridge, AB'"
archive,rtr:ca:ab:red-deer,"Red Deer, AB",other,unverified,"Red Deer, AB",pub-reddeer.escribemeetings.com,"minted from 'Red Deer, AB'"
archive,rtr:ca:ab:red-deer,"Red Deer, AB",other,pinned,"Red Deer, AB",meeting.reddeer.ca,tenant_overrides.csv meeting.reddeer.ca source=known_domains
archive,rtr:ca:ab:vulcan,"Town of Vulcan, AB",municipality,unverified,"Town of Vulcan, AB",townofvulcan.civicweb.net,"minted from 'Town of Vulcan, AB'"
archive,rtr:ca:ab:vulcan,"Town of Vulcan, AB",municipality,unverified,"Town of Vulcan, AB",townofvulcan.civicweb.net,"minted from 'Town of Vulcan, AB'"
ledger,rtr:ca:ab:vulcan,"Town of Vulcan, AB",municipality,unverified,"Town of Vulcan, AB",townofvulcan.civicweb.net,"minted from 'Town of Vulcan, AB'"
archive,rtr:ca:bc:port-coquitlam,"Port Coquitlam, BC",special_district,unverified,"Port Coquitlam, BC",pub-portcoquitlam.escribemeetings.com,"minted from 'Port Coquitlam, BC'"
archive,rtr:ca:bc:port-moody,"Port Moody, BC",special_district,unverified,"Port Moody, BC",pub-portmoody.escribemeetings.com,"minted from 'Port Moody, BC'"
archive,rtr:ca:bc:port-moody,"Port Moody, BC",special_district,unverified,"Port Moody, BC",pub-portmoody.escribemeetings.com,"minted from 'Port Moody, BC'"
archive,rtr:ca:bc:port-moody,"City of Port Moody, BC",special_district,unverified,"City of Port Moody, BC",pub-portmoody.escribemeetings.com,"minted from 'City of Port Moody, BC'"
ledger,rtr:ca:bc:port-moody,"City of Port Moody, BC",special_district,unverified,"City of Port Moody, BC",pub-portmoody.escribemeetings.com,"minted from 'City of Port Moody, BC'"
archive,rtr:ca:bc:regional-district-of-central-okanagan,"Regional District of Central Okanagan, BC",special_district,pinned,,pub-rdco.escribemeetings.com,tenant_overrides.csv pub-rdco.escribemeetings.com source=known_domains
archive,rtr:ca:on:haldimand-county,"Haldimand County, ON",county,pinned,Haldimand County,pub-haldimandcounty.escribemeetings.com,tenant_overrides.csv pub-haldimandcounty.escribemeetings.com source=visual_confirmed
archive,rtr:ca:on:haldimand-county,"Haldimand County, ON",county,pinned,Haldimand County,pub-haldimandcounty.escribemeetings.com,tenant_overrides.csv pub-haldimandcounty.escribemeetings.com source=visual_confirmed
ledger,rtr:ca:on:haldimand-county,"Haldimand County, ON",county,pinned,Haldimand County,pub-haldimandcounty.escribemeetings.com,tenant_overrides.csv pub-haldimandcounty.escribemeetings.com source=visual_confirmed
archive,rtr:ca:on:hamilton-police-services-board,"Hamilton Police Services Board, ON",other,pinned,Hamilton,pub-hpsb.escribemeetings.com,tenant_overrides.csv pub-hpsb.escribemeetings.com source=architecture_doc_1_3
archive,rtr:ca:on:hamilton-police-services-board,"Hamilton Police Services Board, ON",other,pinned,H Psb,pub-hpsb.escribemeetings.com,tenant_overrides.csv pub-hpsb.escribemeetings.com source=architecture_doc_1_3
archive,rtr:ca:on:hamilton-police-services-board,"Hamilton Police Services Board, ON",other,pinned,City of Hamilton,pub-hpsb.escribemeetings.com,tenant_overrides.csv pub-hpsb.escribemeetings.com source=architecture_doc_1_3
ledger,rtr:ca:on:hamilton-police-services-board,"Hamilton Police Services Board, ON",other,pinned,City of Hamilton,pub-hpsb.escribemeetings.com,tenant_overrides.csv pub-hpsb.escribemeetings.com source=architecture_doc_1_3
archive,rtr:ca:on:hamilton-public-library,"Hamilton Public Library, ON",special_district,pinned,"Hamilton Public Library, ON",pub-hpl.escribemeetings.com,tenant_overrides.csv pub-hpl.escribemeetings.com source=auto_derived+known_domains
archive,rtr:ca:on:hamilton-public-library,"Hamilton Public Library, ON",special_district,pinned,,pub-hpl.escribemeetings.com,tenant_overrides.csv pub-hpl.escribemeetings.com source=auto_derived+known_domains
archive,rtr:ca:on:thunder-bay-district-health-unit,"Thunder Bay District Health Unit, ON",special_district,pinned,"Thunder Bay District Health Unit, ON",pub-tbdhu.escribemeetings.com,tenant_overrides.csv pub-tbdhu.escribemeetings.com source=known_domains
archive,rtr:ca:on:thunder-bay-district-health-unit,"Thunder Bay District Health Unit, ON",special_district,pinned,,pub-tbdhu.escribemeetings.com,tenant_overrides.csv pub-tbdhu.escribemeetings.com source=known_domains
archive,rtr:ca:on:toronto-and-region-conservation-authority,"Toronto and Region Conservation Authority, ON",special_district,pinned,"City of Mississauga, ON",pub-trca.escribemeetings.com,tenant_overrides.csv pub-trca.escribemeetings.com source=architecture_doc_1_3
archive,rtr:ca:on:toronto-and-region-conservation-authority,"Toronto and Region Conservation Authority, ON",special_district,pinned,,pub-trca.escribemeetings.com,tenant_overrides.csv pub-trca.escribemeetings.com source=architecture_doc_1_3
archive,rtr:ca:on:toronto-and-region-conservation-authority,"Toronto and Region Conservation Authority, ON",special_district,pinned,City of Markham,pub-trca.escribemeetings.com,tenant_overrides.csv pub-trca.escribemeetings.com source=architecture_doc_1_3
