page_id,slug,platform,source_url,tenant_host,jurisdiction,meeting_body,jurisdiction_confidence,gov_id,gov_name,gov_type,tier,evidence,new_meeting_body,new_hub_slug,country,state,old_hub_slug,municipal_type_word,gov_classify_bucket
1,yountville-ca-2026-07-21-jul-21-2026-town-council-regular-meeting,swagit,https://yountvilleca.new.swagit.com/videos/394093,yountvilleca.new.swagit.com,"Yountville, CA",,,us:place:0686930,"Yountville, CA",municipality,registry,us_places.csv Yountville city,,yountville-ca,us,CA,yountville-ca,no,city
2,city-of-oakland-2025-09-15-special-concurrent-meeting-of-the-oakland-redevelopme,granicus,https://oakland.granicus.com/player/clip/7007?redirect=true&view_id=2,oakland.granicus.com,"City of Oakland, CA",,,us:place:0653000,"Oakland, CA",municipality,registry,us_places.csv Oakland city,,oakland-ca,us,CA,oakland-ca,yes,city
3,emporia-ks-2026-07-22-commission-meeting,civicclerk,https://emporiaks.portal.civicclerk.com/event/585/media,emporiaks.portal.civicclerk.com,"Emporia, KS",,validated,us:place:2021275,"Emporia (city), KS",municipality,registry,us_places.csv Emporia city,,emporia-city-ks,us,KS,emporia-ks,no,city
4,whitehall-oh-2025-09-02-city-council-meeting,civicclerk,https://whitehalloh.portal.civicclerk.com/event/21/media,whitehalloh.portal.civicclerk.com,"Whitehall, OH",,,us:place:3984742,"Whitehall, OH",municipality,registry,us_places.csv Whitehall city,,whitehall-oh,us,OH,whitehall-oh,no,city
5,city-of-boston-ma-2024-01-31-city-council-on-2024-01-31-12-00-pm,granicus,https://boston.granicus.com/player/clip/9862?redirect=true&view_id=1,boston.granicus.com,"City of Boston, MA",,,us:place:2507000,"Boston, MA",municipality,registry,us_places.csv Boston city,,boston-ma,us,MA,boston-ma,yes,city
6,dublin-ca-2026-01-13-jan-13-2026-city-council,swagit,https://dublinca.new.swagit.com/videos/372020,dublinca.new.swagit.com,"Dublin, CA",,,us:place:0620018,"Dublin, CA",municipality,registry,us_places.csv Dublin city,,dublin-ca,us,CA,dublin-ca,no,city
7,dublin-ca-city-council-regular-meeting,granicus,https://dublin.granicus.com/MediaPlayer.php?clip_id=2224&view_id=1,dublin.granicus.com,"Dublin, CA",,,us:place:0620018,"Dublin, CA",municipality,registry,us_places.csv Dublin city,,dublin-ca,us,CA,dublin-ca,no,city
9,california-state-senate-2026-08-06-senate-floor-session,ca_legislature,https://www.senate.ca.gov/media/senate-floor-session-20260806,www.senate.ca.gov,California State Senate,,,us:state:06,State of California,state,registry,us_states.csv California,State Senate,state-of-california,us,CA,california-state-senate,no,city
10,city-of-boston-2025-07-17-public-improvement-commission-on-2025-07-17-10-00-am,granicus,https://boston.granicus.com/player/clip/10382,boston.granicus.com,"City of Boston, MA",,,us:place:2507000,"Boston, MA",municipality,registry,us_places.csv Boston city,,boston-ma,us,MA,boston-ma,yes,city
11,yountville-ca-2026-04-21-apr-21-2026-town-council-budget-workshop,swagit,https://yountvilleca.new.swagit.com/videos/382889,yountvilleca.new.swagit.com,"Yountville, CA",,,us:place:0686930,"Yountville, CA",municipality,registry,us_places.csv Yountville city,,yountville-ca,us,CA,yountville-ca,no,city
