tenant_host,jurisdiction,gov_id,gov_name,gov_type,tier,evidence,new_meeting_body,new_hub_slug,country,state,old_hub_slug,municipal_type_word,gov_classify_bucket
slc.primegov.com,"Salt Lake City, UT",us:place:4967000,"Salt Lake City, UT",municipality,pinned,tenant_overrides.csv slc.primegov.com source=known_domains,,salt-lake-city-ut,us,UT,salt-lake-city-ut,no,city
lacity.primegov.com,"Los Angeles, CA",us:place:0644000,"Los Angeles, CA",municipality,pinned,tenant_overrides.csv lacity.primegov.com source=known_domains,,los-angeles-ca,us,CA,los-angeles-ca,no,city
okc.primegov.com,"City of Oklahoma City, OK",us:place:4055000,"Oklahoma City, OK",municipality,registry,us_places.csv Oklahoma City city,,oklahoma-city-ok,us,OK,oklahoma-city-ok,yes,city
losaltoshillsca.portal.civicclerk.com,"LOS ALTOS HILLS, CA",us:place:0643294,"Los Altos Hills, CA",municipality,registry,us_places.csv Los Altos Hills town,,los-altos-hills-ca,us,CA,los-altos-hills-ca,no,city
burnsville.civicweb.net,City of Burnsville,us:place:2708794,"Burnsville, MN",municipality,registry,us_places.csv Burnsville city,,burnsville-mn,us,MN,burnsville,yes,city
mesa.legistar.com,City of Mesa,,City of Mesa,municipality,unresolved,no state for 'City of Mesa',,city-of-mesa,us,,mesa,yes,city
baltimore.legistar.com,"Baltimore, MD",us:place:2404000,"Baltimore, MD",municipality,registry,us_places.csv Baltimore city,,baltimore-md,us,MD,baltimore-md,no,city
pub-bakersfield.escribemeetings.com,"City of Bakersfield, CA",us:place:0603526,"Bakersfield, CA",municipality,registry,us_places.csv Bakersfield city,,bakersfield-ca,us,CA,bakersfield-ca,yes,city
pub-bakersfield.escribemeetings.com,"Bakersfield, CA",us:place:0603526,"Bakersfield, CA",municipality,registry,us_places.csv Bakersfield city,,bakersfield-ca,us,CA,bakersfield-ca,no,city
phoenix.legistar.com,Phoenix,,Phoenix,other,unresolved,no state for 'Phoenix',,phoenix,us,,phoenix,no,city
martinez.granicus.com,"City of Martinez, CA",us:place:0646114,"Martinez, CA",municipality,registry,us_places.csv Martinez city,,martinez-ca,us,CA,martinez-ca,yes,city
www.cityofsanrafael.org,"San Rafael, CA",us:place:0668364,"San Rafael, CA",municipality,registry,us_places.csv San Rafael city,,san-rafael-ca,us,CA,san-rafael-ca,no,city
www.cityofbelvedere.org,"Belvedere, CA",us:place:0605164,"Belvedere, CA",municipality,registry,us_places.csv Belvedere city,,belvedere-ca,us,CA,belvedere-ca,no,city
virginiabeach.cablecast.tv,"Virginia Beach, VA",us:place:5182000,"Virginia Beach, VA",municipality,registry,us_places.csv Virginia Beach city,,virginia-beach-va,us,VA,virginia-beach-va,no,city
sandiego.granicus.com,"City of San Diego, CA",us:place:0666000,"San Diego, CA",municipality,registry,us_places.csv San Diego city,,san-diego-ca,us,CA,san-diego-ca,yes,city
king.granicus.com,King County,rtr:us:nc:king-county,"King County, NC",county,pinned,tenant_overrides.csv king.granicus.com source=auto_derived+inferred_unique_name,,king-county-nc,us,NC,king-county,no,county
oakland.granicus.com,"City of Oakland, CA",us:place:0653000,"Oakland, CA",municipality,registry,us_places.csv Oakland city,,oakland-ca,us,CA,oakland-ca,yes,city
kaufmancountytx.new.swagit.com,"Kaufman County, TX",us:county:48257,"Kaufman County, TX",county,registry,us_counties.csv Kaufman County,,kaufman-county-tx,us,TX,kaufman-county-tx,no,county
sanantoniotx.new.swagit.com,"San Antonio, TX",us:place:4865000,"San Antonio, TX",municipality,registry,us_places.csv San Antonio city,,san-antonio-tx,us,TX,san-antonio-tx,no,city
carsonca.cablecast.tv,Carson,us:place:0611530,"Carson, CA",municipality,registry,us_places.csv Carson city (state from subdomain carsonca.cablecast.tv),,carson-ca,us,CA,carson,no,city
concordca.cablecast.tv,City of Concord,us:place:0616000,"Concord, CA",municipality,registry,us_places.csv Concord city (state from subdomain concordca.cablecast.tv),,concord-ca,us,CA,concord,yes,city
king-county-tv.cablecast.tv,"King County, WA",us:county:53033,"King County, WA",county,registry,us_counties.csv King County,,king-county-wa,us,WA,king-county-wa,no,county
edina-mn.cablecast.tv,Edina,us:place:2718188,"Edina, MN",municipality,registry,us_places.csv Edina city (state from subdomain edina-mn.cablecast.tv),,edina-mn,us,MN,edina,no,city
alamedacounty.granicus.com,"Alameda County, CA",us:county:06001,"Alameda County, CA",county,registry,us_counties.csv Alameda County,,alameda-county-ca,us,CA,alameda-county-ca,no,county
boston.granicus.com,"City of Boston, MA",us:place:2507000,"Boston, MA",municipality,registry,us_places.csv Boston city,,boston-ma,us,MA,boston-ma,yes,city
charlottenc.granicus.com,"City of Charlotte, NC",us:place:3712000,"Charlotte, NC",municipality,registry,us_places.csv Charlotte city,,charlotte-nc,us,NC,charlotte-nc,yes,city
cincinnatioh.granicus.com,"Cincinnati, OH",us:place:3915000,"Cincinnati, OH",municipality,registry,us_places.csv Cincinnati city,,cincinnati-oh,us,OH,cincinnati-oh,no,city
corpuschristi.granicus.com,"City of Corpus Christi, TX",us:place:4817000,"Corpus Christi, TX",municipality,registry,us_places.csv Corpus Christi city,,corpus-christi-tx,us,TX,corpus-christi-tx,yes,city
fortworthgov.granicus.com,"City of Fort Worth, TX",us:place:4827000,"Fort Worth, TX",municipality,registry,us_places.csv Fort Worth city,,fort-worth-tx,us,TX,fort-worth-tx,yes,city
indianapolis.granicus.com,"City of Indianapolis, IN",us:place:1836003,"Indianapolis, IN",municipality,registry,us_places.csv Indianapolis city (balance),,indianapolis-in,us,IN,indianapolis-in,yes,city
lasvegas.primegov.com,City of Las Vegas,,City of Las Vegas,municipality,unresolved,no state for 'City of Las Vegas',,city-of-las-vegas,us,,las-vegas,yes,city
memphis.granicus.com,"Memphis, TN",us:place:4748000,"Memphis, TN",municipality,registry,us_places.csv Memphis city,,memphis-tn,us,TN,memphis-tn,no,city
nashville.granicus.com,"Nashville-Davidson County, TN",us:place:4752006,"Nashville-Davidson, TN",municipality,registry,us_places.csv Nashville-Davidson metropolitan government (balance) (consolidated government),,nashville-davidson-tn,us,TN,nashville-davidson-county-tn,no,county
dc.granicus.com,"Washington, DC",us:place:1150000,"Washington, DC",municipality,pinned,tenant_overrides.csv dc.granicus.com source=auto_derived+known_domains,,washington-dc,us,DC,washington-dc,no,city
pub-arranelderslie.escribemeetings.com,"Arran-Elderslie, ON",ca:csd:3541043,"Arran-Elderslie, ON",municipality,registry,ca_csd.csv Arran-Elderslie,,arran-elderslie-on,ca,ON,arran-elderslie-on,no,city
pub-corona.escribemeetings.com,"Corona, CA",us:place:0616350,"Corona, CA",municipality,registry,us_places.csv Corona city,,corona-ca,us,CA,corona-ca,no,city
pub-delta.escribemeetings.com,Delta,ca:csd:5915011,"Delta, BC",municipality,registry,ca_csd.csv Delta (state from tenant_hints.csv pub-delta.escribemeetings.com),,delta-bc,ca,BC,delta,no,city
chestercopa.portal.civicclerk.com,"Chester County, PA",us:county:42029,"Chester County, PA",county,registry,us_counties.csv Chester County,,chester-county-pa,us,PA,chester-county-pa,no,county
pub-erin.escribemeetings.com,Town of Erin,us:place:4724320,"Erin, TN",municipality,registry,us_places.csv Erin city (state from tenant_hints.csv pub-erin.escribemeetings.com),,erin-tn,us,TN,town-of-erin,yes,city
escambiacofl.portal.civicclerk.com,"Escambia County, FL",us:county:12033,"Escambia County, FL",county,registry,us_counties.csv Escambia County,,escambia-county-fl,us,FL,escambia-county-fl,no,county
pub-markham.escribemeetings.com,City of Markham,us:place:1747007,"Markham, IL",municipality,registry,us_places.csv Markham city (state from tenant_hints.csv pub-markham.escribemeetings.com),,markham-il,us,IL,markham,yes,city
laquinta.cablecast.tv,"La Quinta, CA",us:place:0640354,"La Quinta, CA",municipality,registry,us_places.csv La Quinta city,,la-quinta-ca,us,CA,la-quinta-ca,no,city
pub-milton.escribemeetings.com,"Town of Milton, ON",ca:csd:3524009,"Milton, ON",municipality,registry,ca_csd.csv Milton,,milton-on,ca,ON,town-of-milton-on,yes,city
pub-peelregion.escribemeetings.com,"Peel Region, ON",ca:cd:3521,"Peel, ON",county,registry,ca_cd.csv Peel,,peel-on,ca,ON,peel-region-on,no,county
millcreekut.portal.civicclerk.com,Mill Creek,rtr:us:ut:mill-creek,"Mill Creek, UT",other,unverified,minted from 'Mill Creek',,mill-creek-ut,us,UT,mill-creek,no,city
bcnv.primegov.com,"City of Boulder City, NV",us:place:3206500,"Boulder City, NV",municipality,registry,us_places.csv Boulder City city,,boulder-city-nv,us,NV,boulder-city-nv,yes,city
pub-pickering.escribemeetings.com,City of Pickering,us:place:2957404,"Pickering, MO",municipality,registry,us_places.csv Pickering city (state from tenant_hints.csv pub-pickering.escribemeetings.com),,pickering-mo,us,MO,pickering,yes,city
pub-victoria.escribemeetings.com,City of Victoria,ca:csd:5917034,"Victoria, BC",municipality,registry,ca_csd.csv Victoria (state from tenant_hints.csv pub-victoria.escribemeetings.com),,victoria-bc,ca,BC,victoria,yes,city
camarillo.primegov.com,"City of Camarillo, CA",us:place:0610046,"Camarillo, CA",municipality,registry,us_places.csv Camarillo city,,camarillo-ca,us,CA,camarillo-ca,yes,city
jaxcityc.granicus.com,"City of Jacksonville, FL",us:place:1235000,"Jacksonville, FL",municipality,registry,us_places.csv Jacksonville city,,jacksonville-fl,us,FL,jacksonville-fl,yes,city
surpriseaz.portal.civicclerk.com,"Surprise, AZ",us:place:0471510,"Surprise, AZ",municipality,registry,us_places.csv Surprise city,,surprise-az,us,AZ,surprise-az,no,city
traviscotx.portal.civicclerk.com,"Travis County, TX",us:county:48453,"Travis County, TX",county,registry,us_counties.csv Travis County,,travis-county-tx,us,TX,travis-county-tx,no,county
ccta.primegov.com,"Contra Costa Transportation Authority, CA",rtr:us:ca:contra-costa-transportation-authority,"Contra Costa Transportation Authority, CA",special_district,pinned,tenant_overrides.csv ccta.primegov.com source=known_domains,,contra-costa-transportation-authority-ca,us,CA,contra-costa-transportation-authority-ca,no,agency
