input_set,jurisdiction,meeting_body,gov_classify_bucket,gov_type,gov_id,tenant_host
archive,California State Senate,,city,state,us:state:06,www.senate.ca.gov
archive,"Washington, DC",,city,other,rtr:us:dc:washington,dc.granicus.com
archive,"Washington, DC",,city,other,rtr:us:dc:washington,dc.granicus.com
archive,"Washington, DC",,city,other,rtr:us:dc:washington,dc.granicus.com
archive,"Washington, DC",,city,other,rtr:us:dc:washington,dc.granicus.com
archive,City and County of Denver,,county,municipality,us:place:0820000,denver.granicus.com
archive,"Louisville, KY",,city,other,rtr:us:ky:louisville,louisville.granicus.com
archive,City and County of San Francisco,,county,municipality,us:place:0667000,sanfrancisco.granicus.com
archive,City and County of San Francisco,,county,municipality,us:place:0667000,sanfrancisco.granicus.com
archive,California State Senate,,city,state,us:state:06,www.senate.ca.gov
archive,Ashland,,city,other,rtr:us:xx:ashland,videoplayer.telvue.com
archive,Ashland,,city,other,rtr:us:xx:ashland,videoplayer.telvue.com
archive,Albuquerque Bernalillo County Water Utility Authority,,county,special_district,rtr:us:nm:albuquerque-bernalillo-county-water-utility-authority,abcwua.granicus.com
archive,"Bainbridge, WA",,city,other,rtr:us:wa:bainbridge,bainbridgewa.granicus.com
archive,City of Brighton,,city,other,rtr:us:xx:brighton,brightonco.granicus.com
archive,"City of North Port, FL",,city,special_district,rtr:us:fl:north-port,cityofnorthport.granicus.com
archive,"The City of College Park, MD",,school,municipality,us:place:2418750,college-park.granicus.com
archive,City and County of Denver,,county,municipality,us:place:0820000,denver.granicus.com
archive,City of Greenville,,city,county,us:county:45045,greenville.granicus.com
archive,Town of Huntington,,city,county,us:county:18069,huntingtonny.granicus.com
archive,J Cc,,city,court,rtr:us:ca:judicial-council-of-california,jcc.granicus.com
archive,Unknown Jurisdiction,,city,other,rtr:us:xx:unknown-jurisdiction,lcpsnm.granicus.com
archive,L Oswego K 12,,city,school_district,us:sd:4107230,loswegok12.granicus.com
archive,"Louisville, KY",,city,other,rtr:us:ky:louisville,louisville.granicus.com
archive,Marion,,city,county,us:county:12083,marionfl.granicus.com
archive,Metra Railroad,,city,other,rtr:us:xx:metra-railroad,metrarr.granicus.com
archive,Metrolink,,city,other,rtr:us:xx:metrolink,metrolink.granicus.com
archive,Mn Senate,,city,state,rtr:us:xx:mn,mnsenate.granicus.com
archive,Mw Rd,,city,other,rtr:us:xx:mw-rd,mwrd.granicus.com
archive,Nashville,,city,county,rtr:us:tn:nashville-davidson-county,nashville.granicus.com
archive,County of Nevada,,county,municipality,us:place:0650874,nevco.granicus.com
archive,Nevada Legislature,,city,state,us:state:32,nvleg.granicus.com
archive,The City of Oak Ridge,,city,other,rtr:us:xx:oak-ridge,oakridgetn.granicus.com
archive,"Ps C, FL",,city,other,rtr:us:fl:ps-c,psc-fl.granicus.com
archive,City of Port St Lucie,,city,special_district,rtr:us:fl:port-st-lucie,psl.granicus.com
archive,Psr C 2,,city,other,rtr:us:xx:psr-c-2,psrc2.granicus.com
archive,Ride Uta,,city,other,rtr:us:xx:ride-uta,rideuta.granicus.com
archive,City of Riverside,,city,county,us:county:06065,riversideca.granicus.com
archive,"S Fw, MD",,city,other,rtr:us:md:s-fw,sfwmd.granicus.com
archive,California State Personnel Board,,city,other,rtr:us:ca:california-state-personnel-board,spb.granicus.com
archive,"Tarrant County, TX",,county,school_district,rtr:us:tx:tarrant-county-college-district,tccd.granicus.com
archive,Virginia Senate,,city,state,us:state:51,virginia-senate.granicus.com
archive,"City of Waukesha, WI",,city,county,us:county:55133,waukesha.granicus.com
archive,Town of Windsor,,city,county,us:county:50027,windsor-ca.granicus.com
archive,"Baltimore County Schools, MD",,county,school_district,us:sd:2400120,bcps.new.swagit.com
archive,"Calvert County Public Schools, MD",,county,school_district,us:sd:2400150,calvertcountyps.new.swagit.com
archive,"Cecil County Public Schools, MD",,county,school_district,us:sd:2400240,ccpsmd.new.swagit.com
archive,"Chesterfield County Public Schools, VA",,county,school_district,us:sd:5100840,chesterfieldschoolsva.new.swagit.com
archive,"Henry County Schools, GA",,county,school_district,us:sd:1302820,henrycountyschoolsga.new.swagit.com
archive,"Harford County Public Schools, MD",,county,school_district,us:sd:2400390,harfordcountypublicschoolsmd.new.swagit.com
archive,"Lamar CISD, TX",,city,school_district,rtr:us:tx:lamar-cisd,lamarcisdtx.new.swagit.com
archive,Meridian,,city,other,rtr:us:xx:meridian,meridianmi.new.swagit.com
archive,"Port Arthur, TX",,city,special_district,rtr:us:tx:port-arthur,portarthurtx.new.swagit.com
archive,"Wilson County Schools, TN",,county,school_district,us:sd:4704550,wilsoncountyschoolstn.new.swagit.com
archive,"Upper Providence, PA",,city,other,rtr:us:pa:upper-providence,uprovmontco.new.swagit.com
archive,"Warren County Public Schools, VA",,county,school_district,us:sd:5103870,wcps.new.swagit.com
archive,Ezt,,city,other,rtr:us:xx:ezt,pub-ezt.escribemeetings.com
archive,Hamilton,,city,other,rtr:ca:on:hamilton-police-services-board,pub-hpsb.escribemeetings.com
archive,"Port Moody, BC",,city,special_district,rtr:ca:bc:port-moody,pub-portmoody.escribemeetings.com
archive,Stjohns,,city,other,rtr:us:xx:stjohns,pub-stjohns.escribemeetings.com
archive,Stratford Ad,,city,other,rtr:us:xx:stratford-ad,pub-stratford.escribemeetings.com
archive,Tdsb,,city,school_district,rtr:ca:on:toronto-district-school-board,pub-tdsb.escribemeetings.com
archive,Townofws,,city,other,rtr:us:xx:townofws,pub-townofws.escribemeetings.com
archive,Victoria,,city,county,us:county:48469,pub-victoria.escribemeetings.com
archive,West Kelowna Council Chambers,,city,other,rtr:us:xx:west-kelowna-council-chambers,pub-westkelowna.escribemeetings.com
archive,"Escambia, FL",,city,county,us:county:12033,escambiacofl.portal.civicclerk.com
archive,Frederick,,city,other,rtr:us:xx:frederick,frederickco.portal.civicclerk.com
archive,Greeley,,city,other,rtr:us:xx:greeley,greeleyco.portal.civicclerk.com
archive,Mill Creek,,city,other,rtr:us:xx:mill-creek,millcreekut.portal.civicclerk.com
archive,Travis,,city,county,us:county:48453,traviscotx.portal.civicclerk.com
archive,Ashland,,city,other,rtr:us:xx:ashland,u.peg.tv
archive,"The City of Amarillo, TX",,city,other,rtr:us:tx:amarillo,amarillo.granicus.com
archive,Arkansas Supreme Court,,city,court,rtr:us:xx:arkansas-supreme-court,arkansas-sc.granicus.com
archive,"The City of Auburn, CA",,city,other,rtr:us:ca:auburn,auburn.granicus.com
