input_set,jurisdiction,gov_name,gov_type,tenant_host,platform,evidence
archive,Ada County Highway District,Ada County Highway District,county,achdidaho.civicweb.net,youtube,no state for 'Ada County Highway District'
archive,Ada County Highway District,Ada County Highway District,county,achdidaho.civicweb.net,youtube,no state for 'Ada County Highway District'
archive,Ac Transit,Ac Transit,special_district,actransit.granicus.com,granicus,no state for 'Ac Transit'
archive,County of Adams,County of Adams,county,adams.granicus.com,granicus,no state for 'County of Adams'
archive,Subtitles County,Subtitles County,county,allegheny.granicus.com,granicus,no state for 'Subtitles County'
archive,Town of Bancroft,Town of Bancroft,municipality,bancroft.civicweb.net,youtube,no state for 'Town of Bancroft'
archive,Town of Bancroft,Town of Bancroft,municipality,bancroft.civicweb.net,youtube,no state for 'Town of Bancroft'
archive,Town of Bancroft,Town of Bancroft,municipality,bancroft.civicweb.net,youtube,no state for 'Town of Bancroft'
ledger,Town of Bancroft,Town of Bancroft,municipality,bancroft.civicweb.net,,no state for 'Town of Bancroft'
archive,City of Bangor,City of Bangor,municipality,bangormaine.gov,youtube,no state for 'City of Bangor'
archive,Beach Cities Health District,Beach Cities Health District,special_district,bchd.granicus.com,granicus,no state for 'Beach Cities Health District'
archive,City of Beaverton,City of Beaverton,municipality,beaverton.granicus.com,granicus,no state for 'City of Beaverton'
archive,City of Bellevue,City of Bellevue,municipality,bellevue.granicus.com,granicus,no state for 'City of Bellevue'
archive,Town of Berlin,Town of Berlin,municipality,berlinmd.gov,youtube,no state for 'Town of Berlin'
archive,City of Beverly Hills,City of Beverly Hills,municipality,beverlyhills.granicus.com,granicus,no state for 'City of Beverly Hills'
archive,City of Beverly Hills,City of Beverly Hills,municipality,beverlyhills.granicus.com,granicus,no state for 'City of Beverly Hills'
archive,"July13, 2026 | Town of Bladensburg Maryland Meetings Hub","July13, 2026 | Town of Bladensburg Maryland Meetings Hub",other,bladensburgtown-md.municodemeetings.com,youtube,"'July13, 2026 | Town of Bladensburg Maryland Meetings Hub' names no government on bladensburgtown-md.municodemeetings.com, whose pages resolve to us:place:2407850, and its only state came from that tenant"
archive,Brighton,Brighton,other,brighton.civicweb.net,youtube,no state for 'Brighton'
archive,Brighton,Brighton,other,brighton.civicweb.net,youtube,no state for 'Brighton'
ledger,Brighton,Brighton,other,brighton.civicweb.net,,no state for 'Brighton'
archive,County of Carroll,County of Carroll,county,carroll.granicus.com,granicus,no state for 'County of Carroll'
archive,City of Carson,City of Carson,municipality,carson.granicus.com,granicus,no state for 'City of Carson'
archive,City of Carson,City of Carson,municipality,carson.granicus.com,granicus,no state for 'City of Carson'
ledger,City of Carson,City of Carson,municipality,carson.granicus.com,,no state for 'City of Carson'
archive,Corpus Christi ISD,Corpus Christi ISD,school_district,ccisd.granicus.com,granicus,no state for 'Corpus Christi ISD'
archive,Central Valley Flood Protection Board,Central Valley Flood Protection Board,other,centralvalleyflood.granicus.com,granicus,no state for 'Central Valley Flood Protection Board'
archive,Town of Chapel Hill,Town of Chapel Hill,municipality,chapelhill.granicus.com,granicus,no state for 'Town of Chapel Hill'
archive,Town of Chapel Hill,Town of Chapel Hill,municipality,chapelhill.granicus.com,granicus,no state for 'Town of Chapel Hill'
archive,Town of Chapel Hill,Town of Chapel Hill,municipality,chapelhill.legistar.com,granicus,no state for 'Town of Chapel Hill'
archive,St,St,other,city-slp-mn.cablecast.tv,cablecast,no state for 'St'
archive,City of Belmont,City of Belmont,municipality,cityofbelmont.civicweb.net,youtube,no state for 'City of Belmont'
archive,City of Clinton,City of Clinton,municipality,cityofclintoniowa.civicweb.net,youtube,no state for 'City of Clinton'
archive,City of Evanston,City of Evanston,municipality,cityofevanston.civicweb.net,youtube,no state for 'City of Evanston'
archive,City of Hawthorne,City of Hawthorne,municipality,cityofhawthorne.primegov.com,youtube,no state for 'City of Hawthorne'
archive,City of Hawthorne,City of Hawthorne,municipality,cityofhawthorne.primegov.com,youtube,no state for 'City of Hawthorne'
archive,City of Hawthorne,City of Hawthorne,municipality,cityofhawthorne.primegov.com,youtube,no state for 'City of Hawthorne'
ledger,City of Hawthorne,City of Hawthorne,municipality,cityofhawthorne.primegov.com,,no state for 'City of Hawthorne'
archive,City of Marion,City of Marion,municipality,cityofmarion.civicweb.net,youtube,no state for 'City of Marion'
archive,Nsb,Nsb,other,cityofnsb.granicus.com,granicus,"'Nsb' names no government on cityofnsb.granicus.com, whose pages resolve to us:place:1248625, and its only state came from that tenant"
archive,City of Palo Alto Amending Section,City of Palo Alto Amending Section,municipality,cityofpaloalto.primegov.com,youtube,no state for 'City of Palo Alto Amending Section'
