platform,tenant_host,match_value,rows,reason,landing_url,stored_names,example_slug
escribe,pub-gloucesterva.escribemeetings.com,,3,multiple_governments,,"us:county:51073 (Gloucester County, VA)|us:place:2526150 (Gloucester, MA)|us:sd:5101620 (Gloucester County Public Schools, VA)",
escribe,pub-northcowichan.escribemeetings.com,,3,multiple_governments,,"ca:csd:5919008 (North Cowichan, BC)|ca:csd:5919016 (Lake Cowichan, BC)|ca:csd:5924034 (Campbell River, BC)",
escribe,coe-pub.escribemeetings.com,,2,multiple_governments,,"ca:cd:3537 (Essex, ON)|ca:csd:3537016 (Essex, ON)",
escribe,pub-hainescity.escribemeetings.com,,2,multiple_governments,,"rtr:us:fl:haines-city-settlement (Haines City  Settlement, FL)|us:place:1228400 (Haines City, FL)",
escribe,pub-langleycity.escribemeetings.com,,2,multiple_governments,,"us:cousub:2005338600 (Langley Township, KS)|us:place:5338355 (Langley, WA)",
escribe,pub-owensound.escribemeetings.com,,2,multiple_governments,,"ca:csd:3542059 (Owen Sound, ON)|us:place:5560825 (Owen, WI)",
escribe,pub-rdco.escribemeetings.com,,2,multiple_governments,,"ca:csd:5935010 (Kelowna, BC)|rtr:ca:bc:regional-district-of-central-okanagan (Regional District of Central Okanagan, BC)",
escribe,pub-richmond.escribemeetings.com,,2,multiple_governments,,"ca:csd:5915015 (Richmond, BC)|us:place:0660620 (Richmond, CA)",
escribe,pub-salmonarm.escribemeetings.com,,2,multiple_governments,,"ca:csd:5939032 (Salmon Arm, BC)|us:place:1671650 (Salmon, ID)",
escribe,pub-southamptonny.escribemeetings.com,,2,multiple_governments,,"rtr:us:ny:southampton-village (Southampton (village), NY)|us:place:3668462 (Southampton (village), NY)",
escribe,pub-strathroy-caradoc.escribemeetings.com,,2,multiple_governments,,"ca:cd:3539 (Middlesex, ON)|ca:csd:3539015 (Strathroy-Caradoc, ON)",
cablecast,champaign-cablecast.cablecast.tv,,2,multiple_governments,,"rtr:us:il:champaign-city (Champaign (city), IL)|us:place:1712385 (Champaign (city), IL)",
cablecast,champaign.cablecast.tv,,2,multiple_governments,,"rtr:us:il:champaign-city (Champaign (city), IL)|us:place:1712385 (Champaign (city), IL)",
