page_id,slug,corpus_role,tier_before,platform,tenant_host,source_url,jurisdiction,gov_id_before,tier_after_no_signals,fetched,gov_id_after,tier_after,changed,signals_used,country_after,state_after,ca_province_after
180,city-of-pasadena-2026-08-03-city-council-meeting-august-3-2026-audio-description,target,unresolved,granicus,pasadena.granicus.com,https://pasadena.granicus.com/player/clip/8724?redirect=true&view_id=25,City of Pasadena,us:place:0656000,pinned,True,us:place:0656000,pinned,False,,us,CA,
181,city-of-pasadena-2025-09-08-city-council-meeting-september-8-2025,target,unresolved,granicus,pasadena.granicus.com,https://pasadena.granicus.com/player/clip/8078?caption_id=5572771&redirect=true&view_id=,City of Pasadena,us:place:0656000,pinned,True,us:place:0656000,pinned,False,,us,CA,
241,august-11-2026-ashland-planning-commission,target,unresolved,telvue,videoplayer.telvue.com,https://videoplayer.telvue.com/player/w9sPsSE7vna3XTN_39bs1rEXjVWF0kfP/media/1040134,Ashland,us:place:4103050,pinned,True,us:place:4103050,pinned,False,,us,OR,
242,july-21-2026-ashland-city-council,target,unresolved,telvue,videoplayer.telvue.com,https://videoplayer.telvue.com/player/w9sPsSE7vna3XTN_39bs1rEXjVWF0kfP/playlists/5224/media/1036310,Ashland,us:place:4103050,pinned,True,us:place:4103050,pinned,False,,us,OR,
252,city-of-beverly-hills-2025-11-13-planning-commission-regular-meeting,target,unresolved,granicus,beverlyhills.granicus.com,https://beverlyhills.granicus.com/player/clip/10605,City of Beverly Hills,,unresolved,True,,unresolved,False,,us,,
307,city-of-greenville-2025-04-10-city-council,target,unresolved,granicus,greenville.granicus.com,https://greenville.granicus.com/player/clip/4230?view_id=10,City of Greenville,,unresolved,True,,unresolved,False,,us,,
308,city-of-gulfport-2026-01-06-city-council-meeting,target,unresolved,granicus,gulfport.granicus.com,https://gulfport.granicus.com/player/clip/1714,City of Gulfport,,unresolved,True,,unresolved,False,,us,,
318,howard-county-compensation-review-commission,target,unresolved,granicus,howardcounty.granicus.com,https://howardcounty.granicus.com/player/clip/6513,Howard County,us:county:24027,pinned,True,us:county:24027,pinned,False,,us,MD,
322,city-of-huntsville-ordinance-no-2025-08-28-city-council-regular-meeting-on-2025,target,unresolved,granicus,huntsvilleal.granicus.com,https://huntsvilleal.granicus.com/player/clip/343,City of Huntsville.Ordinance No.,rtr:us:al:huntsville-ordinance-no,unverified,True,us:place:0137000,registry,True,org_names,us,AL,
329,kaua-apos-i-county-hi-2025-12-29-county-council,target,unresolved,granicus,kauai.granicus.com,https://kauai.granicus.com/player/clip/2993?view_id=2,"Kaua&apos;i County, HI",,unresolved,True,us:county:15007,registry,True,org_names,us,HI,
