page_id,tenant_host,platform,tier_before,tier_after,gov_id_before,gov_id_after,signals_used
322,huntsvilleal.granicus.com,granicus,unresolved,registry,rtr:us:al:huntsville-ordinance-no,us:place:0137000,org_names
329,kauai.granicus.com,granicus,unresolved,registry,,us:county:15007,org_names
440,winston-salem.granicus.com,granicus,unresolved,registry,rtr:us:nc:lees-summit,us:place:3775000,org_names
693,pub-townofws.escribemeetings.com,escribe,unresolved,registry,,ca:csd:3519044,org_names
696,pub-westkelowna.escribemeetings.com,escribe,unresolved,registry,rtr:ca:bc:west-kelowna-council-chambers,ca:csd:5935029,org_names
749,allegheny.granicus.com,granicus,unresolved,registry,,us:county:42003,org_names
750,allentownpa.granicus.com,granicus,unresolved,registry,,us:place:4202000,org_names
779,pub-chulavista.escribemeetings.com,escribe,unresolved,registry,rtr:us:ca:chula-vista-public-comments,us:place:0613392,org_names
783,pub-cofs.escribemeetings.com,escribe,unresolved,registry,,ca:csd:4811056,org_names
788,pub-elliotlake.escribemeetings.com,escribe,unresolved,registry,rtr:ca:on:elliot-lake-gis-services-ssmic,ca:csd:3557041,org_names
862,pub-palmdesert.escribemeetings.com,escribe,unresolved,registry,rtr:us:ca:palm-desert-city-negotiator,us:place:0655184,org_names
906,pub-whiterockcity.escribemeetings.com,escribe,unresolved,registry,,ca:csd:5915007,postal_codes
918,cityofrehoboth.civicweb.net,youtube,unresolved,registry,rtr:us:de:rehoboth-beach,us:cousub:2500556375,org_names
932,northsaanich.civicweb.net,youtube,unresolved,registry,,ca:csd:5917005,org_names
1032,pub-cambridge.escribemeetings.com,escribe,unresolved,registry,,ca:csd:3530010,postal_codes
1554,www.richlandcenterwi.gov,youtube,unresolved,registry,,us:place:5567625,org_names
1629,longmont.primegov.com,youtube,unresolved,registry,rtr:us:co:longmont-for-the-fiscal,us:place:0845970,org_names
1642,sealbeach.primegov.com,youtube,unresolved,registry,,us:place:0670686,org_names
1653,victorvilleca.primegov.com,youtube,unresolved,registry,,us:place:0682590,org_names
2243,glenview.granicus.com,granicus,unresolved,registry,,us:place:1729938,org_names
2384,pub-whiterockcity.escribemeetings.com,escribe,unresolved,registry,,ca:csd:5915007,postal_codes
2784,spokanevalley.granicus.com,granicus,unresolved,registry,,us:place:5367167,org_names
2848,inportageparks.com,youtube,unresolved,registry,,us:place:1861092,zip_codes
2974,gridleyca.gov,youtube,unresolved,registry,,us:place:0631260,zip_codes
2976,woodsideca.gov,youtube,unresolved,registry,,us:place:0686440,zip_codes
2991,bangormaine.gov,youtube,unresolved,registry,,us:place:2302795,zip_codes
2994,berlinmd.gov,youtube,unresolved,registry,,us:place:2406800,zip_codes
2999,oakdalemn.gov,youtube,unresolved,registry,,us:place:2747680,zip_codes
3001,woodburymn.gov,youtube,unresolved,registry,,us:place:2771428,zip_codes
3003,fremontne.gov,youtube,unresolved,registry,,us:place:3117670,zip_codes
3012,websterny.gov,youtube,unresolved,registry,,us:cousub:3605578971,zip_codes
3019,newcarlisleohio.gov,youtube,unresolved,registry,,us:place:3954334,zip_codes
3043,kendallcountytx.gov,youtube,unresolved,registry,,us:county:48259,zip_codes
3044,longviewtexas.gov,youtube,unresolved,registry,,us:place:4843888,zip_codes
3051,www.aberdeenwa.gov,youtube,unresolved,registry,,us:place:5300100,zip_codes
3064,lincolnil.gov,youtube,unresolved,registry,,us:place:1743536,zip_codes
3066,portagein.gov,youtube,unresolved,registry,,us:place:1861092,zip_codes
3073,dearborn.gov,youtube,unresolved,registry,,us:place:2621000,zip_codes
3081,www.sussex.nj.us,youtube,unresolved,registry,,us:county:34037,zip_codes
3082,westfieldnj.gov,youtube,unresolved,registry,,us:place:3479040,zip_codes
3097,millersburgoregon.gov,youtube,unresolved,registry,,us:place:4148300,zip_codes
3101,saratogasprings-ut.gov,youtube,unresolved,registry,,us:place:4967825,zip_codes
3102,sgcityutah.gov,youtube,unresolved,registry,,us:place:4965330,zip_codes
3107,veronawi.gov,youtube,unresolved,registry,,us:place:5582600,zip_codes
3163,www.sulphurla.gov,youtube,unresolved,registry,,us:place:2273640,zip_codes
3193,redcliff.civicweb.net,youtube,unresolved,registry,,ca:csd:4801018,org_names
3221,perth.civicweb.net,youtube,unresolved,registry,,us:cousub:3603557353,org_names
3253,pub-wilmot.escribemeetings.com,escribe,unresolved,registry,,ca:csd:3530020,postal_codes
3267,pub-cambridge.escribemeetings.com,escribe,unresolved,registry,,ca:csd:3530010,postal_codes
4072,pub-cambridge.escribemeetings.com,escribe,unresolved,registry,,ca:csd:3530010,postal_codes
4166,pub-wilmot.escribemeetings.com,escribe,unresolved,registry,,ca:csd:3530020,postal_codes
4687,pub-cambridge.escribemeetings.com,escribe,unresolved,registry,,ca:csd:3530010,postal_codes
335,lawa.granicus.com,granicus,unverified,registry,rtr:us:ca:l-a-world-airports-board-of-airport-commissioners,us:place:0644000,org_names
376,oakridgetn.granicus.com,granicus,unverified,registry,rtr:us:tn:oak-ridge,us:place:4755120,org_names
465,carrollisdtx.new.swagit.com,swagit,unverified,registry,rtr:us:tx:carroll-isd,us:place:4869032,org_names
473,cerritos.new.swagit.com,swagit,unverified,registry,rtr:us:ca:cerritos-college,us:place:0612552,org_names
510,garlandisdtx.new.swagit.com,swagit,unverified,registry,rtr:us:tx:garland-isd,us:place:4829000,org_names
516,grandprairieisdtx.new.swagit.com,swagit,unverified,registry,rtr:us:tx:grand-prairie-isd,us:place:4830464,org_names
549,killeenisdtx.new.swagit.com,swagit,unverified,registry,rtr:us:tx:killeen-isd,us:place:4839148,org_names
752,amarillo.granicus.com,granicus,unverified,registry,rtr:us:tx:amarillo,us:place:4803000,org_names
757,arkansas-sc.granicus.com,granicus,unverified,registry,rtr:us:sc:arkansas-supreme-court,us:county:05001,org_names
760,auburn.granicus.com,granicus,unverified,registry,rtr:us:ca:auburn,us:place:0603204,org_names
839,pub-hainescity.escribemeetings.com,escribe,unverified,registry,rtr:us:fl:haines-city-settlement,us:place:1228400,org_names
952,buffalony.iqm2.com,iqm2,unverified,registry,rtr:us:ny:buffalo,us:place:3611000,org_names
1013,southamptonny.iqm2.com,iqm2,unverified,registry,rtr:us:ny:southampton-long-island,us:cousub:3610368473,org_names
1124,dallasisdtx.new.swagit.com,swagit,unverified,registry,rtr:us:tx:dallas-isd,us:place:4819000,org_names
1150,cerritos.new.swagit.com,swagit,unverified,registry,rtr:us:ca:cerritos-college,us:place:0612552,org_names
1173,hayscisdtx.new.swagit.com,swagit,unverified,registry,rtr:us:tx:hays-cisd,us:place:4811080,org_names
1198,pylusd.new.swagit.com,swagit,unverified,registry,rtr:us:ca:yorba-linda-usd,us:place:0602000,org_names
1263,buffalony.iqm2.com,iqm2,unverified,registry,rtr:us:ny:buffalo,us:place:3611000,org_names
1267,cityofmenifee.primegov.com,youtube,unverified,registry,rtr:us:ca:menifee-nbsp,us:place:0646842,org_names
1330,bethanybeach.granicus.com,granicus,unverified,registry,rtr:us:de:bethany-beach,us:place:1005690,org_names
1404,smithtownny.iqm2.com,iqm2,unverified,registry,rtr:us:ny:smithtown-smithtown,us:cousub:3610368000,org_names
