platform,tenant_host,landing_url,fetched,extracted,gov_id,resolved_from,evidence,stored_names
escribe,pub-cambridge.escribemeetings.com,https://pub-cambridge.escribemeetings.com/Meetings.aspx,yes,,,,,Cambridge|City of Cambridge
escribe,pub-brucecounty.escribemeetings.com,https://pub-brucecounty.escribemeetings.com/Meetings.aspx,yes,,,,,Bruce County
escribe,pub-lincoln.escribemeetings.com,https://pub-lincoln.escribemeetings.com/Meetings.aspx,yes,,,,,Lincoln|Town of Lincoln
escribe,pub-london.escribemeetings.com,https://pub-london.escribemeetings.com/Meetings.aspx,yes,,,,,City of London
escribe,pub-halifax.escribemeetings.com,https://pub-halifax.escribemeetings.com/Meetings.aspx,yes,,,,,Halifax
escribe,pub-hamilton.escribemeetings.com,https://pub-hamilton.escribemeetings.com/Meetings.aspx,yes,,,,,City of Hamilton
escribe,pub-langford.escribemeetings.com,https://pub-langford.escribemeetings.com/Meetings.aspx,yes,,,,,City of Langford|Langford
escribe,pub-mission.escribemeetings.com,https://pub-mission.escribemeetings.com/Meetings.aspx,yes,,,,,City of Mission|Mission
escribe,pub-norfolkcounty.escribemeetings.com,https://pub-norfolkcounty.escribemeetings.com/Meetings.aspx,yes,,,,,Norfolk County
escribe,pub-oliver.escribemeetings.com,https://pub-oliver.escribemeetings.com/Meetings.aspx,yes,,,,,Town of Oliver
escribe,pub-paradise.escribemeetings.com,https://pub-paradise.escribemeetings.com/Meetings.aspx,yes,,,,,Town of Paradise
escribe,pub-porthope.escribemeetings.com,https://pub-porthope.escribemeetings.com/Meetings.aspx,yes,,,,,Port Hope
escribe,pub-wilmot.escribemeetings.com,https://pub-wilmot.escribemeetings.com/Meetings.aspx,yes,,,,,Wilmot
escribe,pub-creston.escribemeetings.com,https://pub-creston.escribemeetings.com/Meetings.aspx,yes,,,,,Town of Creston
escribe,pub-leeds1000islands.escribemeetings.com,https://pub-leeds1000islands.escribemeetings.com/Meetings.aspx,yes,,,,,Leeds1000Islands
escribe,pub-northbay.escribemeetings.com,https://pub-northbay.escribemeetings.com/Meetings.aspx,yes,,,,,North Bay|North Bay By
escribe,pub-salinecounty.escribemeetings.com,https://pub-salinecounty.escribemeetings.com/Meetings.aspx,yes,,,,,Saline County
escribe,pub-sd57.escribemeetings.com,https://pub-sd57.escribemeetings.com/Meetings.aspx,yes,,,,,Sd57
escribe,pub-whiterockcity.escribemeetings.com,https://pub-whiterockcity.escribemeetings.com/Meetings.aspx,yes,,,,,City of White Rock
escribe,pub-chulavista.escribemeetings.com,https://pub-chulavista.escribemeetings.com/Meetings.aspx,yes,,,,,Chula Vista Public Comments
escribe,pub-clearview.escribemeetings.com,https://pub-clearview.escribemeetings.com/Meetings.aspx,yes,,,,,Clearview
escribe,pub-cofs.escribemeetings.com,https://pub-cofs.escribemeetings.com/Meetings.aspx,yes,,,,,Cofs
escribe,pub-cvrd.escribemeetings.com,https://pub-cvrd.escribemeetings.com/Meetings.aspx,yes,,,,,Cvr D
escribe,pub-elgincounty.escribemeetings.com,https://pub-elgincounty.escribemeetings.com/Meetings.aspx,yes,,,,,County of Elgin
escribe,pub-elliotlake.escribemeetings.com,https://pub-elliotlake.escribemeetings.com/Meetings.aspx,yes,,,,,Elliot Lake GIS Services SSMIC
escribe,pub-fairfield.escribemeetings.com,https://pub-fairfield.escribemeetings.com/Meetings.aspx,yes,,,,,Fairfield
escribe,pub-king.escribemeetings.com,https://pub-king.escribemeetings.com/Meetings.aspx,yes,,,,,King
escribe,pub-leduc-county.escribemeetings.com,https://pub-leduc-county.escribemeetings.com/Meetings.aspx,yes,,,,,Leduc County
escribe,pub-llbc.escribemeetings.com,https://pub-llbc.escribemeetings.com/Meetings.aspx,yes,,,,,Llbc
escribe,pub-notl.escribemeetings.com,https://pub-notl.escribemeetings.com/Meetings.aspx,yes,,,,,Notl
escribe,pub-oneinvestmentprogram.escribemeetings.com,https://pub-oneinvestmentprogram.escribemeetings.com/Meetings.aspx,yes,,,,,Oneinvestmentprogram
escribe,pub-palmdesert.escribemeetings.com,https://pub-palmdesert.escribemeetings.com/Meetings.aspx,yes,,,,,Palm Desert City Negotiator
escribe,pub-prescott.escribemeetings.com,https://pub-prescott.escribemeetings.com/Meetings.aspx,yes,,,,,Prescott
escribe,pub-rmwb.escribemeetings.com,https://pub-rmwb.escribemeetings.com/Meetings.aspx,yes,,,,,Rmwb
escribe,pub-stratford.escribemeetings.com,https://pub-stratford.escribemeetings.com/Meetings.aspx,yes,,,,,Stratford Ad
escribe,pub-townofws.escribemeetings.com,https://pub-townofws.escribemeetings.com/Meetings.aspx,yes,,,,,Townofws
escribe,pub-twpec.escribemeetings.com,https://pub-twpec.escribemeetings.com/Meetings.aspx,yes,,,,,Twpec
escribe,pub-vermilion.escribemeetings.com,https://pub-vermilion.escribemeetings.com/Meetings.aspx,yes,,,,,Vermilion
escribe,pub-vernon.escribemeetings.com,https://pub-vernon.escribemeetings.com/Meetings.aspx,yes,,,,,City of Vernon
escribe,pub-westkelowna.escribemeetings.com,https://pub-westkelowna.escribemeetings.com/Meetings.aspx,yes,,,,,West Kelowna Council Chambers
escribe,tecumseh-pub.escribemeetings.com,https://tecumseh-pub.escribemeetings.com/Meetings.aspx,yes,,,,,
cablecast,huron-township.cablecast.tv,https://huron-township.cablecast.tv/CablecastPublicSite/,no,,,,,Huron Township
cablecast,hctv.cablecast.tv,https://hctv.cablecast.tv/CablecastPublicSite/,no,,,,,Holden
cablecast,cityofpontiac.cablecast.tv,https://cityofpontiac.cablecast.tv/CablecastPublicSite/,no,,,,,Pontiac
cablecast,dakotamediaaccess.cablecast.tv,https://dakotamediaaccess.cablecast.tv/CablecastPublicSite/,no,,,,,
cablecast,edina-mn.cablecast.tv,https://edina-mn.cablecast.tv/CablecastPublicSite/,yes,SWTV Education Channel | Schedule | closed captions available,,,,
cablecast,hamiltonwenham.cablecast.tv,https://hamiltonwenham.cablecast.tv/CablecastPublicSite/,yes,Government | Schedule | closed captions available,,,,
cablecast,laquinta.cablecast.tv,https://laquinta.cablecast.tv/CablecastPublicSite/,no,,,,,La
