platform,tenant_host,match,pages,stored_names,example_slug,landing_url,swagit_footer,proposed_name,proposed_gov_id,proposed_evidence,ryan_gov_name,ryan_note
escribe,pub-cambridge.escribemeetings.com,,5,Cambridge|City of Cambridge,cambridge-council-meeting-agenda-meeting-2026-02-03-council-meeting,https://pub-cambridge.escribemeetings.com,,,,,,
escribe,pub-brucecounty.escribemeetings.com,,3,Bruce County,brucecounty-2024-02-15-bruce-county-council,https://pub-brucecounty.escribemeetings.com,,"Bruce, ON",ca:cd:3541,"slug ""bruce-county-2026-08-06-bruce-county-council"" (1 page) -> ""Bruce County""",,
escribe,pub-halifax.escribemeetings.com,,3,Halifax,halifax-2026-06-16-case-23563-appeal-of-site-plan-approval-highway-7-porters-lak,https://pub-halifax.escribemeetings.com,,,,,,
escribe,pub-langford.escribemeetings.com,,3,City of Langford|Langford,langford-sd-2026-03-02-council-meeting,https://pub-langford.escribemeetings.com,,,,,,
escribe,pub-lincoln.escribemeetings.com,,3,Lincoln|Town of Lincoln,lincoln-2023-06-19-committee-of-the-whole,https://pub-lincoln.escribemeetings.com,,,,,,
escribe,pub-london.escribemeetings.com,,3,City of London,city-of-london-2015-12-07-strategic-priorities-and-policy-committee,https://pub-london.escribemeetings.com,,,,,,
escribe,pub-mission.escribemeetings.com,,3,City of Mission|Mission,mission-2026-03-02-healthcare-in-mission-regular-council-meeting,https://pub-mission.escribemeetings.com,,,,,,
escribe,pub-oliver.escribemeetings.com,,3,Town of Oliver,oliver-2025-12-08-special-open-council-meeting,https://pub-oliver.escribemeetings.com,,,,,,
escribe,pub-paradise.escribemeetings.com,,3,Town of Paradise,paradise-2025-09-02-public-council-meeting,https://pub-paradise.escribemeetings.com,,,,,,
escribe,pub-amherst.escribemeetings.com,,2,Amherst|Town of Amherst,town-of-amherst-2025-03-04-audit-committee,https://pub-amherst.escribemeetings.com,,,,,,
escribe,pub-creston.escribemeetings.com,,2,Town of Creston,creston-2025-10-14-council-meeting,https://pub-creston.escribemeetings.com,,,,,,
escribe,pub-hamilton.escribemeetings.com,,2,City of Hamilton,city-of-hamilton-2024-12-16-community-benefits-protocol-sub-committee,https://pub-hamilton.escribemeetings.com,,,,,,
escribe,pub-leeds1000islands.escribemeetings.com,,2,Leeds1000Islands,leeds1000islands-2025-12-01-committee-of-the-whole-meeting,https://pub-leeds1000islands.escribemeetings.com,,,,,,
