tenant_host,match,gov_id,strength,source,evidence,gov_name,solid_pages,needs_plumbing
play.champds.com,/atlantaga/,us:place:1304000,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/atlanta-ga-2026-03-04-human-relations-commission",Atlanta city,2,False
play.champds.com,/auburnny/,us:place:3603078,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/auburn-ny-2024-05-16-city-council-meeting-may-16-2024",Auburn city,2,False
play.champds.com,/bellemeadetn/,us:place:4704620,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/belle-meade-tn-2026-06-16-regular-meeting",Belle Meade city,1,False
play.champds.com,/chathamma/,us:cousub:2500112995,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/chatham-ma-2026-03-04-conservation-commission",Chatham town,2,False
play.champds.com,/desplainesil/,us:place:1719642,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/des-plaines-il-2024-01-23-planning-and-zoning-jan-23-2024",Des Plaines city,1,False
play.champds.com,/esterofl/,us:place:1221150,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/estero-fl-2023-12-13-special-village-council-meeting",Estero village,1,False
play.champds.com,/fairviewtn/,us:place:4725440,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/fairview-tn-2025-10-02-regular-meeting",Fairview city,1,False
play.champds.com,/falmouthschoolsme/,us:cousub:2300524495,fallback,archive_study_2026-09-09,"2 solidly-identified archive page(s), e.g. /m/falmouth-schools-me-2025-03-31-2025-03-31-school-board-special-meeting",Falmouth town,2,False
play.champds.com,/largofl/,us:place:1239425,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/largo-fl-2025-04-01-largo-city-commission-meeting",Largo city,1,False
play.champds.com,/lincolnwoodil/,us:place:1743744,fallback,archive_study_2026-09-09,"1 solidly-identified archive page(s), e.g. /m/lincolnwood-il-2025-07-28-environmental-commission",Lincolnwood village,1,False
