tenant_host,match,gov_id,strength,source,evidence,gov_name,solid_pages,weak_pages
allegheny.granicus.com,,us:county:42003,fallback,archive_study_2026-09-09,2 solid page(s) all us:county:42003; 1 weak page(s) e.g. /m/subtitles-county-2026-07-14-county-council-on-2026-07-14-5-00-pm,Allegheny County,2,1
ashlandcowi.portal.civicclerk.com,,us:county:55003,fallback,archive_study_2026-09-09,2 solid page(s) all us:county:55003; 2 weak page(s) e.g. /m/ashland-wi-2025-06-17-planning-committee-meeting,Ashland County,2,2
battlegroundps.new.swagit.com,,us:sd:5300380,fallback,archive_study_2026-09-09,1 solid page(s) all us:sd:5300380; 1 weak page(s) e.g. /m/dec-08-2025-board-of-directors,Battle Ground School District,1,1
bcnv.primegov.com,,us:place:3206500,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:3206500; 1 weak page(s) e.g. /m/2026-05-20-may-20-2026-planning-commission-meeting,Boulder City city,2,1
brookhavenny.portal.civicclerk.com,,us:cousub:3610310000,fallback,archive_study_2026-09-09,1 solid page(s) all us:cousub:3610310000; 1 weak page(s) e.g. /m/farmingville-ny-2026-06-11-town-board-meeting-planning-board-at-3pm-town-board-a,Brookhaven town,1,1
brookingscountysd.gov,,us:county:46011,fallback,archive_study_2026-09-09,1 solid page(s) all us:county:46011; 1 weak page(s) e.g. /m/2026-05-28-agenda-center,Brookings County,1,1
buenapark.cablecast.tv,,us:place:0608786,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:0608786; 2 weak page(s) e.g. /m/2026-07-23-bp-planning-commission-july-22-2026,Buena Park city,1,2
camarillo.primegov.com,,us:place:0610046,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:0610046; 1 weak page(s) e.g. /m/2026-01-06-camarillo-planning-commission-1-06-2026,Camarillo city,2,1
carteretcountync.gov,,us:county:37031,fallback,archive_study_2026-09-09,1 solid page(s) all us:county:37031; 1 weak page(s) e.g. /m/2026-08-17-board-of-commissioners-meeting-august-17th,Carteret County,1,1
carync.cablecast.tv,,us:place:3710740,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:3710740; 2 weak page(s) e.g. /m/2026-07-24-cary-council-meeting-july-23-2026,Cary town,1,2
cerritos.cablecast.tv,,us:place:0612552,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:0612552; 1 weak page(s) e.g. /m/2026-08-18-senior-services-commission-special-meeting-august-18-2026,Cerritos city,2,1
charlescountymd.cablecast.tv,,us:county:24017,fallback,archive_study_2026-09-09,1 solid page(s) all us:county:24017; 2 weak page(s) e.g. /m/2026-08-17-planning-commission-august-17-2026,Charles County,1,2
cityofbrea.cablecast.tv,,us:place:0608100,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:0608100; 2 weak page(s) e.g. /m/2026-07-22-july-21-2026-brea-city-council-meeting,Brea city,1,2
cityofdellrapids.granicus.com,,us:place:4615980,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:4615980; 1 weak page(s) e.g. /m/city-of-dell-rapids-sd-2020-11-16-city-council-regular-meeting,Dell Rapids city,1,1
cityofelgin.granicus.com,,us:place:1723074,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:1723074; 1 weak page(s) e.g. /m/city-of-elgin-il-2021-08-25-city-of-elgin-committee-of-the-whole-meeting-august,Elgin city,1,1
cityofmenifee.primegov.com,,us:place:0646842,fallback,archive_study_2026-09-09,2 solid page(s) all us:place:0646842; 1 weak page(s) e.g. /m/city-of-menifee-nbsp-ca-2019-12-05-regular-meeting-12-05-2019,Menifee city,2,1
cityofoxford.granicus.com,,us:place:3959234,fallback,archive_study_2026-09-09,1 solid page(s) all us:place:3959234; 1 weak page(s) e.g. /m/city-of-oxford-oh-2022-09-20-city-council-meeting,Oxford city,1,1
