page_id,slug,tenant_host,match,current_jurisdiction,current_gov_id,current_tier,proposed_gov_id,proposed_gov_name,rule_solid_pages,proposed_name_in_page
3356,all-stories-matter-katey-and-chris-why-we-love-performing-the-civic-and-life,videoplayer.telvue.com,player/2bm0gzQWeVRzdCgvjXziXKwO3icSKh05,,rtr:unknown:videoplayer.telvue.com,blank,us:place:2642160,Kalamazoo city,1,REVIEW
7057,2026-09-08-county-commissioners-meeting-09-08-2026,videoplayer.telvue.com,player/AbfNhigIqnG-4roGCxaFupXEKfme9dfT,,rtr:unknown:videoplayer.telvue.com,blank,us:county:24035,Queen Anne's County,8,REVIEW
3382,garfield-county-sheriff-candidate-forum-hosted-by-the-crv-chamber-at-the-ute-jun,videoplayer.telvue.com,player/P8wyVTR2qr3_LDUHnb_mF4AFW6RckIeS,,rtr:unknown:videoplayer.telvue.com,blank,us:place:0864255,Rifle city,1,REVIEW
6998,hmb-city-council-9-1-26,videoplayer.telvue.com,player/wuZKb9gwEY7sMACIIsr7VSJglB35kNZA,,rtr:unknown:videoplayer.telvue.com,blank,us:place:0654806,Pacifica city,1,REVIEW
7069,2026-09-02-sealy-city-council-9-1-2026,vimeo.com,channel=acnewsonline,,rtr:unknown:player.vimeo.com,blank,us:county:48015,Austin County,1,REVIEW
1482,the-city-of-andover-2026-08-11-city-council-11-aug-2026,www.youtube.com,channel=@AndoverKSCity,The City of Andover,us:place:2001800,inferred,us:place:2001800,Andover city,1,yes
4735,2026-08-24-town-of-avon-indiana-plan-commission-meeting-august-24th-2026,www.youtube.com,channel=@AvonIndianaGov,,rtr:unknown:avonindiana.gov,blank,us:place:1802908,Avon town,1,yes
1434,july13-2026-town-of-bladensburg-maryland-meetings-hub-2026-07-15-council-meeting,www.youtube.com,channel=@BladensburgMD,"July13, 2026 | Town of Bladensburg Maryland Meetings Hub",rtr:us:md:july13-2026-town-of-bladensburg-maryland-meetings-hub,unverified,us:place:2407850,Bladensburg town,1,yes
4757,2026-05-28-agenda-center,www.youtube.com,channel=@BrookingsCounty,,rtr:unknown:brookingscountysd.gov,blank,us:county:46011,Brookings County,2,REVIEW
4361,2026-07-13-sykesville-town-council-meeting-7-13-2026,www.youtube.com,channel=@CarrollmediacenterOrg,,rtr:unknown:www.youtube.com,blank,us:place:2476550,Sykesville town,2,yes
4749,2026-08-17-board-of-commissioners-meeting-august-17th,www.youtube.com,channel=@CarteretCountyTV,,rtr:unknown:carteretcountync.gov,blank,us:county:37031,Carteret County,1,REVIEW
4318,2025-12-02-2025-12-02-board-of-architectural-review,www.youtube.com,channel=@CityofClemsonSouthCarolina,,rtr:unknown:www.youtube.com,blank,us:place:4514950,Clemson city,1,REVIEW
4364,2026-08-05-fostoria-city-council-8-4-26,www.youtube.com,channel=@CityofFostoriaOhio,,rtr:unknown:www.youtube.com,blank,us:place:3928014,Fostoria city,2,yes
4394,lebanon-2023-05-17-lebanon-oregon-city-budget-committee-lebanon-ura-budget-commi,www.youtube.com,channel=@CityofLebanonOR,Lebanon,,unresolved,us:place:4141650,Lebanon city,1,yes
4924,lebanon-2024-09-19-lebanon-oregon-planning-commission-meeting-9-18-2024,www.youtube.com,channel=@CityofLebanonOR,Lebanon,,unresolved,us:place:4141650,Lebanon city,1,yes
6494,2026-08-18-planning-commission-regular-meeting-august-17-2026,www.youtube.com,channel=@CityofMalibu,,rtr:unknown:malibucity.primegov.com,blank,us:place:0645246,Malibu city,2,REVIEW
1267,city-of-menifee-nbsp-ca-2019-12-05-regular-meeting-12-05-2019,www.youtube.com,channel=@CityofMenifeeCali,"City of Menifee&nbsp, CA",rtr:us:ca:menifee-nbsp,unverified,us:place:0646842,Menifee city,2,yes
2575,meeting-02c3ee,www.youtube.com,channel=@CityofSanMateo,,rtr:unknown:www.youtube.com,blank,us:place:0668252,San Mateo city,2,REVIEW
1642,city-of-sb-2026-01-12-city-council-meeting-january-12-2026,www.youtube.com,channel=@CityofSealBeachCouncilChambers,"City of Sb""",,unresolved,us:place:0670686,Seal Beach city,1,REVIEW
4677,2026-06-08-gettysburg-borough-council-meeting-06-08-2026,www.youtube.com,channel=@CommunityMediaPA,,rtr:unknown:www.youtube.com,blank,us:place:4228960,Gettysburg borough,2,yes
4759,2022-10-18-10-18-22-grand-county-commission-workshop-and-regular-meeting,www.youtube.com,channel=@GrandCountyUtahGovernment,,rtr:unknown:grandcountyutah.gov,blank,us:county:49019,Grand County,15,yes
1446,municode-portal-2026-07-22-virtual-893rd-historic-district-commission-meeting-7,www.youtube.com,channel=@LaurelTVOfficial,Municode Portal,rtr:us:md:municode-portal,unverified,us:place:2445900,Laurel city,1,REVIEW
6855,monroeville-2026-05-05-agenda-center,www.youtube.com,channel=@MonroevilleMunicipalTelevision,Monroeville,,unresolved,us:place:4250528,Monroeville municipality,1,yes
4472,meeting-265416,www.youtube.com,channel=@OPENSTAGEMEDIA,,rtr:unknown:www.youtube.com,blank,us:place:3665508,Schenectady city,206,REVIEW
4480,2024-07-22-special-city-council-committee-meeting-july-22-2024,www.youtube.com,channel=@OPENSTAGEMEDIA,,rtr:unknown:www.youtube.com,blank,us:place:3665508,Schenectady city,206,REVIEW
4506,2024-02-15-special-city-council-committee-meeting-february-15-2024,www.youtube.com,channel=@OPENSTAGEMEDIA,,rtr:unknown:www.youtube.com,blank,us:place:3665508,Schenectady city,206,REVIEW
1638,2026-01-08-archived-regular-town-council-meeting-thursday-january-8-2026,www.youtube.com,channel=@PrescottValley1,,rtr:unknown:prescottvalley.primegov.com,blank,us:place:0457450,Prescott Valley town,2,REVIEW
911,2022-11-03-land-use-natural-resources-committee-11-3-22,www.youtube.com,channel=@SacramentoAreaCOG,,rtr:unknown:sacog.primegov.com,blank,us:place:0628112,Galt city,1,REVIEW
2052,2025-08-19-tarrant-county-commissioners-court,www.youtube.com,channel=@TarrantCountyTX,,rtr:unknown:agendamgmtprod.tarrantcountytx.gov,blank,us:county:48439,Tarrant County,2,yes
1616,2026-01-06-camarillo-planning-commission-1-06-2026,www.youtube.com,channel=@TheCityofCamarillo,,rtr:unknown:camarillo.primegov.com,blank,us:place:0610046,Camarillo city,2,yes
4737,2026-08-19-waukee-city-council-meeting-august-17-2026,www.youtube.com,channel=@TheCityofWaukee,,rtr:unknown:waukee.gov,blank,us:place:1982695,Waukee city,1,yes
4679,meeting-afbb0d,www.youtube.com,channel=@TownOfZionsville,,rtr:unknown:www.youtube.com,blank,us:place:1886372,Zionsville town,2,REVIEW
1054,bradfordwestgwillimbury-2024-08-06-regular-council-and-committee-of-the-whole,www.youtube.com,channel=@TownofBradfordWestGwillimbury,Town of Bradford,,unresolved,ca:csd:3543014,Bradford West Gwillimbury,1,yes
2976,town-of-woodside-2026-07-29-town-council-meeting-july-28-2026,www.youtube.com,channel=@TownofWoodside,Town of Woodside,,unresolved,us:place:0686440,Woodside town,25,yes
6492,2025-09-30-city-of-fortuna-live-stream-special-fortuna-city-council-meeting-09-2,www.youtube.com,channel=@accesshumboldt,,rtr:unknown:www.youtube.com,blank,us:place:0660900,Rio Dell city,1,REVIEW
6926,alpine-2026-09-02-9-1-26-planning-commission-meeting,www.youtube.com,channel=@alpinecity6873,Alpine,,unresolved,us:place:4900540,Alpine city,22,yes
1072,ashland-wi-2025-06-17-planning-committee-meeting,www.youtube.com,channel=@ashlandcountywi7399,"Ashland (city), WI",rtr:us:wi:ashland-city,unverified,us:county:55003,Ashland County,2,yes
1302,ashland-wi-2025-07-21-planning-committee-meeting,www.youtube.com,channel=@ashlandcountywi7399,"Ashland (city), WI",rtr:us:wi:ashland-city,unverified,us:county:55003,Ashland County,2,yes
727,2026-05-20-may-20-2026-planning-commission-meeting,www.youtube.com,channel=@bctvbouldercitynvgovernmen722,,rtr:unknown:bcnv.primegov.com,blank,us:place:3206500,Boulder City city,2,REVIEW
3129,juneau-ak-2025-11-05-assembly-finance-committee,www.youtube.com,channel=@cityandboroughofjuneau2053,"Juneau, AK",rtr:us:ak:juneau,unverified,us:place:5538675,Juneau city,2,yes
4910,juneau-ak-2025-06-03-june-2-2025-assembly-committee-of-the-whole-worksession,www.youtube.com,channel=@cityandboroughofjuneau2053,"Juneau, AK",rtr:us:ak:juneau,unverified,us:place:5538675,Juneau city,2,yes
1444,municode-portal-2026-08-04-bma-meeting-8-4-2026,www.youtube.com,channel=@cityofkingsport37660,Municode Portal,rtr:us:tn:municode-portal,unverified,us:place:4739560,Kingsport city,1,REVIEW
1629,city-of-longmont-for-the-fiscal-2026-01-13-city-council-regular-session-01-13-20,www.youtube.com,channel=@cityoflongmont,City of Longmont For The Fiscal,,unresolved,us:place:0845970,Longmont city,1,yes
1449,madeira-beach-florida-meetings-hub-2026-08-13-august-12-2026-boc-regular-meeting,www.youtube.com,channel=@cityofmadeirabeach632,Madeira Beach Florida Meetings Hub,rtr:us:fl:madeira-beach-florida-meetings-hub,unverified,us:place:1242400,Madeira Beach city,1,yes
2219,city-of-phoenix-2026-07-01-city-council-formal-meeting,www.youtube.com,channel=@cityofphoenixaz,City of Phoenix,,unresolved,us:place:0455000,Phoenix city,3,yes
1639,city-of-reno-logo-nv-2026-01-07-reno-city-planning-commission-january-7-2026,www.youtube.com,channel=@cityofreno,"City of Reno Logo"", NV",rtr:us:nv:reno-logo,unverified,us:place:3260600,Reno city,2,yes
1450,city-of-richwood-texas-2026-08-10-city-of-richwood-city-council-meeting-08-10-20,www.youtube.com,channel=@cityofrichwood1067,City of Richwood Texas,rtr:us:tx:richwood-texas,unverified,us:place:4861904,Richwood city,1,yes
1653,county-of-san-bernardino-comprehensive-treatment-2026-01-08-city-council-special,www.youtube.com,channel=@cityofvictorville2463,County of San Bernardino Comprehensive Treatment,,unresolved,us:place:0682590,Victorville city,1,REVIEW
734,2024-03-27-committee-of-the-whole-wednesday-march-27-2024,www.youtube.com,channel=@cowichanvalleyregionaldist508,,rtr:unknown:cvrd.primegov.com,blank,ca:csd:5919016,Lake Cowichan,1,REVIEW
1621,city-of-duncan-town-2025-01-22-committee-of-the-whole-meeting-wednesday-january,www.youtube.com,channel=@cowichanvalleyregionaldist508,City of Duncan Town,,unresolved,ca:csd:5919016,Lake Cowichan,1,REVIEW
1622,2021-01-13-special-corporate-services-committee-wednesday-january-13-2021,www.youtube.com,channel=@cowichanvalleyregionaldist508,,rtr:unknown:cvrdtest.primegov.com,blank,ca:csd:5919016,Lake Cowichan,1,REVIEW
3858,duncan-2025-02-26-committee-of-the-whole-wednesday-february-26-2025,www.youtube.com,channel=@cowichanvalleyregionaldist508,Duncan,,unresolved,ca:csd:5919016,Lake Cowichan,1,REVIEW
4390,2022-06-07-06-06-22-crest-city-hill-city-council-meeting,www.youtube.com,channel=@cresthilltvillinois,,rtr:unknown:youtu.be,blank,us:place:1717458,Crest Hill city,13,yes
4323,2026-08-12-august-4-2026-board-of-commissioners-meeting-town-of-north-wilkesboro,www.youtube.com,channel=@downtownnorthwilkesboro,,rtr:unknown:youtu.be,blank,us:place:3747880,North Wilkesboro town,1,yes
