registry_gov_id,registry_name,host,archive_pages_on_host,verdict,correct_gov_id,correct_name,evidence
ca:csd:5917005,"North Saanich, BC",northsaanich.civicweb.net,1,existing_pin_agrees,ca:csd:5917005,"North Saanich, BC",pin already carries this gov_id
ca:csd:4801018,"Redcliff, AB",redcliff.civicweb.net,1,existing_pin_agrees,ca:csd:4801018,"Redcliff, AB",pin already carries this gov_id
us:county:51161,"Roanoke County, VA",roanokecountyva.iqm2.com,2,existing_pin_agrees,us:county:51161,"Roanoke County, VA",pin already carries this gov_id
us:place:4967825,"Saratoga Springs, UT",saratogasprings-ut.gov,1,existing_pin_agrees,us:place:4967825,"Saratoga Springs, UT",pin already carries this gov_id
us:place:5300100,"Aberdeen, WA",www.aberdeenwa.gov,1,existing_pin_agrees,us:place:5300100,"Aberdeen, WA",pin already carries this gov_id
us:county:08031,"Denver County, CO",denver.granicus.com,2,existing_pin_consolidated,us:place:0820000,"Denver, CO","consolidated city-county: research holds the county id, the pin the place id"
us:county:06075,"San Francisco County, CA",sanfrancisco.granicus.com,3,existing_pin_consolidated,us:place:0667000,"San Francisco, CA","consolidated city-county: research holds the county id, the pin the place id"
us:county:34037,"Sussex County, NJ",www.sussex.nj.us,1,existing_pin_looks_wrong,us:county:34037,"Sussex County, NJ","landing title 'Sussex County, NJ | Official Website'; pin says Sussex borough us:place:3471670, research says us:county:34037"
us:county:17091,"Kankakee County, IL",kankakeecountyil.gov,1,page_wrong_research_right,us:county:17091,"Kankakee County, IL","host is the county; page minted rtr:us:il:kankakee-city from stored 'Kankakee (city), IL'"
us:county:17113,"McLean County, IL",mcleancountyil.gov,1,page_wrong_research_right,us:county:17113,"McLean County, IL","landing 'McLean County, IL - Official Website'; page keyed to McLean village at tier registry from stored 'McLean, IL' -- fallback pin inert"
us:place:1700243,"Addison (village), IL",addison.granicus.com,2,pinned,us:place:1700243,"Addison (village), IL",research gov_id confirmed by landing page / footer / meeting body
