tenant_host,match,study_gov_id,study_gov_name,existing_pin_gov_id,solid_pages
www.youtube.com,channel=@AmericanForkCity,us:place:4901310,,us:place:4901310,1
www.youtube.com,channel=@BellevilleCityHall,ca:csd:3512005,,ca:csd:3512005,1
www.youtube.com,channel=@BuckinghamBoardMeetings-wq1dm,us:cousub:4201709816,,us:cousub:4201709816,1
www.youtube.com,channel=@CityOfSalem-CityHall,us:place:5170000,,us:place:5170000,1
www.youtube.com,channel=@CityofChelseaAL,us:place:0114104,,us:place:0114104,1
www.youtube.com,channel=@CityofCrownPointLive,us:place:1816138,,us:place:1816138,1
www.youtube.com,channel=@CityofHagerstown,us:place:2436075,,us:place:2436075,1
www.youtube.com,channel=@CityofJacksonTN731,us:place:4737640,,us:place:4737640,1
www.youtube.com,channel=@CityofMalibu,us:place:0645246,Malibu city,us:place:0645246,1
www.youtube.com,channel=@CityofMidwestCityOklahoma,us:place:4048350,,us:place:4048350,1
www.youtube.com,channel=@CityofNorthMiami,us:place:1249450,,us:place:4847988,1
www.youtube.com,channel=@CityofPortClinton,us:place:3964150,,us:place:3964150,1
www.youtube.com,channel=@CityofRahway,us:place:3461530,,us:place:3461530,1
www.youtube.com,channel=@CityofRiverton,us:place:5666220,,us:place:5666220,1
www.youtube.com,channel=@CityofTwinsburg,us:place:3978050,Twinsburg city,us:place:3978050,1
www.youtube.com,channel=@CookCountyAssessorsOffice,us:county:17031,Cook County,us:county:17031,1
www.youtube.com,channel=@CountyofLassen,us:county:06035,,us:county:06035,1
www.youtube.com,channel=@CrookCountyAdministration,us:county:41013,,us:county:41013,1
www.youtube.com,channel=@CumberlandCounty-p4v,us:county:51049,,us:county:51049,1
www.youtube.com,channel=@EastPointTV,us:place:1325720,,us:place:1325720,1
www.youtube.com,channel=@ForsythCity,us:place:2925192,,us:place:2925192,1
www.youtube.com,channel=@GarfieldHeightsCity,us:place:3929428,,us:place:3929428,1
www.youtube.com,channel=@GlendaleHtsTV,us:place:1729730,,us:place:1729730,1
www.youtube.com,channel=@HannaAlberta,ca:csd:4804011,,ca:csd:4804011,1
www.youtube.com,channel=@LittletonChannel8,us:place:0845255,,us:place:0845255,1
www.youtube.com,channel=@LongBranchCity,us:place:3441310,,us:place:3441310,1
www.youtube.com,channel=@MarshallCountyCommissionAL,us:county:01095,,us:county:01095,1
www.youtube.com,channel=@OFFICIALConewagoTownshipYorkCo,us:cousub:4213315656,,us:cousub:4213315656,1
www.youtube.com,channel=@ParklandCountyAB,ca:csd:4811034,,ca:csd:4811034,1
www.youtube.com,channel=@PerryTownshipFranklinCounty,us:cousub:3904961840,,us:cousub:3904961840,1
www.youtube.com,channel=@PikeCountyPA,us:county:42103,,us:county:42103,1
www.youtube.com,channel=@PittCountyNC,us:county:37147,,us:county:37147,1
www.youtube.com,channel=@PittsylvaniacountyvaGov,us:county:51143,,us:county:51143,1
www.youtube.com,channel=@RandolphCountyNC,us:county:37151,,us:county:37151,1
www.youtube.com,channel=@RileyCountyCommissionMeetings,us:county:20161,,us:county:20161,1
www.youtube.com,channel=@SaukCentreCity,us:place:2758648,,us:place:2758648,1
www.youtube.com,channel=@ShrewsburyTownship,us:cousub:4213370576,,us:cousub:4213370576,1
www.youtube.com,channel=@SouthSaltLakeCity,us:place:4971070,,us:place:4971070,1
www.youtube.com,channel=@SyracuseCityUT1935,us:place:4974810,,us:place:4974810,1
www.youtube.com,channel=@TOMPGovMeetings,us:place:4548535,,us:place:4548535,1
www.youtube.com,channel=@TV25BCOCC,us:county:24510,,us:place:2404000,1
