tenant_host,match,gov_id,strength,source,evidence,gov_name,solid_pages,needs_plumbing
www.youtube.com,channel=@119thDistrictCourt-Concho,us:county:48095,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/concho-county-tx-2026-09-04-119th-district-court-concho-s-zoom-meeting; owner title ""119th District Court - Concho""",,1,True
www.youtube.com,channel=@1623Studios,us:county:25009,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/essex-county-ma-2024-01-15-essex-financial-committee-forum-january-11-2024; owner title ""1623 Studios""",,1,True
www.youtube.com,channel=@21HOMTV,us:cousub:2606553140,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/meridian-charter-township-mi-2026-09-01-haslett-road-diet-safety-improvement-pro; owner title ""HOMTV""",,1,True
www.youtube.com,channel=@3SMTV,us:place:0671806,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/sierra-madre-ca-2025-02-12-sierra-madre-city-council-february-11-2025-regular-me; owner title ""SMTV3""",,1,True
www.youtube.com,channel=@AccessBloomfieldCT,us:cousub:0911005910,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bloomfield-ct-2026-09-10-library-building-committee-september-9-2026; owner title ""Town of Bloomfield, CT""",,1,True
www.youtube.com,channel=@AcushnetCable,us:cousub:2500500520,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/acushnet-ma-2025-11-08-acushnet-board-of-selectmen-nov-7-2025; owner title ""Acushnet Cable""",,1,True
www.youtube.com,channel=@AddisonTWP,us:cousub:1704300250,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/addison-township-il-2024-05-21-addison-newsmakers-mental-health-board-meet-greet; owner title ""Addison TWP""",,1,True
www.youtube.com,channel=@AlleganCounty,us:county:26005,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/allegan-county-mi-2026-09-03-board-meeting-2026-09-03; owner title ""Allegan County""",,1,True
www.youtube.com,channel=@AltonMocom,us:place:2900964,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/alton-mo-2026-04-03-thayer-town-hall-meeting-with-ballot-forum-and-meet-the-cand; owner title ""AltonMo.com""",,1,True
www.youtube.com,channel=@AlvinTexas,us:place:4802272,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/alvin-tx-2026-09-03-city-of-alvin-city-council-meeting-9-3-2026; owner title ""Alvin Texas""",,1,True
www.youtube.com,channel=@AndersonCountySCGov,us:county:45007,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/anderson-county-sc-2026-09-03-county-council-recognizes-south-carolina-guard; owner title ""Anderson County, S.C.""",,1,True
www.youtube.com,channel=@AngolaIN,us:place:1801666,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/angola-in-2025-07-08-2025-07-07-angola-common-council; owner title ""City of Angola, Indiana""",,1,True
www.youtube.com,channel=@AnnapolisRoyalNS,ca:csd:1205008,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/annapolis-royal-ns-2023-05-04-committee-of-the-whole-3may23; owner title ""Annapolis Royal""",,1,True
www.youtube.com,channel=@ArcadiaCAgov,us:place:0602462,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/city-of-arcadia-2026-09-09-city-council-special-meeting-9-1-2026; owner title ""City of Arcadia""",,1,True
www.youtube.com,channel=@ArmstrongNeighborhoodChannel,us:cousub:4203980000,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/vernon-township-pa-2019-09-06-vernon-township-supervisors-sept-5-2019; owner title ""Armstrong Neighborhood Channel""",,1,True
www.youtube.com,channel=@AshfordCT,us:cousub:0915001430,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/ashford-ct-2026-08-28-board-of-finance-august-27-2026; owner title ""Town of Ashford CT Official""",,1,True
www.youtube.com,channel=@Astontownship,us:cousub:4204503336,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/aston-township-pa-2026-08-12-aston-township-commissioners-meeting-august-2026; owner title ""Aston Township""",,1,True
www.youtube.com,channel=@AuburnTWP,us:cousub:3905502904,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/auburn-township-2026-09-08-september-8th-2026-auburn-township-board-of-trustees; owner title ""Auburn Township""",,1,True
www.youtube.com,channel=@AyerPublicAccessCorporation,us:cousub:2501703005,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/ayer-ma-2026-09-01-ayer-select-board-meeting-august-31-2026; owner title ""Ayer Public Access Corporation""",,1,True
www.youtube.com,channel=@BBITownshipBoard,us:cousub:2609709500,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bois-blanc-township-mi-2026-08-28-26-august-2026-bbi-township-board-meeting; owner title ""BBITownshipBoard""",,1,True
www.youtube.com,channel=@BTCFiber,us:county:47153,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/sequatchie-county-tn-2026-09-09-ed-brown-jam-session-2024; owner title ""BTC Fiber""",,1,True
www.youtube.com,channel=@BXB-TV,us:cousub:2501707350,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/boxborough-ma-2026-09-09-conservation-commission-september-2-2026; owner title ""BXB-TV""",,1,True
www.youtube.com,channel=@BakerForward,us:place:2203985,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/baker-la-2026-06-17-brec-community-meeting-in-baker-planning-the-future-together; owner title ""Baker Forward""",,1,True
www.youtube.com,channel=@BaldwinCityKS,us:place:2003900,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/baldwin-city-ks-2026-09-01-city-council-meeting-9-1-2026; owner title ""Baldwin City, KS""",,1,True
www.youtube.com,channel=@BanksTownshipMIgov,us:cousub:2600905240,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/banks-township-mi-2026-09-08-planning-commission-regular-meeting-9-8-2026; owner title ""Banks Township, MI""",,1,True
www.youtube.com,channel=@BataviaOH,us:place:3904150,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/batavia-2026-08-10-batavia-village-council-meeting-8-10-26; owner title ""BataviaOH""",,1,True
www.youtube.com,channel=@BatesvilleIndianaLive,us:place:1803664,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/batesville-in-2026-03-10-03-09-2026-council-meeting; owner title ""Batesville Indiana Live""",,1,True
www.youtube.com,channel=@BavarianTown,us:place:5338845,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/city-of-leavenworth-2026-08-06-planning-commission-meeting-0-05-2026; owner title ""City of Leavenworth""",,1,True
www.youtube.com,channel=@BeaverheadCountyCommissioner,us:county:30001,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/beaverhead-county-mt-2026-07-20-boh-meeting-city-hall-04-17-2026; owner title ""Beaverhead County Commissioner""",,1,True
www.youtube.com,channel=@BedfordCharterTownship,us:cousub:2602506720,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bedford-charter-township-mi-2026-08-25-2026-08-25-bedford-charter-township-speci; owner title ""Bedford Charter Township""",,1,True
www.youtube.com,channel=@BedfordTv,us:cousub:2501704615,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bedford-ma-2026-02-24-planning-board-meeting-02-24-26; owner title ""Bedford TV, MA""",,1,True
www.youtube.com,channel=@BelchertownTV,us:cousub:2501504825,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/belchertown-ma-2025-01-10-belchertown-branding-committee-meeting-january-8-2025; owner title ""Belchertown Community Television""",,1,True
www.youtube.com,channel=@BellinghamTown,us:cousub:2502104930,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/bellingham-ma-2026-09-08-zoning-board-of-appeals-meeting-09-03-26; owner title ""Town of Bellingham, Massachusetts""",,1,True
www.youtube.com,channel=@BentonCountyIowa,us:county:19011,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/benton-county-ia-2024-06-05-06-04-24-board-of-supervisors-meeting; owner title ""Benton County Iowa""",,1,True
www.youtube.com,channel=@Berkshiretwp,us:cousub:3904105774,fallback,archive_study_2026-09-14,"1 solidly-identified archive page(s), e.g. /m/berkshire-township-2026-08-10-berkshire-township-trustee-meeting-8-10-26; owner title ""Berkshire Township""",,1,True
