tenant_host,match,owner_title,pages,governments...
www.youtube.com,channel=@CrossroadsTV,Crossroads TV,2,us:cousub:2302524320 (?) x1,us:cousub:2301186515 (?) x1
www.youtube.com,channel=@CulpeperMedia,Culpeper Media Network,2,us:place:5120752 (?) x1,us:county:51047 (Culpeper County) x1
www.youtube.com,channel=@ICRCTV,ICRC-TV,2,us:place:3950176 (?) x1,us:cousub:3916533068 (?) x1
www.youtube.com,channel=@MCTVVermont,MCTVVermont,2,us:sd:5000402 (?) x1,us:cousub:5000144350 (?) x1
www.youtube.com,channel=@MMCTV,MMCTV,2,us:cousub:5000736700 (?) x1,us:cousub:5000734600 (?) x1
www.youtube.com,channel=@NEMCTV6,NEMCTV6,2,us:place:2652960 (?) x1,us:cousub:2609946900 (?) x1
www.youtube.com,channel=@NorthwestAccessTV,Northwest Access TV,3,us:cousub:5001145850 (?) x1,us:cousub:5001161750 (?) x1,us:place:5024025 (?) x1
www.youtube.com,channel=@PANDATVNOW,PANDANOW,2,us:place:3661346 (?) x1,us:place:3660895 (Red Hook village) x1
www.youtube.com,channel=@gatescountyboardofcommissi2960,Gates County Board of Commissioners,2,us:county:37073 (?) x1,us:place:3725680 (?) x1
www.youtube.com,channel=@municipalmeeting7682,Municipal Meeting,2,us:cousub:4209186496 (?) x1,us:cousub:4209179176 (?) x1
