page_id,government,gov_id,title,outcome,video_url,channel_on_page,channel_from_gov_other_pages,archive_url
4723,"Plymouth Charter Township, MI",us:cousub:2616365080,,Captions disabled / video unavailable,https://www.youtube.com/watch?v=gLjA_YzHbdY,@plymouthtownshipmichigan8139,@plymouthtownshipmichigan8139,https://redtaperecordings.com/m/meeting-5bee7a
5007,"Woodside, CA",us:place:0686440,"Town Council Meeting - June 23, 2026",Captions disabled / video unavailable,https://www.youtube.com/watch?v=mZ6dsK_IWf0,@TownofWoodside,@TownofWoodside,https://redtaperecordings.com/m/woodside-ca-2026-06-24-town-council-meeting-june-23-2026
5096,"New Prague, MN",us:place:2745808,,Blank/no transcript,https://www.youtube.com/watch?v=7_McOWFcENM,@NewPragueCityCouncil,@NewPragueCityCouncil,https://redtaperecordings.com/m/new-prague-mn
5194,"Crest Hill, IL",us:place:1717458,05-07-20 Bid Opening,Captions disabled / video unavailable,https://www.youtube.com/watch?v=L3DcyYnvty0,@cresthilltvillinois,@cresthilltvillinois,https://redtaperecordings.com/m/crest-hill-il-2020-05-11-05-07-20-bid-opening
6091,"Fayette County, IA",us:county:19065,100th Anniversary of the Fayette County (Iowa) Courthouse,Captions disabled / video unavailable,https://www.youtube.com/watch?v=LqkIKKXxplQ,@visitfayettecountyiowa,@visitfayettecountyiowa,https://redtaperecordings.com/m/fayette-county-ia-2024-10-15-100th-anniversary-of-the-fayette-county-iowa-courth
6101,"Greenwood County, KS",us:county:20073,"Greenwood County, Kansas",Captions disabled / video unavailable,https://www.youtube.com/watch?v=B-eeFvkDr1g,@TaylorHuntRocketLab,@TaylorHuntRocketLab,https://redtaperecordings.com/m/greenwood-county-ks-2023-09-06-greenwood-county-kansas
6114,"Jefferson Davis County, MS",us:county:28065,Jefferson Davis County - Mississippi,Captions disabled / video unavailable,https://www.youtube.com/watch?v=Eh1JO9zT_u0,,,https://redtaperecordings.com/m/jefferson-davis-county-ms-jefferson-davis-county-mississippi
6119,"Athens County, OH",us:county:39009,VFW Appreciation 2025,Captions disabled / video unavailable,https://www.youtube.com/watch?v=CzMV4_MV7Lw,@acbdd,@acbdd,https://redtaperecordings.com/m/athens-county-oh-2025-09-23-vfw-appreciation-2025
6137,"Sabine County, TX",us:county:48403,Kinetic Fiber Internet,Blank/no transcript,https://www.youtube.com/watch?v=TPMI4d1o4QY,@gokineticfiber,@gokineticfiber,https://redtaperecordings.com/m/sabine-county-tx-kinetic-fiber-internet
6167,"Middletown, OH",us:place:3949840,Citizen Advisory Board 01.17.2024,Captions disabled / video unavailable,https://www.youtube.com/watch?v=XqMoHtJCThQ,@CityofMiddletownOhio,@CityofMiddletownOhio,https://redtaperecordings.com/m/middletown-oh-2024-01-23-citizen-advisory-board-01-17-2024
