page_id,action,target_gov_id,expected_current_gov_id,expected_slug,requires,confidence,needs_ryan,ryan_decision,source_entry,shown_today,reason,evidence
5945,rekey,rtr:us:wa:south-snohomish-county-fire-and-rescue-regional-fire-authority,rtr:ca:mb:south,south-mb-2026-09-01-board-of-fire-commissioners,,high,yes,approve,Three live wrong-government cases wait for WO-934's,"South, MB (Canada) | Board of Fire Commissioners","Shown as 'South, MB (Canada)'. It is South Snohomish County Fire and Rescue RFA, Washington. No registry id existed for it; WO-934 mints one (below). Ryan approved the mint and this re-key on 2026-09-21. The minted government must be DEPLOYED to the Archive before this row can apply: the override route refuses an id the Archive does not know.","The adapter's own stored name is 'South Snohomish County Fire and Rescue RFA'. Source host is southsnofire.granicus.com. The transcript names South County Fire, the Mill Creek and Mountlake Terrace councils and the mayor of Edmonds (spelled 'Edmund's' there). The national list of governments has one match: Census of Governments unit 248695, SOUTH SNOHOMISH COUNTY FIRE AND RESCUE REG FIRE AUTHORITY, WA. Minted in this PR: rtr:us:wa:south-snohomish-county-fire-and-rescue-regional-fire-authority is South Snohomish County Fire and Rescue Regional Fire Authority, WA."
10852,rekey,rtr:us:ut:north-valley-public-safety-department,rtr:us:ut:north,north-ut-2026-03-24-board-of-directors-meeting,,medium,yes,approve,Three live wrong-government cases wait for WO-934's,"North, UT | Board of Directors Meeting","Shown as 'North, UT'. It is the North Valley Public Safety Department, Utah. No registry id existed for it; WO-934 mints one (below). Ryan approved the mint and this re-key on 2026-09-21. The minted government must be DEPLOYED to the Archive before this row can apply: the override route refuses an id the Archive does not know.","The adapter's own stored name is 'North Valley Public Safety Department, Utah'. Source is Utah Public Notice Website notice 1067943. The transcript speaks of Moroni, Fountain Green and the North Valley Police Department. The national list of governments has no match (its three 'North Valley' units are in Montana and California), so a mint would carry no Census unit. Minted in this PR: rtr:us:ut:north-valley-public-safety-department is North Valley Public Safety Department, UT."
9073,rekey,us:county:05143,us:county:01129,washington-county-ar-2026-05-27-finance-and-budget-meeting-5-12-2026,,high,no,,Three live wrong-government cases wait for WO-934's,"Washington County, AL | Finance and Budget Meeting 5/12/2026","Filed under Washington County, AL. It is Washington County, Arkansas. The channel pin www.youtube.com channel=@washcoar in tenant_overrides.csv wrongly says AL (fixed in this PR).","The transcript names Washington County, Arkansas, its Quorum Court, Prairie Grove, Fayetteville and Springdale (8 mentions of Arkansas; the one 'Alabama' on the page is the site's own link). Channel handle @washcoar reads Washington Co AR. Two per-video pins for this video already say us:county:05143 (WO-134 and WO-259). Registry: us:county:05143 is Washington County, AR."
9681,rekey,us:county:05143,us:county:01129,washington-county-al-2026-02-18-planning-and-zoning-board-meeting-02-12-26,,high,no,,Three live wrong-government cases wait for WO-934's,"Washington County, AL | Planning and Zoning Board Meeting 02/12/26","Same channel (@washcoar), same wrong filing under Washington County, AL. WO-932 named page 9073 only; this second page came from the same pin (a per-video pin, WO-171, also says AL and is fixed in this PR).","One channel belongs to one government, and page 9073 proves this channel is Washington County, AR. This page's transcript has one Arkansas address (West Fork, Arkansas, a Washington County town) and one Alabama address (Birmingham, a tower company's office). No sign of Alabama's Washington County. Registry: us:county:05143 is Washington County, AR."
2504,rekey,,us:county:27007,beltrami-county-mn-2025-09-04-puc-agenda-meeting-on-2025-09-04-10-00-am,,high,yes,approve,A Pennsylvania Public Utility Commission hearing was briefly,"Beltrami County, MN | PUC Agenda Meeting on 2025-09-04 10:00 AM","A Minnesota Public Utilities Commission meeting is filed under Beltrami County, MN. Ryan approved on 2026-09-21 moving it to unresolved, the same as page 5816, and not deleting it. No id exists to re-key to (Ryan decided not to mint a state commission), so this row cannot run through the tool: the override route needs a registry id. The path that works is below.","Page 5816 (same host) has gov_id blank, jurisdiction 'Minnesota Public Utilities Commission', confidence unresolved: it was ingested under that name with no state, so the ladder left it unresolved. The path 'backfill_gov_id.py --hosts minnesotapuc.granicus.com' does NOT apply: it recomputes from this page's stored name 'Beltrami County, MN' and gets Beltrami County again (checked with the resolver on 2026-09-21), so it would leave the page as it is. What does apply: the Granicus adapter gives 'Beltrami County, MN' for the player/clip address but 'Minnesota Public Utilities Commission' for the MediaPlayer.php?view_id=2 address of the same clip (both checked 2026-09-21 with repoint_page.py --dry-run), and a re-push under the second name recomputes this page's identity to unresolved and keeps its transcript (tests/test_repair_wrong_pages.py runs that push through the real ingest route). On the resolver's Render shell, dry run first: python scripts/repoint_page.py ""https://minnesotapuc.granicus.com/player/clip/2573"" ""https://minnesotapuc.granicus.com/MediaPlayer.php?view_id=2&clip_id=2573"" --dry-run ; then the same command without --dry-run. Source is minnesotapuc.granicus.com clip 2573 ('PUC Agenda Meeting on 2025-09-04')."
291,rekey,us:sd:0610620,us:place:0618100,city-of-davis-djusd-board-of-education,,high,no,,"Full-corpus screen (5,857 pages) found the same","Davis, CA | DJUSD Board of Education",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"DJUSD is the acronym of Davis Joint Unified School District. Host davis.granicus.com is the city's own Granicus site, which also carries the school board. The meeting itself is real; only the government is wrong. Registry: us:sd:0610620 is Davis Joint Unified School District, CA."
3861,rekey,us:sd:0610620,us:place:0618100,city-of-davis-ca-2026-08-20-djusd-board-of-education,,high,no,,"Full-corpus screen (5,857 pages) found the same","Davis, CA | DJUSD Board of Education",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"DJUSD is the acronym of Davis Joint Unified School District. Host davis.granicus.com is the city's own Granicus site, which also carries the school board. The meeting itself is real; only the government is wrong. Registry: us:sd:0610620 is Davis Joint Unified School District, CA."
5662,rekey,us:sd:0610620,us:place:0618100,davis-ca-2026-09-03-djusd-board-of-education,,high,no,,"Full-corpus screen (5,857 pages) found the same","Davis, CA | DJUSD Board of Education",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"DJUSD is the acronym of Davis Joint Unified School District. Host davis.granicus.com is the city's own Granicus site, which also carries the school board. The meeting itself is real; only the government is wrong. Registry: us:sd:0610620 is Davis Joint Unified School District, CA."
615,rekey,us:sd:1926400,us:place:1973335,oct-13-2025-board-meetings-sioux-city-community-school-district,,high,no,,"Full-corpus screen (5,857 pages) found the same","Sioux City, IA | Oct 13, 2025 Board Meetings - Sioux City Community School District",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"The title names 'Sioux City Community School District'. Host siouxcityschools.new.swagit.com is the district's own Swagit site. The meeting itself is real; only the government is wrong. Registry: us:sd:1926400 is Sioux City Community School District, IA."
747,rekey,us:sd:0601860,us:place:0600674,city-of-albany-ausd-board-of-education,,high,no,,"Full-corpus screen (5,857 pages) found the same","Albany, CA | AUSD Board of Education",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"'AUSD' on albanyca.granicus.com, the city's Granicus. The Census list has one school district named for Albany in California. The meeting itself is real; only the government is wrong. Registry: us:sd:0601860 is Albany City Unified School District, CA."
1343,rekey,us:sd:2305670,us:cousub:2300524495,falmouth-schools-me-2025-03-31-2025-03-31-school-board-special-meeting,,high,no,,"Full-corpus screen (5,857 pages) found the same","Falmouth, ME | 2025.03.31 School Board Special Meeting",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"Host play.champds.com/falmouthschoolsme names the district (Falmouth Schools, Maine). The Census list has one Falmouth district in Maine. The meeting itself is real; only the government is wrong. Registry: us:sd:2305670 is Falmouth, ME."
2234,rekey,us:sd:2305670,us:cousub:2300524495,falmouth-schools-me-2023-10-16-2023-10-16-school-board,,high,no,,"Full-corpus screen (5,857 pages) found the same","Falmouth, ME | 2023.10.16 School Board",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"Host play.champds.com/falmouthschoolsme names the district (Falmouth Schools, Maine). The Census list has one Falmouth district in Maine. The meeting itself is real; only the government is wrong. Registry: us:sd:2305670 is Falmouth, ME."
1689,rekey,us:sd:3904410,us:place:3933012,hamilton-2026-08-11-hcsd-board-of-education-meeting-8-11-26,,high,no,,"Full-corpus screen (5,857 pages) found the same","Hamilton (city), OH | HCSD Board of Education Meeting 8-11-26",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"'HCSD' on tvhamilton.cablecast.tv (Hamilton, Ohio) reads Hamilton City School District. The Census list also has Hamilton Local School District (us:sd:3904695), which is a different place. The meeting itself is real; only the government is wrong. Registry: us:sd:3904410 is Hamilton City School District, OH."
3520,rekey,us:sd:2714260,us:place:2718188,edina-2026-08-27-hopkins-school-district,,high,no,,"Full-corpus screen (5,857 pages) found the same","Edina, MN | Hopkins School District",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"The title names the Hopkins School Board. Host edina-mn.cablecast.tv is Edina's public-access channel. Hopkins Public School District is the only Hopkins district in Minnesota. The meeting itself is real; only the government is wrong. Registry: us:sd:2714260 is Hopkins Public School District, MN."
3521,rekey,us:sd:2714260,us:place:2718188,edina-2026-06-24-june-23rd-2026-meeting-of-the-hopkins-school-board,,high,no,,"Full-corpus screen (5,857 pages) found the same","Edina, MN | June 23rd, 2026 Meeting of the Hopkins School Board",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"The title names the Hopkins School Board. Host edina-mn.cablecast.tv is Edina's public-access channel. Hopkins Public School District is the only Hopkins district in Minnesota. The meeting itself is real; only the government is wrong. Registry: us:sd:2714260 is Hopkins Public School District, MN."
3642,rekey,us:sd:2714260,us:place:2718188,edina-2026-06-03-june-2nd-2026-meeting-of-the-hopkins-school-board,,high,no,,"Full-corpus screen (5,857 pages) found the same","Edina, MN | June 2nd, 2026 Meeting of the Hopkins School Board",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"The title names the Hopkins School Board. Host edina-mn.cablecast.tv is Edina's public-access channel. Hopkins Public School District is the only Hopkins district in Minnesota. The meeting itself is real; only the government is wrong. Registry: us:sd:2714260 is Hopkins Public School District, MN."
3643,rekey,us:sd:2714260,us:place:2718188,edina-2026-05-20-may-19th-2026-meeting-of-the-hopkins-school-board,,high,no,,"Full-corpus screen (5,857 pages) found the same","Edina, MN | May 19th, 2026 Meeting of the Hopkins School Board",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"The title names the Hopkins School Board. Host edina-mn.cablecast.tv is Edina's public-access channel. Hopkins Public School District is the only Hopkins district in Minnesota. The meeting itself is real; only the government is wrong. Registry: us:sd:2714260 is Hopkins Public School District, MN."
3645,rekey,us:sd:2711250,us:place:2718188,edina-2026-03-11-edina-public-schools-march-9th-school-board-meeting,,high,no,,"Full-corpus screen (5,857 pages) found the same","Edina, MN | Edina Public Schools - March 9th School Board Meeting",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"The title names Edina Public Schools. The Census list has one Edina district in Minnesota. The meeting itself is real; only the government is wrong. Registry: us:sd:2711250 is Edina Public School District, MN."
4179,rekey,us:sd:2629910,us:place:2668880,city-of-riverview-2026-08-25-riverview-school-board-meeting-live-8-25-2026-7-00,,high,no,,"Full-corpus screen (5,857 pages) found the same","Riverview, MI | Riverview School Board Meeting - Live - 8/25/2026 7:00:00 PM",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"The title names the Riverview School Board; host riverviewmi.cablecast.tv. The Census list has one Riverview district in Michigan. The meeting itself is real; only the government is wrong. Registry: us:sd:2629910 is Riverview Community School District, MI."
5252,rekey,us:sd:5515900,us:place:5584475,wausau-city-wi-2024-01-22-wausau-school-board-ed-op-committee-special-meetings-1,,high,no,,"Full-corpus screen (5,857 pages) found the same","Wausau (city), WI | Wausau School Board Ed/Op Committee & Special Meetings - 1/22/24",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"The title names the Wausau School Board; host wausau-wi.cablecast.tv. The Census list has one Wausau district in Wisconsin (Wausaukee is a different place). The meeting itself is real; only the government is wrong. Registry: us:sd:5515900 is Wausau School District, WI."
1882,rekey,us:sd:1926400,us:place:1973335,jan-24-2022-special-board-meeting-sioux-city-community-school-district,,high,no,,"Full-corpus screen (5,857 pages) found the same","Sioux City, IA | Jan 24, 2022 Special Board Meeting - Sioux City Community School District",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"The title names 'Sioux City Community School District'. Host siouxcityschools.new.swagit.com is the district's own Swagit site. The meeting itself is real; only the government is wrong. Not one of the audit's 23: the WO-934 re-screen found it on the same tenant and title shape as page 615, which is on this sheet. Registry: us:sd:1926400 is Sioux City Community School District, IA."
1694,rekey,us:sd:5515900,us:place:5584475,2025-07-14-wausau-school-board-meeting-7-14-25,,high,no,,"Full-corpus screen (5,857 pages) found the same","Wausau (city), WI | Wausau School Board Meeting - 7/14/25",A school board meeting filed under the city or town whose site carried it. The school district is the government that met.,"The title names the Wausau School Board; host wausau-wi.cablecast.tv. The Census list has one Wausau district in Wisconsin (Wausaukee is a different place). The meeting itself is real; only the government is wrong. Not one of the audit's 23: the WO-934 re-screen found it on the same tenant and title shape as page 5252, which is on this sheet. Registry: us:sd:5515900 is Wausau School District, WI."
