gov_id,unit_name,web_address
us:place:1825000,CITY OF FORT WAYNE,http://www.cityoffortwayne.org/
us:place:3421000,CITY OF ELIZABETH,http://www.elizabethnj.org/
us:place:4548535,TOWN OF MOUNT PLEASANT,http://www.tompsc.com
us:place:3474000,CITY OF TRENTON,http://www.trentonnj.org/
us:place:3413690,CITY OF CLIFTON,http://www.cliftonnj.org
us:place:4848768,CITY OF MISSION,http://www.missiontexas.us
us:place:0812415,TOWN OF CASTLE ROCK,http://www.crgov.com
us:place:2241155,CITY OF LAKE CHARLES,http://www.cityoflakecharles.com/
us:place:0680854,CITY OF TUSTIN,http://www.tustinca.org
us:place:4530850,CITY OF GREENVILLE,http://www.greenvillesc.gov/
us:place:1840788,CITY OF LAFAYETTE,http://www.lafayette.in.gov
us:place:0121184,CITY OF DOTHAN,http://www.dothan.org
us:place:4852356,CITY OF NORTH RICHLAND HILLS,http://www.nrhtx.com
us:place:2064500,CITY OF SHAWNEE,http://www.cityofshawnee.org/
us:place:3944856,CITY OF LORAIN,http://www.cityoflorain.org
us:place:2239475,CITY OF KENNER,http://www.kenner.la.us/
us:place:0639248,CITY OF LAGUNA NIGUEL,http://www.cityoflagunaniguel.org
us:place:2208920,CITY OF BOSSIER CITY,http://www.bossiercity.org/
us:place:2965126,CITY OF ST PETERS,http://www.stpetersmo.net/
us:place:4048350,CITY OF MIDWEST CITY,http://www.midwestcityok.org
us:place:2670760,CITY OF ST CLAIR SHORES,http://www.scsmi.net
us:place:4770580,TOWN OF SPRING HILL,http://WWW.SPRINGHILLTN.ORG
us:place:1801468,CITY OF ANDERSON,http://www.cityofanderson.com/
us:place:1781048,CITY OF WHEATON,http://www.wheaton.il.us/
us:place:0657526,CITY OF PLACENTIA,http://www.placentia.org
us:place:3949840,CITY OF MIDDLETOWN,http://www.cityofmiddletown.org
us:place:0947515,CITY OF MILFORD,http://www.ci.milford.ct.us/
us:place:1729938,VILLAGE OF GLENVIEW,http://www.glenview.il.us/
us:place:2854040,CITY OF OLIVE BRANCH,http://www.obms.us
us:place:1979950,CITY OF URBANDALE,http://www.urbandale.org/
us:place:4867496,CITY OF SHERMAN,http://www.ci.sherman.tx.us
us:place:2436075,CITY OF HAGERSTOWN,http://www.hagerstownmd.org/
us:place:2670520,CITY OF SAGINAW,http://www.saginaw-mi.com/
us:place:1749867,CITY OF MOLINE,http://www.moline.il.us/
us:place:1704845,CITY OF BELLEVILLE,http://www.belleville.net/
us:place:1911755,CITY OF CEDAR FALLS,http://www.cedarfalls.com/
us:place:1719161,CITY OF DE KALB,http://www.cityofdekalb.com/
us:place:1765442,VILLAGE OF ROMEOVILLE,http://www.romeoville.org/
us:place:3424420,BOROUGH OF FORT LEE,http://www.fortleenj.org/
us:place:4568290,CITY OF SPARTANBURG,http://www.cityofspartanburg.org/
us:place:5578600,CITY OF SUN PRAIRIE,http://www.cityofsunprairie.com/
us:place:5373465,University Place,https://www.cityofup.com/
us:place:1732746,VILLAGE OF HANOVER PARK,http://www.hanoverparkillinois.org/
us:place:1765078,CITY OF ROCK ISLAND,http://www.rigov.org/
us:place:1860246,TOWN OF PLAINFIELD,http://www.townofplainfield.com
us:place:3743920,CITY OF MONROE,http://www.monroenc.org/
us:place:1338964,CITY OF HINESVILLE,http://www.cityofhinesville.org
us:place:1646540,CITY OF LEWISTON,http://www.cityoflewiston.org/
us:place:4507210,TOWN OF BLUFFTON,http://www.townofbluffton.sc.gov
us:place:2638640,CITY OF HOLLAND,http://www.cityofholland.com/
us:place:0100820,CITY OF ALABASTER,http://www.cityofalabaster.com
us:place:2039075,CITY OF LEAWOOD,http://www.leawood.org/
us:place:0128696,CITY OF GADSDEN,http://cityofgadsden.com
us:place:1729730,VILLAGE OF GLENDALE HEIGHTS,http://www.glendaleheights.org/
us:place:1623410,CITY OF EAGLE,http://www.cityofeagle.org
us:place:0622300,CITY OF EL PASO DE ROBLES,http://www.prcity.com
us:place:3759280,CITY OF SANFORD,http://www.sanfordnc.net
us:place:2546598,CITY OF NORTH ATTLEBOROUGH TOWN,http://www.north-attleboro.ma.us
us:place:0119648,CITY OF DAPHNE,http://www.daphneal.com
us:place:2139142,CITY OF INDEPENDENCE,http://www.cityofindependence.org/
us:place:3929428,CITY OF GARFIELD HEIGHTS,http://www.garfieldhts.org/
us:place:3421480,CITY OF ENGLEWOOD,http://www.cityofenglewood.org/
us:place:0102956,CITY OF ATHENS,http://www.athensal.us
us:place:1718563,CITY OF DANVILLE,http://www.cityofdanville.org
us:place:4250528,MUNICIPALITY OF MONROEVILLE,http://www.monroeville.pa.us/
us:place:1752584,VILLAGE OF NEW LENOX,http://www.newlenox.net/
us:place:2018250,CITY OF DODGE CITY,http://www.dodgecity.org/
us:place:4037800,CITY OF JENKS,http://www.jenks.com/
us:place:2631420,CITY OF GARDEN CITY,http://www.gardencitymi.org
us:place:1722697,CITY OF EDWARDSVILLE,http://www.cityofedwardsville.com/
us:place:0667056,CITY OF SANGER,http://www.ci.sanger.ca.us
us:place:1754638,CITY OF OAK FOREST,http://WWW.OAK-FOREST.ORG
us:place:1654550,CITY OF MOSCOW,http://www.ci.moscow.id.us
us:place:1744225,CITY OF LOCKPORT,http://www.lockport.org/
us:place:1819486,CITY OF EAST CHICAGO,http://www.eastchicago.com/
us:place:0685922,TOWN OF WINDSOR,http://www.townofwindsor.com
us:place:3903352,CITY OF AVON,http://www.cityofavon.com/
us:place:3988084,CITY OF ZANESVILLE,http://www.coz.org
us:place:3980304,CITY OF WADSWORTH,http://www.wadsworthcity.com/
us:place:3224900,CITY OF FERNLEY,http://www.cityoffernley.org
us:place:1780645,VILLAGE OF WESTMONT,http://www.westmont.il.gov/
us:place:1909550,CITY OF BURLINGTON,http://www.burlingtoniowa.org/
us:place:1723724,VILLAGE OF ELMWOOD PARK,http://www.elmwoodpark.org/
us:place:5304475,Battle Ground,https://www.cityofbg.org/
us:place:1765338,CITY OF ROLLING MEADOWS,http://www.cityrm.org
us:place:3936651,CITY OF HUDSON,http://www.hudson.oh.us/
us:place:1765806,VILLAGE OF ROSELLE,http://www.roselle.il.us/
us:place:3471430,CITY OF SUMMIT,http://www.cityofsummit.org
us:place:1706587,VILLAGE OF BLOOMINGDALE,http://www.villageofbloomingdale.org/
us:place:3712960,VILLAGE OF CLEMMONS,http://www.clemmons.org/
us:place:2855360,CITY OF PASCAGOULA,http://www.cityofpascagoula.com/
us:place:1731121,VILLAGE OF GRAYSLAKE,http://www.villageofgrayslake.com/
us:place:4203928,BOROUGH OF BALDWIN,http://www.baldwinborough.org/
us:place:1722073,CITY OF EAST MOLINE,http://www.eastmoline.com/
us:place:4252432,MUNICIPALITY OF MURRYSVILLE,http://www.murrysvillegov.org
us:place:3972424,CITY OF SIDNEY,http://www.sidneyoh.com/
us:place:1869318,CITY OF SHELBYVILLE,http://www.cityofshelbyvillein.com
us:place:4551280,CITY OF NORTH MYRTLE BEACH,http://www.nmb.us
us:place:3430210,TOWN OF HARRISON,http://www.townofharrison.com
us:place:4857980,CITY OF PLAINVIEW,http://www.ci.plainview.tx.us
us:place:4866428,CITY OF SEAGOVILLE,http://www.seagoville.us
us:place:3978050,CITY OF TWINSBURG,http://www.mytwinsburg.com
us:place:1264975,CITY OF SEMINOLE,http://www.myseminole.com
us:place:1724634,VILLAGE OF EVERGREEN PARK,http://www.evergreenpark-ill.com/
us:place:4854708,CITY OF PALESTINE,http://www.cityofpalestinetx.com
us:place:1718992,VILLAGE OF DEERFIELD,http://www.deerfield.il.us
us:place:5377665,West Richland,https://www.westrichland.org/
us:place:1774223,CITY OF SYCAMORE,http://www.cityofsycamore.com
us:place:5376405,Washougal,https://www.cityofwashougal.us/
us:place:0602868,CITY OF ARROYO GRANDE,http://www.arroyogrande.org
us:place:4878544,CITY OF WHITE SETTLEMENT,http://www.wstx.us
us:place:4767120,CITY OF SEVIERVILLE,http://www.seviervilletn.org/
us:place:1722255,CITY OF EAST ST LOUIS,http://www.cesl.us
us:place:4827984,CITY OF GAINESVILLE,http://www.gainesville.tx.us
us:place:0111416,CITY OF CALERA,http://cityofcalera.org
us:place:1711592,VILLAGE OF CARY,http://www.caryillinois.com/
us:place:3732640,TOWN OF HOPE MILLS,http://TOWNOFHOPEMILLS.COM
us:place:2170050,CITY OF SHELBYVILLE,http://www.shelbyvillekentucky.com
us:place:4861196,CITY OF RED OAK,http://www.redoaktx.org
