gov_id,unit_name,web_address
us:county:48347,COUNTY OF NACOGDOCHES,http://www.co.nacogdoches.tx.us/
us:county:48053,COUNTY OF BURNET,http://www.burnetcountytexas.org
us:place:4848768,CITY OF MISSION,http://www.missiontexas.us
us:place:4867496,CITY OF SHERMAN,http://www.ci.sherman.tx.us
us:place:4852356,CITY OF NORTH RICHLAND HILLS,http://www.nrhtx.com
us:county:48329,COUNTY OF MIDLAND,http://www.co.midland.tx.us/
us:county:48365,COUNTY OF PANOLA,http://www.co.panola.tx.us/
us:place:4827984,CITY OF GAINESVILLE,http://www.gainesville.tx.us
us:place:4854708,CITY OF PALESTINE,http://www.cityofpalestinetx.com
us:county:48003,COUNTY OF ANDREWS,http://www.co.andrews.tx.us
us:place:4857980,CITY OF PLAINVIEW,http://www.ci.plainview.tx.us
us:place:4878544,CITY OF WHITE SETTLEMENT,http://www.wstx.us
us:place:4846500,CITY OF MANVEL,http://www.cityofmanvel.com
us:place:4866428,CITY OF SEAGOVILLE,http://www.seagoville.us
us:place:4833428,CITY OF HEWITT,http://www.cityofhewitt.com
us:place:4861196,CITY OF RED OAK,http://www.redoaktx.org
us:place:4826544,CITY OF FOREST HILL,http://www.foresthilltx.org
us:place:4833212,CITY OF HENDERSON,http://www.hendersontx.us
us:place:4805168,CITY OF AZLE,http://www.cityofazle.org
us:place:4839124,CITY OF KILGORE,http://www.cityofkilgore.com/
us:place:4837216,CITY OF JACKSONVILLE,http://www.jacksonville-texas.com
us:place:4862588,CITY OF ROBINSON,http://www.robinsontexas.org
us:place:4810720,CITY OF BROWNFIELD,http://www.ci.brownfield.tx.us/
us:place:4866704,CITY OF SELMA,http://www.ci.selma.tx.us
us:place:4865408,TOWN OF SANGER,http://www.sangertexas.org
us:place:4830416,CITY OF GRANBURY,http://www.granbury.org
us:place:4878388,CITY OF WHITEHOUSE,http://www.whitehousetx.org
us:place:4849068,CITY OF MONT BELVIEU,http://www.montbelvieu.net/
us:place:4838488,CITY OF KAUFMAN,http://www.kaufmantx.org
us:place:4842448,CITY OF LEVELLAND,http://www.levellandtexas.org
