gov_id,unit_name,web_address
us:place:0100820,"Alabaster city, AL",cityofalabaster.com
us:place:0115136,"Clanton city, AL",clantonal.gov
us:place:0118976,"Cullman city, AL",cullmanal.gov
us:place:0132272,"Gulf Shores city, AL",gulfshoresal.gov
us:place:0136448,"Hueytown city, AL",hueytownal.gov
us:place:0141968,"Leeds city, AL",leedsalabama.gov
us:place:0155200,"Northport city, AL",northportal.gov
us:place:0157048,"Opelika city, AL",opelika-al.gov
us:place:0157144,"Orange Beach city, AL",orangebeachal.gov
us:place:0181720,"Wetumpka city, AL",wetumpkaal.gov
us:place:0405770,"Benson city, AZ",bensonaz.gov
us:place:0411300,"Cave Creek town, AZ",cavecreekaz.gov
us:place:0416410,"Cottonwood city, AZ",cottonwoodaz.gov
us:place:0420050,"Douglas city, AZ",douglasaz.gov
us:place:0422360,"Eloy city, AZ",eloyaz.gov
us:place:0425300,"Fountain Hills town, AZ",fountainhillsaz.gov
us:place:0482740,"Wickenburg town, AZ",wickenburgaz.gov
us:place:0501870,"Arkadelphia city, AR",arkadelphia.gov
us:place:0510300,"Cabot city, AR",cabotar.gov
us:place:0543610,"Malvern city, AR",malvernar.gov
us:place:0560410,"Rogers city, AR",rogersar.gov
us:place:0561670,"Russellville city, AR",russellvillear.gov
us:place:0564370,"Siloam Springs city, AR",siloamsprings.gov
us:place:0571480,"Van Buren city, AR",cityofvanburenar.gov
us:place:0574540,"West Memphis city, AR",westmemphisar.gov
us:place:0600884,"Alhambra city, CA",alhambraca.gov
us:place:0609864,"Calimesa city, CA",calimesa.gov
us:place:0614890,"Colton city, CA",coltonca.gov
us:place:0617498,"Cudahy city, CA",cityofcudahyca.gov
us:place:0622804,"Escondido city, CA",escondido.gov
us:place:0630994,"Greenfield city, CA",greenfieldca.gov
us:place:0638226,"Kerman city, CA",cityofkerman.gov
us:place:0638562,"Kingsburg city, CA",cityofkingsburg-ca.gov
us:place:0644574,"Lynwood city, CA",lynwoodca.gov
us:place:0669154,"Santa Fe Springs city, CA",santafesprings.gov
us:place:0670588,"Scotts Valley city, CA",scottsvalley.gov
us:place:0671106,"Shafter city, CA",shafterca.gov
us:place:0671225,"Shasta Lake city, CA",cityofshastalake.gov
us:place:0673108,"South Lake Tahoe city, CA",cityofslt.gov
us:place:0678148,"Temple City city, CA",templecityca.gov
us:place:0803455,"Arvada city, CO",arvadaco.gov
us:place:0817375,"Cortez city, CO",cortezco.gov
us:place:0819080,"Dacono city, CO",daconoco.gov
us:place:0883230,"Wellington town, CO",wellingtoncolorado.gov
us:place:0883835,"Westminster city, CO",westminsterco.gov
us:place:0885485,"Windsor town, CO",windsorco.gov
us:place:1050670,"Newark city, DE",newarkde.gov
us:place:1212925,"Clermont city, FL",clermontfl.gov
us:place:1213000,"Clewiston city, FL",clewiston-fl.gov
us:place:1216725,"Deerfield Beach city, FL",deerfieldbeachfl.gov
us:place:1222975,"Florida City city, FL",floridacityfl.gov
us:place:1227322,"Greenacres city, FL",greenacresfl.gov
us:place:1232275,"Homestead city, FL",homesteadfl.gov
us:place:1233450,"Indian Harbour Beach city, FL",indianharbourbeach.gov
us:place:1248200,"Newberry city, FL",newberryfl.gov
us:place:1248750,"Niceville city, FL",nicevillefl.gov
us:place:1249450,"North Miami city, FL",northmiamifl.gov
us:place:1251350,"Oldsmar city, FL",oldsmarfl.gov
us:place:1253875,"Palatka city, FL",palatka-fl.gov
us:place:1256975,"Pinellas Park city, FL",pinellaspark.gov
us:place:1262625,"St. Cloud city, FL",stcloudfl.gov
us:place:1268525,"Starke city, FL",cityofstarke.org
us:place:1271400,"Temple Terrace city, FL",templeterrace.gov
us:place:1313688,"Cartersville city, GA",cartersvillega.gov
us:place:1317776,"College Park city, GA",collegeparkga.gov
us:place:1321324,"Dallas city, GA",dallasga.gov
us:place:1321380,"Dalton city, GA",daltonga.gov
us:place:1323872,"Douglas city, GA",cityofdouglasga.gov
us:place:1328968,"Fayetteville city, GA",fayetteville-ga.gov
us:place:1338964,"Hinesville city, GA",cityofhinesville.org
us:place:1341988,"Jefferson city, GA",jeffersonga.gov
us:place:1342268,"Jesup city, GA",jesupga.gov
us:place:1365464,"Riverdale city, GA",riverdalega.gov
us:place:1376476,"Tifton city, GA",tiftonga.gov
us:place:1664810,"Post Falls city, ID",postfalls.gov
us:place:1676870,"Star city, ID",staridaho.org
us:place:1715833,"Columbia city, IL",columbiail.gov
us:place:1729639,"Glen Carbon village, IL",glencarbonil.gov
us:place:1735086,"Hillside village, IL",hillside-il.gov
us:place:1740767,"La Grange village, IL",lagrangeil.gov
us:place:1748892,"Midlothian village, IL",villageofmidlothian.net
us:place:1753234,"Normal town, IL",normalil.gov
us:place:1763706,"Richton Park village, IL",richtonpark.org
us:place:1764343,"River Grove village, IL",rivergroveil.gov
us:place:1777993,"Villa Park village, IL",villaparkil.gov
us:place:1779293,"Waukegan city, IL",waukeganil.gov
us:place:1781087,"Wheeling village, IL",wheelingil.gov
us:place:1782075,"Wilmette village, IL",wilmette.gov
us:place:1829520,"Greenfield city, IN",greenfieldin.gov
us:place:1882700,"Westfield city, IN",westfieldin.gov
us:place:1902305,"Ankeny city, IA",ankenyiowa.gov
us:place:1911755,"Cedar Falls city, IA",cedarfalls.com
us:place:1933060,"Grimes city, IA",grimesiowa.gov
us:place:1942015,"Knoxville city, IA",knoxvilleia.gov
us:place:1955110,"Muscatine city, IA",muscatineiowa.gov
us:place:2002300,"Arkansas City city, KS",arkansascityks.gov
us:place:2014650,"Colby city, KS",cityofcolbyks.gov
us:place:2021675,"Eudora city, KS",cityofeudoraks.gov
us:place:2042875,"Louisburg city, KS",louisburgkansas.gov
us:place:2049100,"Mulvane city, KS",mulvaneks.gov
us:place:2054450,"Park City city, KS",parkcityks.gov
us:place:2067625,"Spring Hill city, KS",springhillks.gov
us:place:2130700,"Georgetown city, KY",georgetownky.gov
us:place:2139142,"Independence city, KY",cityofindependence.org
us:place:2243010,"Leesville city, LA",leesvillela.gov
us:place:2371990,"South Portland city, ME",southportland.gov
us:place:2380740,"Waterville city, ME",waterville-me.gov
us:place:2453875,"Mount Airy town, MD",mountairymd.gov
us:place:2455400,"New Carrollton city, MD",newcarrolltonmd.gov
us:place:2462850,"Poolesville town, MD",poolesvillemd.gov
us:place:2501185,"Amesbury city, MA",amesburyma.gov
us:place:2513660,"Chicopee city, MA",chicopeema.gov
us:place:2540675,"Methuen city, MA",methuen.gov
us:place:2546330,"Northampton city, MA",northamptonma.gov
us:place:2553960,"Pittsfield city, MA",pittsfieldma.gov
us:place:2569170,"Taunton city, MA",taunton-ma.gov
us:place:2606020,"Bay City city, MI",baycitymi.gov
us:place:2617020,"Coldwater city, MI",coldwatermi.gov
us:place:2621020,"Dearborn Heights city, MI",dearbornheightsmi.gov
us:place:2623980,"East Grand Rapids city, MI",eastgrmi.gov
us:place:2640960,"Iron Mountain city, MI",ironmountainmi.gov
us:place:2643300,"Kingsford city, MI",kingsfordmi.gov
us:place:2650560,"Madison Heights city, MI",madisonheightsmi.gov
us:place:2650720,"Manistee city, MI",manisteemi.gov
us:place:2658980,"Northville city, MI",cityofnorthvillemi.gov
us:place:2701486,"Andover city, MN",andovermn.gov
us:place:2701720,"Anoka city, MN",anokamn.gov
us:place:2710846,"Champlin city, MN",champlinmn.gov
us:place:2710972,"Chaska city, MN",chaskamn.gov
us:place:2713456,"Cottage Grove city, MN",cottagegrovemn.gov
us:place:2715454,"Delano city, MN",delanomn.gov
us:place:2718674,"Elk River city, MN",elkrivermn.gov
