gov_id,unit_name,domain,meeting_url,platform,tier,outcome,jurisdiction,segments,agenda_items,video_url,detail
us:place:0100820,"Alabaster city, AL",cityofalabaster.com,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0115136,"Clanton city, AL",clantonal.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0118976,"Cullman city, AL",cullmanal.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0132272,"Gulf Shores city, AL",gulfshoresal.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0136448,"Hueytown city, AL",hueytownal.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0141968,"Leeds city, AL",leedsalabama.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0155200,"Northport city, AL",northportal.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0157048,"Opelika city, AL",opelika-al.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0157144,"Orange Beach city, AL",orangebeachal.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0181720,"Wetumpka city, AL",wetumpkaal.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0405770,"Benson city, AZ",bensonaz.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0411300,"Cave Creek town, AZ",cavecreekaz.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0416410,"Cottonwood city, AZ",cottonwoodaz.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0420050,"Douglas city, AZ",douglasaz.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0422360,"Eloy city, AZ",eloyaz.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0425300,"Fountain Hills town, AZ",fountainhillsaz.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0482740,"Wickenburg town, AZ",wickenburgaz.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0501870,"Arkadelphia city, AR",arkadelphia.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0510300,"Cabot city, AR",cabotar.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0543610,"Malvern city, AR",malvernar.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0560410,"Rogers city, AR",rogersar.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0561670,"Russellville city, AR",russellvillear.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0564370,"Siloam Springs city, AR",siloamsprings.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0571480,"Van Buren city, AR",cityofvanburenar.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0574540,"West Memphis city, AR",westmemphisar.gov,,,,no-video-found,,,,,"checked 1 candidate row(s), none had video"
us:place:0600884,"Alhambra city, CA",alhambraca.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0609864,"Calimesa city, CA",calimesa.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0614890,"Colton city, CA",coltonca.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0617498,"Cudahy city, CA",cityofcudahyca.gov,https://townhallstreams.com/stream.php?location_id=115&id=76435,townhallstreams,none,no-video-found,"Cudahy city, CA",0,0,,picked 1 of 18 real video rows
us:place:0622804,"Escondido city, CA",escondido.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0630994,"Greenfield city, CA",greenfieldca.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0638226,"Kerman city, CA",cityofkerman.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0638562,"Kingsburg city, CA",cityofkingsburg-ca.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0644574,"Lynwood city, CA",lynwoodca.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0669154,"Santa Fe Springs city, CA",santafesprings.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0670588,"Scotts Valley city, CA",scottsvalley.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0671106,"Shafter city, CA",shafterca.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0671225,"Shasta Lake city, CA",cityofshastalake.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0673108,"South Lake Tahoe city, CA",cityofslt.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0678148,"Temple City city, CA",templecityca.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0803455,"Arvada city, CO",arvadaco.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0817375,"Cortez city, CO",cortezco.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0819080,"Dacono city, CO",daconoco.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:0883230,"Wellington town, CO",wellingtoncolorado.gov,,,,no-video-found,,,,,"checked 1 candidate row(s), none had video"
us:place:0883835,"Westminster city, CO",westminsterco.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:0885485,"Windsor town, CO",windsorco.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1050670,"Newark city, DE",newarkde.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1212925,"Clermont city, FL",clermontfl.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1213000,"Clewiston city, FL",clewiston-fl.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1216725,"Deerfield Beach city, FL",deerfieldbeachfl.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1222975,"Florida City city, FL",floridacityfl.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:1227322,"Greenacres city, FL",greenacresfl.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1232275,"Homestead city, FL",homesteadfl.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1233450,"Indian Harbour Beach city, FL",indianharbourbeach.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:1248200,"Newberry city, FL",newberryfl.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1248750,"Niceville city, FL",nicevillefl.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:1249450,"North Miami city, FL",northmiamifl.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:1251350,"Oldsmar city, FL",oldsmarfl.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1253875,"Palatka city, FL",palatka-fl.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:1256975,"Pinellas Park city, FL",pinellaspark.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1262625,"St. Cloud city, FL",stcloudfl.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1268525,"Starke city, FL",cityofstarke.org,,,,no-video-found,,,,,"checked 2 candidate row(s), none had video"
us:place:1271400,"Temple Terrace city, FL",templeterrace.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1313688,"Cartersville city, GA",cartersvillega.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1317776,"College Park city, GA",collegeparkga.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:1321324,"Dallas city, GA",dallasga.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1321380,"Dalton city, GA",daltonga.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1323872,"Douglas city, GA",cityofdouglasga.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1328968,"Fayetteville city, GA",fayetteville-ga.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1341988,"Jefferson city, GA",jeffersonga.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
us:place:1342268,"Jesup city, GA",jesupga.gov,,,,no-video-found,,,,,"checked 5 candidate row(s), none had video"
us:place:1365464,"Riverdale city, GA",riverdalega.gov,,,,no-video-found,,,,,"checked 0 candidate row(s), none had video"
