tenant,portal_domain,meeting_id,url,status,jurisdiction,segments,agenda_items,video_url,detail
bakersfield,pub-bakersfield.escribemeetings.com,04f0586f-cb58-48ff-b65b-eb09f68975ce,https://pub-bakersfield.escribemeetings.com/Meeting.aspx?Id=04f0586f-cb58-48ff-b65b-eb09f68975ce,ingested-tier1,"City of Bakersfield, CA",2643,11,https://cdn1.isilive.ca/vod/_definst_/mp4:bakersfield/iSiLIVE%20Encoder%20760_CCM515_2026-08-26-08-05.mp4/playlist.m3u8,/m/city-of-bakersfield-ca-2026-08-26-city-council-meeting-515
bouldercounty,pub-bouldercounty.escribemeetings.com,15eeb94a-e3ca-4530-997c-92393fe24ef6,https://pub-bouldercounty.escribemeetings.com/Meeting.aspx?Id=15eeb94a-e3ca-4530-997c-92393fe24ef6,ingested-tier3-agenda,"Boulder County, CO",0,7,https://cdn1.isilive.ca/vod/_definst_/mp4:bouldercounty/POSAC_0827_External_Zoom_Recording.mp4/playlist.m3u8,/m/boulder-county-co-2026-08-27-parks-and-open-space-advisory-committee
brampton,pub-brampton.escribemeetings.com,0b946c30-568c-4a4f-b6b7-d8815d6cbb1a,https://pub-brampton.escribemeetings.com/Meeting.aspx?Id=0b946c30-568c-4a4f-b6b7-d8815d6cbb1a,ingested-tier1,"City of Brampton, ON",1005,3,https://cdn1.isilive.ca/vod/_definst_/mp4:brampton/iSi%20Live%20Encoder_AAC_2026-09-01-05-55.mp4/playlist.m3u8,/m/brampton-on-2026-09-01-accessibility-advisory-committee
brandonsd,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
burlington,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
burnaby,pub-burnaby.escribemeetings.com,1197777b-32ff-4523-93db-919c47c41310,https://pub-burnaby.escribemeetings.com/Meeting.aspx?Id=1197777b-32ff-4523-93db-919c47c41310,ingested-tier3-agenda,"Burnaby, BC",0,16,https://cdn1.isilive.ca/vod/_definst_/mp4:burnaby/New%20Encoder_PSC_2026-09-03-07-58.mp4/playlist.m3u8,/m/burnaby-bc-2026-09-03-public-safety-committee
caledon,pub-caledon.escribemeetings.com,206a1798-18aa-40ac-aa04-329b439dc1c8,https://pub-caledon.escribemeetings.com/Meeting.aspx?Id=206a1798-18aa-40ac-aa04-329b439dc1c8,ingested-tier1,"Caledon, ON",1283,17,https://cdn1.isilive.ca/vod/_definst_/mp4:caledon/Compact%20Encoder%201105_CofA_2026-08-12-12-58.mp4/playlist.m3u8,/m/caledon-on-2026-08-12-committee-of-adjustment-3ac468
calgary,pub-calgary.escribemeetings.com,34a12425-167d-4605-82e9-fa461da65ee2,https://pub-calgary.escribemeetings.com/Meeting.aspx?Id=34a12425-167d-4605-82e9-fa461da65ee2,ingested-tier3-agenda,"Calgary, AB",0,6,https://cdn1.isilive.ca/vod/_definst_/mp4:calgary/Legislative_CAO%20Recruitment%20and%20Appointment%20Sub-Committee_2026-09-04-02-58.mp4/playlist.m3u8,/m/calgary-ab-2026-09-04-chief-administrative-officer-recruitment-and-appointment-s
campbell,pub-campbell.escribemeetings.com,c9de83a9-abea-48f3-b41a-d214631a7558,https://pub-campbell.escribemeetings.com/Meeting.aspx?Id=c9de83a9-abea-48f3-b41a-d214631a7558,ingested-tier3-agenda,"City of Campbell, CA",0,21,https://cdn1.isilive.ca/vod/_definst_/mp4:campbellca/64-City-Council-Regular-Session-Meeting-2026-7-8-2-5.mp4/playlist.m3u8,/m/campbell-ca-2026-07-07-city-council-regular-session-meeting
campbellca,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
ccce,,,,no-portal-found,,,,,neither pub-{id} nor {id}.escribemeetings.com responded
