tenant,view_id,url,status,jurisdiction,segments,agenda_items,video_url,detail
aasd,1,https://aasd.granicus.com/MediaPlayer.php?view_id=1&clip_id=238,ingested-tier3-agenda,Appleton Area School District,0,0,,/m/appleton-area-school-district-wi-2026-08-26-notice-gathering-of-the-school-board
abilenetx,,,no-rss-found,,,,,"no RSS item across view_id [1, 2, 3, 4, 5]"
accessduarte,1,https://accessduarte.granicus.com/MediaPlayer.php?view_id=1&clip_id=1156,ingested-tier3-agenda,"City of Duarte, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/accessduarte/accessduarte_e36c2166-7b86-11ef-9b71-005056a89546.mp4/playlist.m3u8,/m/duarte-ca-2024-09-24-city-council
acpsd,,,no-rss-found,,,,,"no RSS item across view_id [1, 2, 3, 4, 5]"
actransit,2,https://actransit.granicus.com/MediaPlayer.php?view_id=2&clip_id=1225,ingested-tier3-agenda,Alameda Contra Costa Transit District,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/actransit/actransit_22332c82-f98e-4aea-8e1f-3df44ffefba0.mp4/playlist.m3u8,/m/alameda-contra-costa-transit-district-2026-09-08-general-manager-s-access-commit
addisontx,,,no-rss-found,,,,,"no RSS item across view_id [1, 2, 3, 4, 5]"
agourahills,2,https://agourahills.granicus.com/MediaPlayer.php?view_id=2&clip_id=2084,queued-tier3,"City of Agoura Hills, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/agourahills/agourahills_ed713fd0-adc5-491e-a897-6c7e01958980.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
alachua,2,https://alachua.granicus.com/MediaPlayer.php?view_id=2&clip_id=5734,ingested-tier1,"County of Alachua, FL",2719,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/alachua/alachua_dd0f92f7-5191-463c-b4a5-a44e400a7718.mp4/playlist.m3u8,/m/alachua-county-fl-2026-09-03-alachua-county-special-magistrate-hearing
albanyca,2,https://albanyca.granicus.com/MediaPlayer.php?view_id=2&clip_id=2731,ingested-tier3-agenda,"City of Albany, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/albanyca/albanyca_91e2f6c7-af35-474b-9173-ed0464ca99e1.mp4/playlist.m3u8,/m/albany-ca-2021-08-04-city-council-virtual-special-council-meeting
albemarle,1,https://albemarle.granicus.com/MediaPlayer.php?view_id=1&clip_id=1534,ingested-tier1,"Albemarle County, VA",8048,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/albemarle/albemarle_814ef7bf-301a-4b1f-a13c-f2b29826d25e.mp4/playlist.m3u8,/m/albemarle-county-va-2026-09-02-board-of-supervisors-on-2026-09-02-1-00-pm-regula
alexandria,,,no-rss-found,,,,,"no RSS item across view_id [1, 2, 3, 4, 5]"
allegheny,2,https://allegheny.granicus.com/MediaPlayer.php?view_id=2&clip_id=1051,ingested-tier3-agenda,"Allegheny County, PA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/allegheny/allegheny_6ca87def-f3d7-4787-97fc-66b1e4565878.mp4/playlist.m3u8,/m/allegheny-county-pa-2026-08-25-county-council-on-2026-08-25-5-00-pm
allenisd,,,no-rss-found,,,,,"no RSS item across view_id [1, 2, 3, 4, 5]"
allentownpa,1,https://allentownpa.granicus.com/MediaPlayer.php?view_id=1&clip_id=2141,ingested-tier3-agenda,"Allentown, PA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/allentownpa/allentownpa_c904e3b8-4ea7-4740-8b7c-d8f57af56eea.mp4/playlist.m3u8,/m/allentown-pa-2026-08-26-city-council-on-2026-08-26-6-00-pm-housing-fund-and-hous
allentx,,,no-rss-found,,,,,"no RSS item across view_id [1, 2, 3, 4, 5]"
altoona,1,https://altoona.granicus.com/MediaPlayer.php?view_id=1&clip_id=836,empty,"Altoona, WI",0,0,,no segments/agenda/video
amarillotx,,,no-rss-found,,,,,"no RSS item across view_id [1, 2, 3, 4, 5]"
amblerpa,,,no-rss-found,,,,,"no RSS item across view_id [1, 2, 3, 4, 5]"
ames,1,https://ames.granicus.com/MediaPlayer.php?view_id=1&clip_id=2047,ingested-tier1,City of Ames,213,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/ames/ames_6f9536da-b2b0-4292-842c-7239ac4f2a53.mp4/playlist.m3u8,/m/city-of-ames-2026-04-02-special-meeting-of-the-ames-city-council
amherstoh,,,no-rss-found,,,,,"no RSS item across view_id [1, 2, 3, 4, 5]"
anaheim,2,https://anaheim.granicus.com/MediaPlayer.php?view_id=2&clip_id=3665,ingested-tier3-agenda,"City of Anaheim, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/anaheim/anaheim_01ff05a6-d121-49f2-af5a-1c74d24e4564.mp4/playlist.m3u8,/m/anaheim-ca-2026-08-25-city-council
annapolismd,1,https://annapolismd.granicus.com/MediaPlayer.php?view_id=1&clip_id=1597,ingested-tier3-agenda,"Annapolis, MD",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/annapolismd/annapolismd_aaec73ff-b554-45a9-ad60-ea5826802951.mp4/playlist.m3u8,/m/annapolis-md-2026-09-03-rules-and-city-government-committee-regular-meeting
anoka-k12,2,https://anoka-k12.granicus.com/MediaPlayer.php?view_id=2&clip_id=817,ingested-tier3-agenda,"Anoka-Hennepin School District, MN",0,16,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/anoka-k12/anoka-k12_cb7303e9-e53b-4f25-84d6-d527f988e43b.mp4/playlist.m3u8,/m/anoka-hennepin-school-district-mn-2023-09-25-school-board-meeting
