tenant,meeting_id,url,status,jurisdiction,segments,agenda_items,video_url,detail
ArcataCA,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
AtlantaCityGA,4378,https://atlantacityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4378,ingested-tier3-agenda,"City of Atlanta, Georgia",0,21,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/atlantacityga/76808_480.mp4/playlist.m3u8,/m/atlanta-ga-2026-08-26-transportation-committee-regular-committee-meeting
BayStLouisMS,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
BoiseCityID,5669,https://boisecityid.iqm2.com/Citizens/Detail_Meeting.aspx?ID=5669,queued-tier3,"City of Boise, Idaho",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/boisecityid/3716_720.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
BrookhavenCityGA,2933,https://brookhavencityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2933,empty,,,,,no segments/agenda/video in any candidate
BuffaloNY,3434,https://buffalony.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3434,queued-tier3,"The City of Buffalo, NY",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/buffalony/2607_480.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
CambridgeMA,4848,https://cambridgema.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4848,empty,,,,,no segments/agenda/video in any candidate
CarrollCountyMD,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
CathedralCityCA,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
ChippewaCountyWI,6965,https://chippewacountywi.iqm2.com/Citizens/Detail_Meeting.aspx?ID=6965,empty,,,,,no segments/agenda/video in any candidate
CitrusCountyFL,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
ClaytonCountyGA,1616,https://claytoncountyga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1616,empty,,,,,no segments/agenda/video in any candidate
DeschutesCountyOR,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
DuPage,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
EastHamptonTown,3026,https://easthamptontown.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3026,empty,,,,,no segments/agenda/video in any candidate
EdmondsWA,,,no-meeting-found,,,,,no Detail_Meeting.aspx link on /Citizens/
FishkillTownNY,1932,https://fishkilltownny.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1932,queued-tier3,"Town of Fishkill, New York",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/fishkilltownny/1671_480.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
FortWaltonBeachCityFL,2271,https://fortwaltonbeachcityfl.iqm2.com/Citizens/Detail_Meeting.aspx?ID=2271,ingested-tier3-agenda,"City of Fort Walton Beach, Florida",0,2,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/fortwaltonbeachcityfl/2297_720.mp4/playlist.m3u8,/m/fort-walton-beach-fl-2026-08-26-city-council-special-meeting
