platform,slug,is_real,detail,source_table,name,state
granicus,happyvalleycityor,True,HTTP 404,us_places,Happy Valley city,OR
legistar,wauwatosacitywi,True,HTTP 200 len=372066,us_places,Wauwatosa city,WI
granicus,wauwatosacitywi,True,HTTP 200,us_places,Wauwatosa city,WI
granicus,orangetown,True,HTTP 200,us_places,Orange town,VA
granicus,kittanningborough-pa,True,HTTP 503,us_places,Kittanning borough,PA
granicus,mosineecitywi,True,HTTP 404,us_places,Mosinee city,WI
granicus,mequoncitywi,True,HTTP 404,us_places,Mequon city,WI
legistar,cityofgryglacity,True,HTTP 503 len=48,us_places,Grygla city,MN
legistar,cityofgodleycity,True,HTTP 503 len=48,us_places,Godley city,TX
granicus,grandterracecityca,True,HTTP 404,us_places,Grand Terrace city,CA
granicus,greatneckvillage,True,HTTP 200,us_places,Great Neck village,NY
granicus,carsoncity,True,HTTP 200,us_places,Carson city,ND
granicus,rivertoncity,True,HTTP 200,us_places,Riverton city,MN
granicus,fergusoncity,True,HTTP 200,us_places,Ferguson city,MO
granicus,haymarkettownva,True,HTTP 404,us_places,Haymarket town,VA
granicus,altuscityok,True,HTTP 404,us_places,Altus city,OK
legistar,springfieldcitymi,True,HTTP 503 len=48,us_places,Springfield city,MI
granicus,masoncity,True,HTTP 404,us_places,Mason city,TX
legistar,cityoflilydalecity,True,HTTP 503 len=48,us_places,Lilydale city,MN
granicus,lagunawoodscity,True,HTTP 200,us_places,Laguna Woods city,CA
granicus,ogdencity,True,HTTP 404,us_places,Ogden city,UT
granicus,rockfordcityil,True,HTTP 404,us_places,Rockford city,IL
granicus,comptoncity,True,HTTP 404,us_places,Compton city,CA
granicus,palatinevillageil,True,HTTP 404,us_places,Palatine village,IL
granicus,bartlettcitytn,True,HTTP 404,us_places,Bartlett city,TN
granicus,woodridgevillageil,True,HTTP 404,us_places,Woodridge village,IL
granicus,eastpointcity,True,HTTP 200,us_places,East Point city,GA
granicus,plainfieldcitynj,True,HTTP 404,us_places,Plainfield city,NJ
granicus,californiacity,True,HTTP 200,us_places,California city,KY
granicus,parkcityks,True,HTTP 200,us_places,Park city,KS
granicus,parkcity,True,HTTP 200,us_places,Park city,KS
granicus,mundeleinvillageil,True,HTTP 404,us_places,Mundelein village,IL
granicus,baycity,True,HTTP 200,us_places,Bay city,AR
legistar,smyrnacity,True,HTTP 200 len=164517,us_places,Smyrna city,GA
granicus,smyrnacity,True,HTTP 404,us_places,Smyrna city,GA
granicus,santaclaritacityca,True,HTTP 404,us_places,Santa Clarita city,CA
granicus,buffalogrovevillageil,True,HTTP 404,us_places,Buffalo Grove village,IL
legistar,napacity,True,HTTP 200 len=245049,us_places,Napa city,CA
granicus,deperecitywi,True,HTTP 404,us_places,De Pere city,WI
granicus,napacity,True,HTTP 404,us_places,Napa city,CA
granicus,texarkanacitytx,True,HTTP 404,us_places,Texarkana city,TX
granicus,lagunabeachcity,True,HTTP 404,us_places,Laguna Beach city,CA
granicus,chathamborough,True,HTTP 200,us_places,Chatham borough,NJ
granicus,keywestcity,True,HTTP 200,us_places,Key West city,FL
legistar,mountvernoncityoh,True,HTTP 200 len=173276,us_places,Mount Vernon city,OH
granicus,mountvernoncityoh,True,HTTP 200,us_places,Mount Vernon city,OH
granicus,manassascity,True,HTTP 200,us_places,Manassas city,GA
granicus,northogdencity,True,HTTP 200,us_places,North Ogden city,UT
granicus,eastjordancity,True,HTTP 200,us_places,East Jordan city,MI
granicus,omrocitywi,True,HTTP 404,us_places,Omro city,WI
legistar,princetonnj,True,HTTP 200 len=215089,us_places,Princeton,NJ
granicus,bunnellcity,True,HTTP 200,us_places,Bunnell city,FL
legistar,cityofwalledlakecity,True,HTTP 503 len=48,us_places,Walled Lake city,MI
granicus,jeffersoncityga,True,HTTP 404,us_places,Jefferson city,GA
granicus,princetonnj,True,HTTP 200,us_places,Princeton,NJ
granicus,princeton,True,HTTP 200,us_places,Princeton,NJ
granicus,valdostacity,True,HTTP 200,us_places,Valdosta city,GA
granicus,westwendovercity,True,HTTP 200,us_places,West Wendover city,NV
