slug,platform,netloc,detail
happyvalleycityor,granicus,happyvalleycityor.granicus.com,no valid view_id 1-3 on Granicus RSS
orangetown,granicus,orangetown.granicus.com,no valid view_id 1-3 on Granicus RSS
kittanningborough-pa,granicus,kittanningborough-pa.granicus.com,no valid view_id 1-3 on Granicus RSS
mosineecitywi,granicus,mosineecitywi.granicus.com,no valid view_id 1-3 on Granicus RSS
mequoncitywi,granicus,mequoncitywi.granicus.com,no valid view_id 1-3 on Granicus RSS
cityofgryglacity,legistar,cityofgryglacity.legistar.com,no public-video event via Web API; no companion Granicus domain
cityofgodleycity,legistar,cityofgodleycity.legistar.com,no public-video event via Web API; no companion Granicus domain
grandterracecityca,granicus,grandterracecityca.granicus.com,no valid view_id 1-3 on Granicus RSS
haymarkettownva,granicus,haymarkettownva.granicus.com,no valid view_id 1-3 on Granicus RSS
altuscityok,granicus,altuscityok.granicus.com,no valid view_id 1-3 on Granicus RSS
springfieldcitymi,legistar,springfieldcitymi.legistar.com,no public-video event via Web API; no companion Granicus domain
cityoflilydalecity,legistar,cityoflilydalecity.legistar.com,no public-video event via Web API; no companion Granicus domain
lagunawoodscity,granicus,lagunawoodscity.granicus.com,no valid view_id 1-3 on Granicus RSS
ogdencity,granicus,ogdencity.granicus.com,no valid view_id 1-3 on Granicus RSS
rockfordcityil,granicus,rockfordcityil.granicus.com,no valid view_id 1-3 on Granicus RSS
palatinevillageil,granicus,palatinevillageil.granicus.com,no valid view_id 1-3 on Granicus RSS
bartlettcitytn,granicus,bartlettcitytn.granicus.com,no valid view_id 1-3 on Granicus RSS
woodridgevillageil,granicus,woodridgevillageil.granicus.com,no valid view_id 1-3 on Granicus RSS
plainfieldcitynj,granicus,plainfieldcitynj.granicus.com,no valid view_id 1-3 on Granicus RSS
parkcityks,granicus,parkcityks.granicus.com,no valid view_id 1-3 on Granicus RSS
mundeleinvillageil,granicus,mundeleinvillageil.granicus.com,no valid view_id 1-3 on Granicus RSS
santaclaritacityca,granicus,santaclaritacityca.granicus.com,no valid view_id 1-3 on Granicus RSS
