slug,platform,meeting_url,tier,outcome,jurisdiction,segments,agenda_items,video_url,detail
happyvalleycityor,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
wauwatosacitywi,legistar,https://wauwatosacitywi.legistar.com/MeetingDetail.aspx?LEGID=5696&GID=956&G=477119C4-09F2-4C97-A95E-80E5CE542A2B,tier3-agenda,ingested,"Wauwatosa, WI",0,0,,/m/wauwatosa-wi-2026-09-02-sustainability-committee (recovered via retry: next candidate)
wauwatosacitywi,granicus,https://wauwatosacitywi.granicus.com/MediaPlayer.php?view_id=1&clip_id=3561,tier3-agenda,ingested,"Wauwatosa, WI",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/wauwatosacitywi/wauwatosacitywi_490156ff-a55a-11f1-a028-005056a89546.mp4/playlist.m3u8,/m/wauwatosa-wi-2026-08-31-aldermanic-nomination-committee-8-26-26
orangetown,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
kittanningborough-pa,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
mosineecitywi,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
mequoncitywi,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
cityofgryglacity,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
cityofgodleycity,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
grandterracecityca,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
greatneckvillage,granicus,https://greatneckvillage.granicus.com/MediaPlayer.php?view_id=1&clip_id=8,tier3-agenda,ingested,Great Neck NY,0,0,,/m/great-neck-ny-2026-01-12-board-of-trustees
carsoncity,granicus,https://carsoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=2931,tier3-agenda,ingested,"Carson City, NV",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/carsoncity/carsoncity_fad8bb12-60f3-4814-9c90-b715143750fb.mp4/playlist.m3u8,/m/carson-city-nv-2026-09-03-board-of-supervisors-and-board-of-health
rivertoncity,granicus,https://rivertoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=869,tier3-agenda,ingested,"Riverton, UT",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/rivertoncity/rivertoncity_8ad45f6b-9361-4677-8721-1854ee1760a4.mp4/playlist.m3u8,/m/riverton-ut-2026-09-01-city-council
fergusoncity,granicus,https://fergusoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=5,,resolve-failed,,,,,resolve raised: HTTP 404 for https://fergusoncity.granicus.com/MediaPlayer.php?view_id=1&clip_id=5
haymarkettownva,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
altuscityok,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
springfieldcitymi,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
masoncity,granicus,https://masoncity.granicus.com/MediaPlayer.php?view_id=2&clip_id=711,tier3-agenda,ingested,"Mason City, IA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/masoncity/masoncity_9e7be0eb-a6e4-11f1-a028-005056a89546.mp4/playlist.m3u8,/m/mason-city-ia-2026-09-01-september-1-2026-council-packet
cityoflilydalecity,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
lagunawoodscity,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
ogdencity,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
rockfordcityil,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
comptoncity,granicus,https://comptoncity.granicus.com/MediaPlayer.php?view_id=2&clip_id=2264,tier3-video-only,queued,"City of Compton, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/comptoncity/comptoncity_c89a6654-8323-42a9-bb16-567b32139940.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
palatinevillageil,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
bartlettcitytn,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
woodridgevillageil,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
eastpointcity,granicus,https://eastpointcity.granicus.com/MediaPlayer.php?view_id=1&clip_id=9,,resolve-failed,,,,,resolve raised: HTTP 404 for https://eastpointcity.granicus.com/MediaPlayer.php?view_id=1&clip_id=9
plainfieldcitynj,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
californiacity,granicus,https://californiacity.granicus.com/MediaPlayer.php?view_id=1&clip_id=602,tier3-video-only,queued,"California City, CA",0,0,https://archive-video.granicus.com/californiacity/californiacity_948854ed-5478-4109-9ae2-60b20a48697b.mp4,tier3_auto_transcription_queue.txt
parkcityks,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
parkcity,granicus,https://parkcity.granicus.com/MediaPlayer.php?view_id=1&clip_id=2787,tier3-agenda,ingested,Park City Utah,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/parkcity/parkcity_70163b84-1057-4e6a-9ad4-2562b046e1bf.mp4/playlist.m3u8,/m/park-city-2023-09-26-city-council-strategic-planning-retreat
mundeleinvillageil,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
baycity,granicus,https://baycity.granicus.com/MediaPlayer.php?view_id=1&clip_id=9,tier3-agenda,ingested,"Bay City, TX",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/baycity/baycity_9241d5ac-e729-4625-8846-ba92ba3fe482.mp4/playlist.m3u8,/m/bay-city-tx-2017-04-05-cats-apr-5th-2017
smyrnacity,legistar,https://smyrnacity.legistar.com/MeetingDetail.aspx?LEGID=2198&GID=241&G=53DF8585-7A00-4A83-8122-6F6217D09290,tier3-agenda,ingested,"City of Smyrna, Georgia",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/smyrnacity/smyrnacity_4299f7a1-4138-4a16-84aa-5a96da2279b5.mp4/playlist.m3u8,/m/smyrna-ga-2022-12-19-city-council-on-2022-12-19-7-00-pm
smyrnacity,granicus,https://smyrnacity.granicus.com/MediaPlayer.php?view_id=2&clip_id=1177,tier3-agenda,ingested,"City of Smyrna, Georgia",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/smyrnacity/smyrnacity_4299f7a1-4138-4a16-84aa-5a96da2279b5.mp4/playlist.m3u8,/m/smyrna-ga-2022-12-19-city-council-on-2022-12-19-7-00-pm
santaclaritacityca,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
buffalogrovevillageil,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
napacity,legistar,https://napacity.legistar.com/MeetingDetail.aspx?LEGID=2044&GID=602&G=14D7B727-D8FF-4C40-AAD6-87DED36BC6F8,tier3-agenda,ingested,"City of Napa, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/napacity/napacity_311f356b-71d6-4859-9e7b-6c98e143aa3c.mp4/playlist.m3u8,/m/napa-ca-2026-09-01-housing-authority-board-on-2026-09-01-3-30-pm-3-30-pm-afterno
deperecitywi,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
napacity,granicus,https://napacity.granicus.com/MediaPlayer.php?view_id=2&clip_id=3486,tier3-agenda,ingested,"City of Napa, CA",0,4,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/napacity/napacity_051b5a27-54e4-43c9-927b-c218c2d91eac.mp4/playlist.m3u8,/m/napa-ca-2026-08-31-community-development-block-grant-cdbg-committee-meeting
texarkanacitytx,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
lagunabeachcity,granicus,https://lagunabeachcity.granicus.com/MediaPlayer.php?view_id=3&clip_id=3088,tier3-agenda,ingested,"City of Laguna Beach, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/lagunabeachcity/lagunabeachcity_f9746c7b-23ee-4120-bbb0-69503530a323.mp4/playlist.m3u8,/m/laguna-beach-ca-2026-09-02-administrative-community-development-director-meeting
chathamborough,granicus,https://chathamborough.granicus.com/MediaPlayer.php?view_id=1&clip_id=547,tier3-agenda,ingested,Borough of Chatham,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/chathamborough/chathamborough_f36f3844-3303-4617-bac3-d55153379d55.mp4/playlist.m3u8,/m/borough-of-chatham-2026-09-02-planning-board-sep-2nd-2026
keywestcity,granicus,https://keywestcity.granicus.com/MediaPlayer.php?view_id=1&clip_id=2062,tier1,ingested,"City of Key West, FL",11863,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/keywestcity/keywestcity_af05e65b-46ea-4c70-ae93-c2ec05f4d97c.mp4/playlist.m3u8,/m/key-west-fl-2026-09-03-city-commission-on-2026-09-03-9-00-am
mountvernoncityoh,legistar,https://mountvernoncityoh.legistar.com/MeetingDetail.aspx?LEGID=926&GID=963&G=932AFA1D-9513-40B5-BE13-AF7DB03A8E0E,tier3-agenda,ingested,"City of Mount Vernon, OH",0,0,,/m/mount-vernon-oh-2023-07-28-board-of-zoning-appeals
mountvernoncityoh,granicus,https://mountvernoncityoh.granicus.com/MediaPlayer.php?view_id=1&clip_id=11,tier3-agenda,ingested,"City of Mount Vernon, OH",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/mountvernoncityoh/mountvernoncityoh_e9fa8d3a-2640-11ee-b4fc-0050569183fa.mp4/playlist.m3u8,/m/mount-vernon-oh-2023-07-26-city-council-on-2023-07-26-7-30-pm-training-1
manassascity,granicus,https://manassascity.granicus.com/MediaPlayer.php?view_id=1&clip_id=2180,tier3-agenda,ingested,Manassas City,0,0,,/m/manassas-2026-09-04-architectural-review-board-sep-3rd-2026
northogdencity,granicus,https://northogdencity.granicus.com/MediaPlayer.php?view_id=1&clip_id=20,tier3-agenda,ingested,"North Ogden City, UT",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/northogdencity/northogdencity_f1d18685-855e-458e-ad17-e3494f089010.mp4/playlist.m3u8,/m/north-ogden-ut-2023-04-11-test-meeting-auto-generated-trim-backup
eastjordancity,granicus,https://eastjordancity.granicus.com/MediaPlayer.php?view_id=1&clip_id=159,tier3-agenda,ingested,"East Jordan, MI",0,0,,/m/east-jordan-mi-2026-09-02-city-commission-sep-2nd-2026
omrocitywi,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
princetonnj,legistar,https://princetonnj.legistar.com/MeetingDetail.aspx?LEGID=1040&GID=934&G=4A13AD67-C3AB-4527-9AE6-FD55B1D0D369,tier3-agenda,ingested,"Municipality of Princeton, NJ",0,0,,/m/princeton-nj-2026-08-24-mayor-and-council-of-princeton
bunnellcity,granicus,https://bunnellcity.granicus.com/MediaPlayer.php?view_id=1&clip_id=61,tier3-agenda,ingested,"Bunnell, FL",0,0,,/m/bunnell-fl-2026-08-25-city-commission (recovered via retry: next candidate)
cityofwalledlakecity,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
jeffersoncityga,granicus,,,no-url-found,,,,,no valid view_id 1-3 on Granicus RSS
princetonnj,granicus,https://princetonnj.granicus.com/MediaPlayer.php?view_id=1&clip_id=50,,resolve-failed,,,,,resolve raised: HTTP 404 for https://princetonnj.granicus.com/MediaPlayer.php?view_id=1&clip_id=50
princeton,granicus,https://princeton.granicus.com/MediaPlayer.php?view_id=2&clip_id=20,tier3-agenda,ingested,"Princeton, TX",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/princeton/princeton_a0e11c99-280a-4554-8298-e8884df9aa4a.mp4/playlist.m3u8,/m/princeton-tx-2021-12-14-peak-drafter-approver-session-2-12-14-2021-dec-14th-2021
valdostacity,granicus,https://valdostacity.granicus.com/MediaPlayer.php?view_id=1&clip_id=431,tier3-video-only,queued,"City of Valdosta, GA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/valdostacity/valdostacity_98694714-a868-4434-8336-761f0ca47185.mp4/playlist.m3u8,tier3_auto_transcription_queue.txt
westwendovercity,granicus,https://westwendovercity.granicus.com/MediaPlayer.php?view_id=2&clip_id=22,tier3-agenda,ingested,"West Wendover, NV",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/westwendovercity/westwendovercity_80c76e74-c56b-492c-94f7-58134bb22124.mp4/playlist.m3u8,/m/west-wendover-nv-2026-05-11-west-wendover-nv-livecast-and-pre-meeting-steps
tehamacounty,legistar,https://tehamacounty.legistar.com/MeetingDetail.aspx?LEGID=6070&GID=972&G=C02BAD69-A143-4D67-8291-0A6975D30769,tier3-agenda,ingested,"Tehama County, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/tehamacounty/tehamacounty_9fe568f2-3b48-4b65-b375-46ad46c5be9c.mp4/playlist.m3u8,/m/tehama-county-ca-2026-09-03-public-health-advisory-board-on-2026-09-03-2-00-pm (recovered via retry: next candidate)
polkcountyfl,legistar,https://polkcountyfl.legistar.com/MeetingDetail.aspx?LEGID=1891&GID=899&G=8E3CAEE1-3439-4CE8-90D8-F1ABD849BB66,tier3-agenda,ingested,"Polk County, FL",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/polkcountyfl/polkcountyfl_c90b0ff8-5cef-46dc-920a-d4352be8495d.mp4/playlist.m3u8,/m/polk-county-fl-2026-09-02-planning-commission-on-2026-09-02-9-00-am
brazoriacountytx,legistar,https://brazoriacountytx.legistar.com/MeetingDetail.aspx?LEGID=6236&GID=970&G=22320ABD-807B-48D9-9007-AA680B8118C6,tier3-agenda,ingested,"Brazoria County, TX",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/brazoriacountytx/brazoriacountytx_7d9e3872-3f46-4c88-87aa-bbfa75e14d2e.mp4/playlist.m3u8,/m/brazoria-county-tx-2026-08-25-commissioners-court-on-2026-08-25-9-00-am-special
hiddenhillscity,granicus,https://hiddenhillscity.granicus.com/MediaPlayer.php?view_id=1&clip_id=420,tier3-agenda,ingested,"Hidden Hills, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/hiddenhillscity/hiddenhillscity_d7bdc357-a103-11f1-a028-005056a89546.mp4/playlist.m3u8,/m/hidden-hills-ca-2026-08-19-special-city-council-meeting-august-19-2026
albanycounty,legistar,https://albanycounty.legistar.com/MeetingDetail.aspx?LEGID=2102&GID=721&G=2B91F03F-854A-4E88-95BD-2A5EE1EAE56B,none,skipped-empty,,0,0,,no segments/agenda/video
sedgwickcounty,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
cumberlandcounty,legistar,https://cumberlandcounty.legistar.com/MeetingDetail.aspx?LEGID=1097&GID=930&G=DC09C517-EB4E-42EB-B6D7-2D1714D75E1B,none,skipped-empty,,0,0,,no segments/agenda/video
tompkinscountyny,legistar,https://tompkinscountyny.legistar.com/MeetingDetail.aspx?LEGID=929&GID=983&G=B28638F6-CF86-4021-8EDE-E86AAE7EC58B,tier3-agenda,ingested,"Tompkins County, NY",0,0,true,"/m/tompkins-county-ny-2025-03-18-tompkins-county-legislature-on-2025-03-18-5-30-pm-ad38dc (manually recovered by trying candidate #8 of 18; note: duplicates content already ingested via the Granicus hit for this same slug, row above -- same March 18 2025 Legislature meeting, different source URL, not deduped by the archive since dedup keys on normalized source URL)"
douglascounty,legistar,https://douglascounty.legistar.com/MeetingDetail.aspx?LEGID=4200&GID=964&G=C27F303A-3F80-4749-A8F2-1DB6F364C3F4,tier3-agenda,ingested,"Douglas County, Colorado",0,0,,/m/douglas-county-co-2026-09-04-board-of-county-commissioners-business-meeting
mauicounty,legistar,https://mauicounty.legistar.com/MeetingDetail.aspx?LEGID=4906&GID=632&G=E71DEF67-B5BD-48E0-B187-94BEDF37B05F,tier3-agenda,ingested,"County of Maui, HI",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/mauicounty/mauicounty_7e36b509-ed6b-400c-baef-19fbe8cfa260.mp4/playlist.m3u8,/m/maui-county-hi-2026-09-03-disaster-recovery-international-affairs-and-planning-c
harrisoncounty,legistar,,,no-url-found,,,,,no public-video event via Web API; no companion Granicus domain
lubbockcounty,legistar,https://lubbockcounty.legistar.com/MeetingDetail.aspx?LEGID=1191&GID=857&G=BC0FD945-6FDF-4E93-87CD-4CF3C7E011CF,tier1,ingested,"Lubbock County, TX",9,23,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/lubbockcountytx/0c9bfec3-c9ee-46aa-bea6-d6845f303a69.mp4/playlist.m3u8,/m/lubbock-county-tx-2026-08-24-aug-24-2026-commissioners-court
westchestercountyny,legistar,https://westchestercountyny.legistar.com/MeetingDetail.aspx?LEGID=7925&GID=797&G=FCBC2A46-F296-42BC-B1CA-FE0641CF1BF8,tier1,ingested,"Westchester County, NY",133,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/westchestercountyny/westchestercountyny_a75044c6-6970-4e38-bca0-a7838b02ac21.mp4/playlist.m3u8,/m/westchester-county-ny-2026-08-31-appointments-on-2026-08-31-4-00-pm
