slug,platform,meeting_url,tier,outcome,jurisdiction,segments,agenda_items,video_url,detail,candidate_index
wauwatosacitywi,legistar,https://wauwatosacitywi.legistar.com/MeetingDetail.aspx?LEGID=5696&GID=956&G=477119C4-09F2-4C97-A95E-80E5CE542A2B,tier3-agenda,ingested,"Wauwatosa, WI",0,0,,/m/wauwatosa-wi-2026-09-02-sustainability-committee,0
fergusoncity,granicus,,,exhausted-candidates,,,,,"tried 1 alternate candidates, none had content",
eastpointcity,granicus,,,no-more-candidates,,,,,no alternate candidate found,
bunnellcity,granicus,https://bunnellcity.granicus.com/MediaPlayer.php?view_id=1&clip_id=61,tier3-agenda,ingested,"Bunnell, FL",0,0,,/m/bunnell-fl-2026-08-25-city-commission,1
princetonnj,granicus,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
tehamacounty,legistar,https://tehamacounty.legistar.com/MeetingDetail.aspx?LEGID=6070&GID=972&G=C02BAD69-A143-4D67-8291-0A6975D30769,tier3-agenda,ingested,"Tehama County, CA",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/tehamacounty/tehamacounty_9fe568f2-3b48-4b65-b375-46ad46c5be9c.mp4/playlist.m3u8,/m/tehama-county-ca-2026-09-03-public-health-advisory-board-on-2026-09-03-2-00-pm,0
albanycounty,legistar,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
cumberlandcounty,legistar,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
tompkinscountyny,legistar,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
harriscountytx,legistar,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
charlottecountyfl,legistar,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
johnsoncounty,granicus,,,no-more-candidates,,,,,no alternate candidate found,
princegeorgescountymd,legistar,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
passaiccountynj,legistar,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
baldwincountyal,legistar,https://baldwincountyal.legistar.com/MeetingDetail.aspx?LEGID=6321&GID=697&G=9DD00BC2-72C1-467C-ABE6-3C9C4FFCAEEA,tier3-agenda,ingested,Baldwin County,0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/baldwincountyal/baldwincountyal_8493c04c-8830-438b-81b1-c3c720775173.mp4/playlist.m3u8,/m/baldwin-county-al-2026-09-01-baldwin-county-commission-regular-on-2026-09-01-10,1
olmstedcounty,legistar,,,exhausted-candidates,,,,,"tried 2 alternate candidates, none had content",
greensvillecountyva,granicus,,,exhausted-candidates,,,,,"tried 3 alternate candidates, none had content",
montgomerycountymd,legistar,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
unioncountync,legistar,https://unioncountync.legistar.com/MeetingDetail.aspx?LEGID=1256&GID=834&G=52D9E17D-BEDB-4D27-9C07-2445D451B18D,tier1,ingested,"Union County, NC",1969,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/unioncountync/unioncountync_8a726fc8-3a69-4614-a4f4-67f989d75765.mp4/playlist.m3u8,/m/union-county-nc-2026-08-17-board-of-commissioners-on-2026-08-17-6-00-pm,0
douglascountynv,granicus,https://douglascountynv.granicus.com/MediaPlayer.php?view_id=1&clip_id=1872,tier3-agenda,ingested,"Douglas County, NV",0,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/douglascountynv/douglascountynv_9dfb9659-f036-4aed-8e0e-6c3956018438.mp4/playlist.m3u8,/m/douglas-county-nv-2026-09-03-board-of-county-commissioners,0
ulstercountyny,granicus,,,exhausted-candidates,,,,,"tried 1 alternate candidates, none had content",
sanmateocounty,legistar,https://sanmateocounty.legistar.com/MeetingDetail.aspx?LEGID=1711&GID=659&G=1088EC25-A43A-408F-A57C-73C0A70269AB,tier1,ingested,"County of San Mateo, CA",11139,0,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/sanmateocounty/sanmateocounty_79ec8b74-cf54-4615-aa92-2cf2dadb18e1.mp4/playlist.m3u8,/m/county-of-san-mateo-ca-2026-08-25-board-of-supervisors-on-2026-08-25-9-00-am (retried after transient SSL error),0
lumpkincounty,granicus,https://lumpkincounty.granicus.com/MediaPlayer.php?view_id=1&clip_id=584,tier3-agenda,ingested,"Lumpkin County, GA",0,0,,/m/lumpkin-county-ga-2025-01-22-board-of-commissioners-work-session-ii,0
thurstoncountywa,legistar,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
charlescountymd,granicus,https://charlescountymd.granicus.com/MediaPlayer.php?view_id=1&clip_id=517,tier3-agenda,ingested,"Charles County, MD",0,0,,/m/charles-county-md-2026-08-12-administrative-charging-committee,4
saratogacountyny,legistar,,,exhausted-candidates,,,,,"tried 6 alternate candidates, none had content",
grundycountyil,legistar,,,exhausted-candidates,,,,,"tried 4 alternate candidates, none had content",
