gov_id,unit_name,platform,outcome,reason,seed_url,title,date,page_url
us:place:0150000,"Mobile city, AL",civicclerk,no-video-found,"agenda-only, no video (not ingested per WO-128 rule): https://mobileal.portal.civicclerk.com/event/521/media",https://mobileal.portal.civicclerk.com/event/521/media,City Council Meeting,2026-09-01,
us:place:0206520,"Bethel city, AK",civicclerk,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://bethelak.portal.civicclerk.com/event/1143/media,Regular City Council Meeting,2026-08-25,
us:place:0474190,"Tolleson city, AZ",civicclerk,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://tollesonaz.portal.civicclerk.com/event/234/media,City Council Meeting,2026-09-08,
ca:csd:3526014,"Wainfleet, ON",youtube,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://www.youtube.com/watch?v=7OCWidpKJ08,,,
ca:csd:3531011,"Stratford, ON",youtube,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://youtu.be/wnTQtEYWTfA,,,
us:place:0869645,"Sheridan city, CO",youtube,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://www.youtube.com/embed/JqON_-LqX4Y,,,
us:place:0667112,"San Jacinto city, CA",iqm2,skipped,iqm2: resolved but no transcript/agenda/video (https://sanjacintoca.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1221&MediaPosition=%20&ID=1425&CssClass=),,,,
us:place:1214400,"Coral Springs city, FL",iqm2,skipped,iqm2: resolved but no transcript/agenda/video (http://coralspringsfl.iqm2.com/Citizens/Detail_LegiFile.aspx?Frame=&MeetingID=1723&MediaPosition=&ID=7039&CssClass=),,,,
us:place:0439370,"Lake Havasu City city, AZ",granicus,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://lakehavasucity.granicus.com/player/clip/1475?view_id=3,City Council on 2022-09-13 6:00 PM - Regular Meeting,2022-09-13,
us:place:0636056,"Huntington Park city, CA",granicus,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://huntingtonpark.granicus.com/player/clip/566?view_id=2,"October 4, 2016 - City Council Meeting Part 2",2016-10-04,
ca:csd:3502048,"Russell, ON",civicweb,skipped,civicweb: no civicweb link found on hit_source_url or first 4 hop2_urls,,,,
us:place:0919480,"Derby city, CT",civicweb,queued_tier3,"real video, no transcript yet -- appended to tier3_auto_transcription_queue.txt",https://derby.civicweb.net/Portal/MeetingInformation.aspx?Id=6076,City Council - 25 Aug 2026,2026-08-25,
