gov_id,city_name,state_or_province,country,population_estimate,domain,platform,reject_reason,example_meeting_url,example_agenda_or_calendar_url,alternate_domains,alternate_urls
us:place:0133256,Harpersville town,Alabama,United States,2019,harpersvilleal.gov,civicplus,no-platform-link-found,,https://harpersvilleal.gov/197/Boards-Committees,,
us:place:0139856,Kimberly city,Alabama,United States,4858,kimberlyal.gov,civicplus,no-meeting-nor-video,,,,
us:place:0146264,Malvern town,Alabama,United States,1701,malvern-al.org,civicplus,meeting-without-video,,https://malvern-al.org/AgendaCenter,,
us:place:0157504,Owens Cross Roads city,Alabama,United States,3334,owenscrossroadsal.gov,civicplus,,https://youtube.com/live/lfInxd7eswk?feature=share,,owenscrossroadsal.org,
us:place:0230940,Gustavus city,Alaska,United States,610,gustavus-ak.gov,civicplus,meeting-without-video,,https://ak-gustavus.civicplus.com/1953/Disposal-Recycling-Center,cms.gustavus-ak.gov,
us:place:0427050,Gila Bend town,Arizona,United States,1816,gilabendaz.org,civicplus,meeting-without-video,,https://gilabendaz.org/AgendaCenter/Council-Meeting-Agendas-1,,
us:place:0525780,Garland town,Arkansas,United States,178,garlandcounty.org,civicplus,meeting-without-video,,https://www.garlandcounty.org/agendacenter,,
us:place:0556990,Pottsville city,Arkansas,United States,3326,pottsvillear.gov,civicplus,no-platform-link-found,,https://pottsvillear.gov/1196/Boards,,
us:place:0636826,Irwindale city,California,United States,1439,irwindaleca.gov,civicplus,no-platform-link-found,,https://irwindaleca.gov/438/Agendas-Minutes,,
us:county:06091,Sierra County,California,United States,3098,sierracounty.ca.gov,civicplus,meeting-without-video,,https://sierracounty.ca.gov/agendacenter,,
us:place:0837820,Hudson town,Colorado,United States,1621,hudsonco.gov,civicplus,no-platform-link-found,https://hudsonco.gov/DocumentCenter/View/6698/PC-Recording-09092026,https://www.hudsoncolorado.org/129/Agendas-Minutes,hudsoncolorado.org,
us:place:0848445,Manitou Springs city,Colorado,United States,4577,manitouspringsgov.com,civicplus,meeting-without-video,,https://cityofmanitousprings-pw.app.transform.civicplus.com/forms/12699,,
us:place:0876795,Telluride town,Colorado,United States,2454,telluride.gov,civicplus,no-meeting-nor-video,https://telluride.civicweb.net/Portal/MeetingTypeList.aspx#jumpToMain,https://telluride.civicweb.net/Portal/MeetingTypeList.aspx,,
us:place:0988050,Woodmont borough,Connecticut,United States,2391,boroughofwoodmont.us,civicplus,meeting-without-video,,https://boroughofwoodmont.us/list.aspx#agendaCenter,woodmontct.gov,
us:place:1201475,Anna Maria city,Florida,United States,1023,cityofannamaria.com,civicplus,meeting-without-video,,https://www.cityofannamaria.com/AgendaCenter,,
us:place:1202500,Atlantis city,Florida,United States,2140,atlantisfl.gov,civicplus,no-platform-link-found,,https://atlantisfl.gov/35/Council,,
us:place:1227000,Graceville city,Florida,United States,2217,cityofgraceville.com,civicplus,meeting-without-video,,https://cityofgraceville.com/agendacenter,,
us:place:1243250,Marineland town,Florida,United States,9,townofmarineland.org,civicplus,meeting-without-video,,https://www.townofmarineland.org/AgendaCenter,,
us:place:1250525,Oakland town,Florida,United States,3774,oaklandfl.gov,civicplus,,https://youtu.be/zw1ZP2PLbr4,https://oaklandfl.gov/CivicAlerts.aspx?AID=614,,
