gov_id,city_name,state_or_province,outcome,reason,agendacenter_url,bodies_seen,delegate_platform,delegate_url,title,date,has_segments,has_video_url,hand_decision
us:place:0133256,Harpersville town,Alabama,meeting-without-video,"checked 5 real listing row(s), no video link",https://harpersvilleal.gov/AgendaCenter,5,,,,,,,
us:place:0139856,Kimberly city,Alabama,meeting-without-video,"checked 0 real listing row(s), no video link",https://kimberlyal.gov/AgendaCenter,0,,,,,,,
us:place:0146264,Malvern town,Alabama,meeting-without-video,"checked 0 real listing row(s), no video link",https://malvern-al.org/AgendaCenter,0,,,,,,,
us:place:0157504,Owens Cross Roads city,Alabama,skipped,resolve raised: Cannot connect to host owenscrossroadsal.gov:443 ssl:default [[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1035)],https://owenscrossroadsal.gov/AgendaCenter,,,,,,,,
us:place:0230940,Gustavus city,Alaska,meeting-without-video,"checked 0 real listing row(s), no video link",https://gustavus-ak.gov/AgendaCenter,0,,,,,,,
us:place:0427050,Gila Bend town,Arizona,meeting-without-video,"checked 5 real listing row(s), no video link",https://gilabendaz.org/AgendaCenter,5,,,,,,,
us:place:0525780,Garland town,Arkansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://garlandcounty.org/AgendaCenter,5,,,,,,,
us:place:0556990,Pottsville city,Arkansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://pottsvillear.gov/AgendaCenter,5,,,,,,,
us:place:0636826,Irwindale city,California,meeting-without-video,"checked 5 real listing row(s), no video link",https://irwindaleca.gov/AgendaCenter,5,,,,,,,
us:county:06091,Sierra County,California,meeting-without-video,"checked 5 real listing row(s), no video link",https://sierracounty.ca.gov/AgendaCenter,5,,,,,,,
us:place:0837820,Hudson town,Colorado,meeting-without-video,"checked 5 real listing row(s), no video link",https://hudsonco.gov/AgendaCenter,5,,,,,,,
us:place:0848445,Manitou Springs city,Colorado,skipped,"resolve raised: 404, message='Not Found', url='https://www.manitouspringsco.gov/AgendaCenter'",https://manitouspringsgov.com/AgendaCenter,,,,,,,,
us:place:0876795,Telluride town,Colorado,meeting-without-video,"checked 0 real listing row(s), no video link",https://telluride.gov/AgendaCenter,0,,,,,,,
us:place:0988050,Woodmont borough,Connecticut,meeting-without-video,"checked 5 real listing row(s), no video link",https://boroughofwoodmont.us/AgendaCenter,5,,,,,,,
us:place:1201475,Anna Maria city,Florida,skipped,resolve raised: Cannot connect to host cityofannamaria.com:443 ssl:default [[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1035)],https://cityofannamaria.com/AgendaCenter,,,,,,,,
us:place:1202500,Atlantis city,Florida,meeting-without-video,"checked 5 real listing row(s), no video link",https://atlantisfl.gov/AgendaCenter,5,,,,,,,
us:place:1227000,Graceville city,Florida,meeting-without-video,"checked 2 real listing row(s), no video link",https://cityofgraceville.com/AgendaCenter,2,,,,,,,
us:place:1243250,Marineland town,Florida,meeting-without-video,"checked 5 real listing row(s), no video link",https://townofmarineland.org/AgendaCenter,5,,,,,,,
us:place:1250525,Oakland town,Florida,candidate_tier1_2,,https://oaklandfl.gov/AgendaCenter,36,youtube,https://youtu.be/zw1ZP2PLbr4,08-04-2026 Appearance Review Board Regular Meeting,2026-08-04,yes,,accept
us:place:1258200,Ponce Inlet town,Florida,skipped,resolve raised: Cannot connect to host ponceinlet.gov:443 ssl:default [Connection reset by peer],https://ponceinlet.gov/AgendaCenter,,,,,,,,
us:place:1275375,Wauchula city,Florida,meeting-without-video,"checked 0 real listing row(s), no video link",https://cityofwauchula.gov/AgendaCenter,0,,,,,,,
us:place:1304644,Avondale Estates city,Georgia,meeting-without-video,"checked 0 real listing row(s), no video link",https://avondaleestatesga.gov/AgendaCenter,0,,,,,,,
us:place:1327344,Emerson city,Georgia,meeting-without-video,"checked 5 real listing row(s), no video link",https://cityofemerson.org/AgendaCenter,5,,,,,,,
us:place:1328492,Fairmount city,Georgia,meeting-without-video,"checked 5 real listing row(s), no video link",https://fairmountga.gov/AgendaCenter,5,,,,,,,
us:place:1380228,Walnut Grove city,Georgia,skipped,"resolve raised: 404, message='Not Found', url='https://walnutgrovegeorgia.com/AgendaCenter'",https://walnutgrovegeorgia.com/AgendaCenter,,,,,,,,
us:county:16033,Clark County,Idaho,meeting-without-video,"checked 5 real listing row(s), no video link",https://clark-co.id.gov/AgendaCenter,5,,,,,,,
us:place:1653110,Minidoka city,Idaho,meeting-without-video,"checked 5 real listing row(s), no video link",https://minidoka.id.us/AgendaCenter,5,,,,,,,
us:place:1712931,Chenoa city,Illinois,meeting-without-video,"checked 5 real listing row(s), no video link",https://chenoail.org/AgendaCenter,5,,,,,,,
us:place:1719083,Deer Park village,Illinois,meeting-without-video,"checked 5 real listing row(s), no video link",https://villageofdeerpark.com/AgendaCenter,5,,,,,,,
us:place:1735073,Hillsdale village,Illinois,meeting-without-video,"checked 5 real listing row(s), no video link",https://hillside-il.org/AgendaCenter,5,,,,,,,
us:place:1737257,Indian Head Park village,Illinois,candidate_tier1_2,,https://indianheadpark-il.gov/AgendaCenter,7,youtube,https://www.youtube.com/live/iR2-DJrFEEU?si=6erPHh1l1q9BFXgA,Village of Indian Head Park Board Meeting 9-10-26,2026-09-11,yes,,accept
us:place:1739519,Kenilworth village,Illinois,meeting-without-video,"checked 5 real listing row(s), no video link",https://vok.org/AgendaCenter,5,,,,,,,
us:place:1770629,South Chicago Heights village,Illinois,meeting-without-video,"checked 5 real listing row(s), no video link",https://southchicagoheights.com/AgendaCenter,5,,,,,,,
us:place:1778370,Wadsworth village,Illinois,skipped,"resolve raised: 404, message='Not Found', url='https://villageofwadsworth.org/AgendaCenter'",https://villageofwadsworth.org/AgendaCenter,,,,,,,,
us:place:1813366,Clayton town,Indiana,meeting-without-video,"checked 4 real listing row(s), no video link",https://townofclayton.us/AgendaCenter,4,,,,,,,
us:place:1860192,Pittsboro town,Indiana,meeting-without-video,"checked 5 real listing row(s), no video link",https://townofpittsboro.org/AgendaCenter,5,,,,,,,
us:place:1885184,Woodburn city,Indiana,skipped,"resolve raised: 525, message='<none>', url='https://woodburnindiana.gov/AgendaCenter'",https://woodburnindiana.gov/AgendaCenter,,,,,,,,
us:place:1910765,Carlisle city,Iowa,meeting-without-video,"checked 5 real listing row(s), no video link",https://carlisleiowa.org/AgendaCenter,5,,,,,,,
us:place:1930630,Gilbert city,Iowa,meeting-without-video,"checked 5 real listing row(s), no video link",https://cityofgilbertiowa.org/AgendaCenter,5,,,,,,,
us:place:1944085,Le Claire city,Iowa,meeting-without-video,"checked 5 real listing row(s), no video link",https://leclaireiowa.gov/AgendaCenter,5,,,,,,,
us:place:1973875,Solon city,Iowa,meeting-without-video,"checked 5 real listing row(s), no video link",https://solon-iowa.com/AgendaCenter,5,,,,,,,
us:place:1978285,Tipton city,Iowa,candidate_tier1_2,,https://tiptoniowa.org/AgendaCenter,4,youtube,https://youtu.be/nVoqTpN5upo?si=NFe77iIatGxpvDa6,"City of Tipton, Iowa  08/17/2026  Council Meeting",2026-08-17,yes,,accept
us:place:2004625,Baxter Springs city,Kansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://baxterspringsks.gov/AgendaCenter,5,,,,,,,
us:place:2012775,Cheney city,Kansas,skipped,"resolve raised: 404, message='Not Found', url='https://cheneyks.org/AgendaCenter'",https://cheneyks.org/AgendaCenter,,,,,,,,
us:place:2024575,Fredonia city,Kansas,meeting-without-video,"checked 1 real listing row(s), no video link",https://fredoniaks.org/AgendaCenter,1,,,,,,,
us:place:2026050,Gem city,Kansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://thomascountyks.gov/AgendaCenter,5,,,,,,,
us:place:2028675,Greensburg city,Kansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://greensburgks.org/AgendaCenter,5,,,,,,,
us:place:2038700,Larned city,Kansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://cityoflarned.org/AgendaCenter,5,,,,,,,
us:place:2044750,Marion city,Kansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://marionks.net/AgendaCenter,5,,,,,,,
us:place:2045325,Meade city,Kansas,skipped,"resolve raised: Cannot connect to host cityofmeade.org:443 ssl:True [SSLCertVerificationError: (1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'cityofmeade.org'. (_ssl.c:1035)"")]",https://cityofmeade.org/AgendaCenter,,,,,,,,
us:place:2047350,Mission Hills city,Kansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://missionhillsks.gov/AgendaCenter,5,,,,,,,
us:county:20129,Morton County,Kansas,skipped,resolve raised: Cannot connect to host mtcoks.gov:443 ssl:default [Connection reset by peer],https://mtcoks.gov/AgendaCenter,,,,,,,,
us:place:2051500,Norton city,Kansas,skipped,"resolve raised: 404, message='Not Found', url='https://cityofnorton.com/AgendaCenter'",https://cityofnorton.com/AgendaCenter,,,,,,,,
us:place:2053225,Osawatomie city,Kansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://osawatomieks.org/AgendaCenter,5,,,,,,,
us:place:2055100,Peabody city,Kansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://peabodyks.com/AgendaCenter,5,,,,,,,
us:place:2062025,Sabetha city,Kansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://cityofsabetha.com/AgendaCenter,5,,,,,,,
us:place:2064100,Seward city,Kansas,meeting-without-video,"checked 0 real listing row(s), no video link",https://sewardcountyks.org/AgendaCenter,0,,,,,,,
us:place:2068200,Sterling city,Kansas,meeting-without-video,"checked 5 real listing row(s), no video link",https://sterling-kansas.com/AgendaCenter,5,,,,,,,
us:place:2416720,Chevy Chase Section Five village,Maryland,meeting-without-video,"checked 1 real listing row(s), no video link",https://chevychasesection5.org/AgendaCenter,1,,,,,,,
us:place:2416730,Chevy Chase Section Three village,Maryland,meeting-without-video,"checked 5 real listing row(s), no video link",https://chevychasesection3.org/AgendaCenter,5,,,,,,,
us:place:2420050,Cottage City town,Maryland,meeting-without-video,"checked 0 real listing row(s), no video link",https://cottagecitymd.gov/AgendaCenter,0,,,,,,,
us:place:2435200,Greensboro town,Maryland,skipped,"resolve raised: 403, message='Forbidden', url='https://greensboromd.org/AgendaCenter'",https://greensboromd.org/AgendaCenter,,,,,,,,
us:place:2470850,Seat Pleasant city,Maryland,meeting-without-video,"checked 2 real listing row(s), no video link",https://seatpleasantmd.gov/AgendaCenter,2,,,,,,,
us:place:2469825,St. Michaels town,Maryland,skipped,"resolve raised: 404, message='Not Found', url='https://www.stmichaelsmd.gov/AgendaCenter'",https://stmichaelsmd.gov/AgendaCenter,,,,,,,,
us:place:2476550,Sykesville town,Maryland,candidate_tier1_2,,https://townofsykesville.gov/AgendaCenter,5,youtube,https://www.youtube.com/watch?v=ilWD0kzPbqQ,Sykesville Town Council Meeting 8-10-2026,2026-08-10,yes,,accept
us:place:2479675,University Park town,Maryland,meeting-without-video,"checked 5 real listing row(s), no video link",https://upmd.org/AgendaCenter,5,,,,,,,
us:place:2614780,Charlevoix city,Michigan,meeting-without-video,"checked 5 real listing row(s), no video link",https://charlevoixmi.gov/AgendaCenter,5,,,,,,,
us:place:2625320,Elk Rapids village,Michigan,skipped,"resolve raised: 404, message='Not Found', url='https://www.elkrapids.org/AgendaCenter'",https://elkrapids.org/AgendaCenter,,,,,,,,
us:place:2630700,Fremont city,Michigan,meeting-without-video,"checked 0 real listing row(s), no video link",https://fremontmi.gov/AgendaCenter,0,,,,,,,
us:place:2650280,Mackinac Island city,Michigan,skipped,"resolve raised: 404, message='Not Found', url='https://www.cityofmi.org/AgendaCenter'",https://cityofmi.org/AgendaCenter,,,,,,,,
us:place:2666640,Quincy village,Michigan,meeting-without-video,"checked 5 real listing row(s), no video link",https://quincy-mi.org/AgendaCenter,5,,,,,,,
us:place:2672080,Scottville city,Michigan,meeting-without-video,"checked 5 real listing row(s), no video link",https://cityofscottville.org/AgendaCenter,5,,,,,,,
us:place:2675820,Spring Lake village,Michigan,meeting-without-video,"checked 5 real listing row(s), no video link",https://springlakemi.gov/AgendaCenter,5,,,,,,,
us:place:2681840,Vassar city,Michigan,skipped,resolve raised: ,https://cityofvassar.gov/AgendaCenter,,,,,,,,
us:place:2709730,Cannon Falls city,Minnesota,meeting-without-video,"checked 5 real listing row(s), no video link",https://cannonfallsmn.gov/AgendaCenter,5,,,,,,,
us:place:2715994,Dodge Center city,Minnesota,meeting-without-video,"checked 0 real listing row(s), no video link",https://ci.dodgecenter.mn.us/AgendaCenter,0,,,,,,,
us:place:2736746,Le Sueur city,Minnesota,meeting-without-video,"checked 5 real listing row(s), no video link",https://cityoflesueur.com/AgendaCenter,5,,,,,,,
