gov_id,city_name,state_or_province,country,population_estimate,domain,platform,reject_reason,example_meeting_url,example_agenda_or_calendar_url,alternate_domains,alternate_urls
us:county:02164,Lake and Peninsula Borough,Alaska,United States,1357,lakeandpen.com,civicweb,meeting-without-video,,https://lakeandpen.civicweb.net/filepro/documents,,
us:county:02195,Petersburg Borough,Alaska,United States,3394,petersburg.granicus.com,granicus,no-platform-link-found,https://petersburg.granicus.com/MediaPlayer.php?clip_id=2235&view_id=2,,ci.petersburg.ak.us,
us:place:0282200,Valdez city,Alaska,United States,3681,valdez.granicus.com,granicus,no-platform-link-found,https://valdez.granicus.com/player/clip/2246?view_id=3,http://www.valdezak.gov/agendas,valdezak.gov,
ca:csd:4802013,Coalhurst,Alberta,Canada,2869,coalhurst.ca,civicweb,meeting-without-video,,https://coalhurst.community-ca.diligentoneplatform.com/Portal,,
ca:csd:4807012,Coronation,Alberta,Canada,868,town.coronation.ab.ca,civicweb,meeting-without-video,,https://coronation.civicweb.net/filepro/documents/,coronation.ca,
ca:csd:4819074,Grimshaw,Alberta,Canada,2601,grimshaw.ca,civicweb,meeting-without-video,,https://grimshaw.civicweb.net/portal/,,
ca:csd:4807048,Hardisty,Alberta,Canada,548,hardisty.ca,civicweb,meeting-without-video,,https://hardisty.civicweb.net/Portal/MeetingTypeList.aspx,,
ca:csd:4803014,Pincher Creek,Alberta,Canada,3622,pinchercreek.ca,escribe,meeting-without-video,,https://pub-pinchercreek.escribemeetings.com/,,
ca:csd:4817097,Rainbow Lake,Alberta,Canada,495,rainbowlake.ca,civicweb,meeting-without-video,,https://rainbowlake.civicweb.net/portal/,,
ca:csd:4808044,Rimbey,Alberta,Canada,2470,rimbey.com,civicweb,meeting-without-video,,https://rimbey.civicweb.net/Portal/MeetingTypeList.aspx,,
ca:csd:4807044,Sedgewick,Alberta,Canada,761,sedgewick.ca,civicweb,meeting-without-video,,https://sedgewick.civicweb.net/Portal/,,
us:place:0419145,Dewey-Humboldt town,Arizona,United States,4604,dhaz.granicus.com,granicus,no-platform-link-found,https://dhaz.granicus.com/player/clip/1385?view_id=2,https://dhaz.gov/QuickLinks.aspx?CID=71,dhaz.gov,
us:place:0535500,Johnson city,Arkansas,United States,3684,cityofjohnson.com,municode_meetings,meeting-without-video,,https://cityofjohnsonar.sites.thrillshare.com/page/minutes-and-agendas,,
us:place:0548560,Nashville city,Arkansas,United States,3945,nashar.gov,cablecast,meeting-without-video,http://nashville.cablecast.tv/internetchannel/show/14395?site=1,https://www.nashar.org/page/nashville-ordinances-resolutions-agenda,nashar.org,
ca:csd:5951022,Burns Lake,British Columbia,Canada,1659,burnslake.ca,escribe,meeting-without-video,,https://pub-burnslake.escribemeetings.com/?FillWidth=1,,
ca:csd:5955010,Chetwynd,British Columbia,Canada,2302,gochetwynd.com,escribe,meeting-without-video,,https://pub-chetwynd.escribemeetings.com/?FillWidth=1,,
ca:csd:5933067,Clearwater,British Columbia,Canada,2388,districtofclearwater.com,civicweb,meeting-without-video,,https://districtofclearwater.civicweb.net/Portal,,
ca:csd:5905005,Fruitvale,British Columbia,Canada,1958,fruitvale.ca,civicweb,meeting-without-video,,https://fruitvale.civicweb.net/document/46406,,
ca:csd:5905032,Grand Forks,British Columbia,Canada,4112,pub-grand-forks.escribemeetings.com,escribe,meeting-without-video,https://pub-grand-forks.escribemeetings.com/Meeting.aspx?Id=0a99c7a9-840b-4a61-832d-b6975a2855e5&Agenda=PostMinutes&lang=English,https://trust.escribemeetings.com/TrustCenter,grandforks.ca,
ca:csd:5949022,Hazelton,British Columbia,Canada,257,hazelton.ca,escribe,meeting-without-video,,https://pub-hazelton.escribemeetings.com/?FillWidth=1,,
ca:csd:5917049,Highlands,British Columbia,Canada,2482,highlands.ca,civicweb,meeting-without-video,,https://highlandsbc.community-ca.diligentoneplatform.com/Portal,,
ca:csd:5951034,Houston,British Columbia,Canada,3052,houston.ca,civicweb,meeting-without-video,,https://houston.civicweb.net/filepro/documents,,
ca:csd:5955025,Hudson's Hope,British Columbia,Canada,841,hudsonshope.ca,escribe,meeting-without-video,,https://pub-hudsonshope.escribemeetings.com/?FillWidth=1,,
ca:csd:5921008,Lantzville,British Columbia,Canada,3817,pub-lantzville.escribemeetings.com,escribe,,https://lantzville.civicweb.net/Portal/MeetingInformation.aspx?Id=82,https://pub-lantzville.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=c6b2d96b-73e8-490d-8243-a3dfc75b3a6e&lang=English,lantzville.ca,
ca:csd:5903050,Nakusp,British Columbia,Canada,1589,nakusp.com,civicweb,meeting-without-video,,https://nakusp.civicweb.net/filepro/documents/4616,,
ca:csd:5931012,Pemberton,British Columbia,Canada,3407,pemberton.ca,escribe,meeting-without-video,,https://pub-pemberton.escribemeetings.com/?FillWidth=1,,
us:place:0636434,Indian Wells city,California,United States,4992,indianwells.granicus.com,escribe,,https://indianwells.granicus.com/player/clip/567?view_id=2,https://pub-indianwells.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=030d939b-e2e8-46ac-9c35-3c8a2b9bf9a7&lang=English,,
us:place:0859830,Pitkin town,Colorado,United States,74,pitkincounty.granicus.com,granicus,no-platform-link-found,https://pitkincounty.granicus.com/player/clip/627?view_id=2,,,
us:place:0871755,Snowmass Village town,Colorado,United States,2965,snowmassvillage.granicus.com,granicus,no-platform-link-found,https://snowmassvillage.granicus.com/player/clip/1577,https://tosvco.portal.civicclerk.com/,tosv.com,
us:place:1033120,Harrington city,Delaware,United States,3974,harringtondelaware.gov,civicweb,meeting-without-video,,https://cityofharrington.civicweb.net/Portal/Default.aspx,harrington.delaware.gov,
us:place:1204150,Bay Lake city,Florida,United States,19,rcid.org,escribe,no-platform-link-found,,,,
us:place:1209625,Bushnell city,Florida,United States,3157,cityofbushnellfl.com,vimeo,meeting-without-video,,https://player.vimeo.com/video/70080096?h=dc533513bb&portfolio_id=168353,,
us:place:1237625,Lake Buena Vista city,Florida,United States,25,rcid.org,escribe,no-platform-link-found,,,,
us:place:1274925,Waldo city,Florida,United States,814,waldo-fl.com,escribe,meeting-without-video,,https://pub-alachuacounty.escribemeetings.com/,,
us:place:1316460,Clarkesville city,Georgia,United States,2186,clarkesvillega.com,granicus,no-platform-link-found,,,,
us:place:1348232,Lyons city,Georgia,United States,4260,lyonsga.gov,iqm2,meeting-without-video,https://lyonsga.iqm2.com/Citizens/Board,https://lyonsga.gov/government/city_council_leadership.php,lyonsga.org,
us:county:13259,Stewart County,Georgia,United States,4631,stewartcountyga.gov,wistia,,https://gasos.wistia.com/medias/mgldoxzyjk,,,
us:place:1376364,Thunderbolt town,Georgia,United States,2534,thunderboltga.org,municode_meetings,meeting-without-video,,https://thunderboltga.org/government/mayor___council_members/request_to_be_on_council_agenda.php,,
us:place:1378036,Tybee Island city,Georgia,United States,3156,cityoftybee.gov,cablecast,meeting-without-video,https://reflect-vod-cityoftybee.cablecast.tv/CablecastPublicSite/watch-now?site=1,https://cityoftybee.gov/129/Agendas-Minutes,cityoftybee.org,
us:place:1703883,Barrington Hills village,Illinois,United States,4086,vbhil.granicus.com,granicus,no-platform-link-found,https://vbhil.granicus.com/player/clip/492?view_id=1,https://barringtonhills-il.gov/village-board-of-trustees/,barringtonhills-il.gov,
us:place:1735866,Hometown city,Illinois,United States,4191,hometown.cablecast.tv,cablecast,,http://hometown.cablecast.tv/show/209?site=1,,cityofhometown.org,
us:place:1800820,Albion town,Indiana,United States,2261,albion-in.org,vimeo,meeting-without-video,,https://vimeo.com/140685552,albionin.org,
us:place:1853352,New Palestine town,Indiana,United States,3621,townofnewpalestine.org,civicweb,meeting-without-video,,https://www.newpalestine.in.gov/agendasandminutes,,
us:place:1923115,Dyersville city,Iowa,United States,4574,cityofdyersville.com,cablecast,meeting-without-video,,,,
us:place:1980445,Van Meter city,Iowa,United States,1978,vanmeteria.gov,civicclerk,no-platform-link-found,,,,
us:place:1985845,Williamsburg city,Iowa,United States,3408,williamsburgiowa.gov,civicweb,no-platform-link-found,https://williamsburg.civicweb.net/Portal/MeetingInformation.aspx?Id=1209,,,
us:place:2001975,Anthony city,Kansas,United States,2034,anthonykansas.org,municode_meetings,meeting-without-video,,https://anthony-ks.municodemeetings.com/,,
us:county:20093,Kearny County,Kansas,United States,3888,kearny.iqm2.com,iqm2,no-video-found,,https://kearny.iqm2.com/Citizens/default.aspx,kearnycountykansas.com,
us:place:2123968,Edmonton city,Kentucky,United States,1713,pub-edmonton.escribemeetings.com,escribe,meeting-without-video,https://pub-edmonton.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=6f5d15ef-01bf-411b-8af1-0b22d2f92009&Item=54&Tab=attachments&lang=English,https://trust.escribemeetings.com/TrustCenter,cityofedmontonky.com,
us:place:2183172,Wilder city,Kentucky,United States,3108,wilderky.gov,cablecast,no-meeting-nor-video,https://reflect-campbellcounty.cablecast.tv/internetchannel/show/60286?site=1,https://wilderky.gov/vacation-watch-request-form/,,
us:place:2267215,St. Francisville town,Louisiana,United States,1484,stfrancisville.net,vimeo,no-meeting-nor-video,,,,
us:place:2609000,Blissfield village,Michigan,United States,3262,blissfieldmichigan.gov,civicweb,no-platform-link-found,https://blissfield.civicweb.net/filepro/documents?expanded=28,https://blissfieldmichigan.gov/village-council/,,
