gov_id,city_name,state_or_province,platform,outcome,reason,final_seed,title,date,has_segments,segments_count,has_video_url,video_url,has_agenda_only,hand_decision
us:county:02164,Lake and Peninsula Borough,Alaska,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://lakeandpen.civicweb.net/filepro/documents),https://lakeandpen.civicweb.net/filepro/documents,,,,,,,,
us:county:02195,Petersburg Borough,Alaska,granicus,candidate_tier3,,https://petersburg.granicus.com/MediaPlayer.php?clip_id=2235&view_id=2,"Planning Commission on 2021-03-09 12:00 PM - ZOOM MEETING - Mar 9th, 2021",2021-03-09,,,yes,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/petersburg/petersburg_9813f9b1-990c-4ed6-a5c5-1cb84332a68a.mp4/playlist.m3u8,,
us:place:0282200,Valdez city,Alaska,granicus,candidate_tier3,,https://valdez.granicus.com/player/clip/2246?view_id=3,City Council on 2024-09-17 7:00 PM - Regular Meeting,2024-09-17,,,yes,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/valdez/valdez_29c79e4b-75eb-11ef-9b71-005056a89546.mp4/playlist.m3u8,,
ca:csd:4802013,Coalhurst,Alberta,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://coalhurst.community-ca.diligentoneplatform.com/Portal),https://coalhurst.community-ca.diligentoneplatform.com/Portal,,,,,,,,
ca:csd:4807012,Coronation,Alberta,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://coronation.civicweb.net/filepro/documents/),https://coronation.civicweb.net/filepro/documents/,,,,,,,,
ca:csd:4819074,Grimshaw,Alberta,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://grimshaw.civicweb.net/portal/),https://grimshaw.civicweb.net/portal/,,,,,,,,
ca:csd:4807048,Hardisty,Alberta,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://hardisty.civicweb.net/Portal/MeetingTypeList.aspx),https://hardisty.civicweb.net/Portal/MeetingTypeList.aspx,,,,,,,,
ca:csd:4803014,Pincher Creek,Alberta,escribe,no-platform-link-found,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days,,,,,,,,,
ca:csd:4817097,Rainbow Lake,Alberta,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://rainbowlake.civicweb.net/portal/),https://rainbowlake.civicweb.net/portal/,,,,,,,,
ca:csd:4808044,Rimbey,Alberta,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://rimbey.civicweb.net/Portal/MeetingTypeList.aspx),https://rimbey.civicweb.net/Portal/MeetingTypeList.aspx,,,,,,,,
ca:csd:4807044,Sedgewick,Alberta,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://sedgewick.civicweb.net/Portal/),https://sedgewick.civicweb.net/Portal/,,,,,,,,
us:place:0419145,Dewey-Humboldt town,Arizona,granicus,candidate_tier3,,https://dhaz.granicus.com/player/clip/1385?view_id=2,Town Council Study Session,,,,yes,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/dhaz/dhaz_8d98f522-4718-434e-bd91-7464b71522a9.mp4/playlist.m3u8,,
us:place:0535500,Johnson city,Arkansas,municode_meetings,no-platform-link-found,no municode_meetings link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:0548560,Nashville city,Arkansas,cablecast,no-meeting-nor-video,resolved but no transcript/agenda/video (http://nashville.cablecast.tv/internetchannel/show/14395?site=1),http://nashville.cablecast.tv/internetchannel/show/14395?site=1,"Metropolitan Council Committee: Budget & Finance August 31, 2026",,,,,,,
ca:csd:5951022,Burns Lake,British Columbia,escribe,no-platform-link-found,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days,,,,,,,,,
ca:csd:5955010,Chetwynd,British Columbia,escribe,no-platform-link-found,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days,,,,,,,,,
ca:csd:5933067,Clearwater,British Columbia,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://districtofclearwater.civicweb.net/Portal),https://districtofclearwater.civicweb.net/Portal,,,,,,,,
ca:csd:5905005,Fruitvale,British Columbia,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://fruitvale.civicweb.net/document/46406),https://fruitvale.civicweb.net/document/46406,,,,,,,,
ca:csd:5905032,Grand Forks,British Columbia,escribe,candidate_tier3,,https://pub-grand-forks.escribemeetings.com/Meeting.aspx?Id=0a99c7a9-840b-4a61-832d-b6975a2855e5&Agenda=PostMinutes&lang=English,Regular Meeting,2023-03-27,,,yes,https://cdn1.isilive.ca/vod/_definst_/mp4:grandforks/New%20Encoder_Regular%20Meeting_2023-03-27-12-59.mp4/playlist.m3u8,,
ca:csd:5949022,Hazelton,British Columbia,escribe,no-platform-link-found,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days,,,,,,,,,
ca:csd:5917049,Highlands,British Columbia,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://highlandsbc.community-ca.diligentoneplatform.com/Portal),https://highlandsbc.community-ca.diligentoneplatform.com/Portal,,,,,,,,
ca:csd:5951034,Houston,British Columbia,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://houston.civicweb.net/filepro/documents),https://houston.civicweb.net/filepro/documents,,,,,,,,
ca:csd:5955025,Hudson's Hope,British Columbia,escribe,no-platform-link-found,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days,,,,,,,,,
ca:csd:5921008,Lantzville,British Columbia,escribe,no-platform-link-found,no escribe link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
ca:csd:5903050,Nakusp,British Columbia,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://nakusp.civicweb.net/filepro/documents/4616),https://nakusp.civicweb.net/filepro/documents/4616,,,,,,,,
ca:csd:5931012,Pemberton,British Columbia,escribe,no-platform-link-found,escribe tenant calendar: no HasVideo meeting via GetCalendarMeetings in the last 120 days,,,,,,,,,
us:place:0636434,Indian Wells city,California,escribe,no-platform-link-found,no escribe link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
us:place:0859830,Pitkin town,Colorado,granicus,candidate_tier3,,https://pitkincounty.granicus.com/player/clip/627?view_id=2,Pitkin County BOCC Work Session,2015-04-28,,,yes,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/pitkincounty/pitkincounty_9302dc87-4472-4bf3-9bdb-de77b7d389cd.mp4/playlist.m3u8,,
us:place:0871755,Snowmass Village town,Colorado,granicus,candidate_tier3,,https://snowmassvillage.granicus.com/player/clip/1577,Town Council - Work Session,,,,yes,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:archive/snowmassvillage/snowmassvillage_837c2d45-c701-409f-933e-a380e447aa92.mp4/playlist.m3u8,,
us:place:1033120,Harrington city,Delaware,civicweb,no-meeting-nor-video,resolved but no transcript/agenda/video (https://cityofharrington.civicweb.net/Portal/Default.aspx),https://cityofharrington.civicweb.net/Portal/Default.aspx,,,,,,,,
us:place:1204150,Bay Lake city,Florida,escribe,no-platform-link-found,no escribe link found on hit_source_url or first 4 hop2_urls,,,,,,,,,
