gov_id,city_name,state_or_province,country,population_estimate,domain,platform,reject_reason,example_meeting_url,example_agenda_or_calendar_url,alternate_domains,alternate_urls
us:place:0133424,Hartford city,Alabama,United States,2801,cityofhartfordal.org,,no-video-found,,https://cityofhartfordal.org/agendacenter,,
us:place:0159088,Perdido Beach town,Alabama,United States,590,townofperdidobeach.org,,no-video-found,,https://www.townofperdidobeach.org/list.aspx#agendaCenter,,
us:place:0200065,Adak city,Alaska,United States,112,adak-ak.gov,,no-video-found,,https://adak-ak.gov/agendacenter,,
us:place:0406260,Bisbee city,Arizona,United States,4860,bisbeeaz.gov,,no-video-found,,https://bisbeeaz.gov/agendacenter,cityofbisbee.com,
us:place:0481480,Wellton town,Arizona,United States,2671,welltonaz.gov,,no-video-found,,https://welltonaz.gov/agendacenter,town.wellton.az.us,
us:place:0650874,Nevada City city,California,United States,3174,nevadacityca.gov,,no-video-found,,https://nevadacityca.gov/agendacenter,,
us:place:0810600,Burlington city,Colorado,United States,3164,burlingtoncolo.com,,no-video-found,,https://burlingtoncolo.com/agendacenter,,
us:place:0835070,Hayden town,Colorado,United States,2250,haydencolorado.com,,no-video-found,,https://co-hayden.civicplus.com/AgendaCenter/,,
us:place:0870250,Silver Cliff town,Colorado,United States,713,silvercliffco.com,,no-video-found,,https://silvercliffco.com/list.aspx#agendaCenter,,
us:place:0886310,Wray city,Colorado,United States,2352,cityofwray.org,,no-video-found,,https://cityofwray.org/agendacenter,,
us:place:1015440,Clayton town,Delaware,United States,4527,clayton.delaware.gov,,no-video-found,,https://www.clayton.delaware.gov/AgendaCenter,,
us:place:1242625,Malabar town,Florida,United States,3175,townofmalabar.org,,no-video-found,,https://www.townofmalabar.org/AgendaCenter,,
us:place:1330424,Folkston city,Georgia,United States,4767,cityoffolkston-ga.gov,,no-video-found,,https://ga-folkston.civicplus.com/AgendaCenter,,
us:place:1345768,Leesburg city,Georgia,United States,3597,leesburgga.gov,,no-video-found,,https://leesburgga.gov/agendacenter,cityofleesburgga.com,
us:place:1346860,Lithonia city,Georgia,United States,2608,lithoniacity.gov,,no-video-found,,https://ga-lithonia.civicplus.com/AgendaCenter,,
us:place:1609370,Bonners Ferry city,Idaho,United States,2797,bonnersferry.id.gov,,no-video-found,,https://www.bonnersferry.id.gov/agendacenter,bonners-ferry.com,
us:place:1636730,Hazelton city,Idaho,United States,827,cityofhazelton.com,,no-video-found,,https://www.cityofhazelton.com/agendacenter,,
