# WO-290 youtube-only leads (under 5,000, not school district, no page) -- for the drip lane.
# gov_id	city_name	state_or_province	domain	reject_reason
us:place:0177880	Union Springs city	Alabama	unionspringsal.gov	meeting-without-video
us:county:02013	Aleutians East Borough	Alaska	aleutianseast.org	meeting-without-video
us:county:02060	Bristol Bay Borough	Alaska	bristolbayboroughak.us	no-platform-link-found
ca:csd:4805048	Three Hills	Alberta	threehills.ca	rejected-by-probe
us:place:0433280	Holbrook city	Arizona	holbrookaz.gov	video-no-captions-queued
us:place:0518550	Des Arc city	Arkansas	desarcpd.com	no-platform-link-found
us:place:0820440	Dillon town	Colorado	dillonco.gov	video-no-captions-queued
us:place:0851635	Monte Vista city	Colorado	montevista.gov	
us:place:0862880	Rangely town	Colorado	townofrangely.colorado.gov	
us:place:0884770	Wiggins town	Colorado	wigginsco.gov	no-platform-link-found
us:place:1041310	Laurel town	Delaware	townoflaurel.net	
us:place:1302564	Arabi town	Georgia	cityofarabi.com	no-platform-link-found
us:place:1312120	Butler city	Georgia	cityofbutlerga.com	no-platform-link-found
us:place:1332528	Georgetown-Quitman County unified government	Georgia	gqc-ga.org	no-platform-link-found
us:place:1345936	Lenox town	Georgia	municipalimpact.com	no-platform-link-found
us:place:1371282	Sky Valley city	Georgia	skyvalleyga.com	signature-found-not-verified
us:place:1703610	Bannockburn village	Illinois	bannockburn.org	no-platform-link-found
us:place:1724764	Fairbury city	Illinois	fairburyil.gov	meeting-without-video
us:place:1735398	Hoffman village	Illinois	villageofhoffman.us	no-platform-link-found
us:place:1750530	Morrison city	Illinois	morrisonil.org	meeting-without-video
us:place:1751128	Mount Pulaski city	Illinois	cityofmtpulaski.com	no-platform-link-found
us:place:1779397	Wayne village	Illinois	villageofwayne.org	no-platform-link-found
us:place:1809910	Camden town	Indiana	townofcamden.org	cloudflare-challenge-blocked
us:place:1834420	Homecroft town	Indiana	townofhomecroftin.gov	no-meeting-nor-video
us:place:1843434	Liberty town	Indiana	libertyin.gov	signature-found-not-verified
us:place:1856286	Oldenburg town	Indiana	oldenburgindiana.org	no-platform-link-found
us:place:1864980	Roachdale town	Indiana	townofroachdale.org	no-platform-link-found
us:place:1876310	Trafalgar town	Indiana	townoftrafalgar.org	
us:place:1937470	Hudson city	Iowa	cityofhudsonia.com	meeting-without-video
us:place:1964740	Princeton city	Iowa	princetoniowa.us	rejected_by_probe
us:place:2036550	Kensington city	Kansas	kensingtonks.net	no-platform-link-found
us:place:2057700	Pretty Prairie city	Kansas	cityofprettyprairie.org	no-platform-link-found
us:place:2156910	Nortonville city	Kentucky	um-palembang.ac.id	video-without-meeting
us:place:2466275	Rising Sun town	Maryland	risingsunmd.org	meeting-without-video
us:place:2479875	Upper Marlboro town	Maryland	uppermarlboromd.gov	
us:place:2603740	Ashley village	Michigan	ashleyvillage.org	no-platform-link-found
us:place:2611000	Brooklyn village	Michigan	villageofbrooklyn.com	no-platform-link-found
us:place:2613880	Cass City village	Michigan	casscity.org	meeting-without-video
us:place:2632980	Goodrich village	Michigan	village.of.goodrich.com	dns-unresolvable
us:place:2636560	Harbor Springs city	Michigan	cityofharborsprings.com	signature-found-not-verified
us:place:2644715	Lake Isabella village	Michigan	lakeisabellami.org	signature-found-not-verified
us:place:2659220	Norway city	Michigan	norwaymi.gov	video-no-captions-queued
us:place:2661220	Ortonville village	Michigan	ortonvillevillage.com	no-platform-link-found
us:place:2663540	Pentwater village	Michigan	pentwatervillage.org	rejected-by-probe
us:place:2707516	Breezy Point city	Minnesota	breezypointmn.gov	cloudflare-challenge-blocked
us:place:2720222	Fairfax city	Minnesota	fairfax-mn.gov	no-platform-link-found
us:place:2724992	Grand Marais city	Minnesota	ci.grand-marais.mn.us	signature-found-not-verified
us:place:2725334	Grant city	Minnesota	cityofgrant.com	no-platform-link-found
us:place:2726576	Hallock city	Minnesota	hallockmn.org	no-platform-link-found
us:place:2732840	Kenyon city	Minnesota	cityofkenyon.gov	no-platform-link-found
us:place:2741138	Mayer city	Minnesota	mayermn.gov	meeting-without-video
us:place:2743144	Minnesota City city	Minnesota	minnesotacitymn.gov	no-platform-link-found
us:place:2765272	Tower city	Minnesota	cityoftower.gov	no-platform-link-found
us:place:2912898	Centralia city	Missouri	centraliamo.gov	cloudflare-challenge-blocked
us:place:2917668	Cuba city	Missouri	cubamomurals.com	video-no-captions-queued
us:place:2938612	Kimberling City city	Missouri	kimberlingcity.net	video-no-captions-queued
us:place:2953650	Oak Grove Village village	Missouri	cityofoakgrove.com	
us:place:2966800	Seymour city	Missouri	seymourmo.gov	dns-unresolvable
us:place:2974284	Twin Oaks village	Missouri	cityoftwinoaks.gov	
us:place:3071200	Stevensville town	Montana	townofstevensville.com	rejected_by_probe
us:place:3100415	Ainsworth city	Nebraska	cityofainsworth.com	no-platform-link-found
us:place:3100730	Alexandria village	Nebraska	alexandriane.com	video-no-captions-queued
us:place:3106295	Bridgeport city	Nebraska	bridgeportne.gov	no-platform-link-found
us:place:3111440	Crofton city	Nebraska	crofton-nebraska.com	no-platform-link-found
us:place:3471010	Stone Harbor borough	New Jersey	youtu.be	already-covered
us:place:3603331	Avoca village	New York	villageofavocany.com	no-platform-link-found
us:place:3616419	Clinton village	New York	www.clintondcny.gov	
us:place:3682678	Wolcott village	New York	villageofwolcottny.gov	no-meeting-nor-video
us:place:3700500	Ahoskie town	North Carolina	www.youtube.com	no-platform-link-found
us:place:3706800	Boiling Springs town	North Carolina	boilingspringsnc.gov	video-no-captions-queued
us:place:3709530	Cajah's Mountain town	North Carolina	cajahsmtn.com	meeting-without-video
us:place:3722820	Farmville town	North Carolina	farmvillenc.gov	cloudflare-challenge-blocked
us:place:3736500	Lake Lure town	North Carolina	townoflakelure.com	blocked-plain-http
us:place:3760180	Sedalia town	North Carolina	sedalianc.org	no-platform-link-found
