file,url,host,platform,kind,detail,gov_id,source_url_override,strength,match,source,evidence_gov_id_unresolvable,evidence_conflict
tier3_auto_transcription_queue.txt,https://youtu.be/HSeZ-fmWnmM,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=jrkIIUfzUy8,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/4D1rlcI5EHU,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=PiunVGKidIk&list=PLnGV6r4WDnpY2MjIzqfPNe37UHs60U5Vb&index=4,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=u-Td937EG8I&list=PLnGV6r4WDnpY2MjIzqfPNe37UHs60U5Vb&index=2,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/embed/JVYzmjogFKM?autoplay=0&start=0&rel=0,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/embed/ESfzST-yOSM?si=4EKaKTtJZK4jTT-q,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.middletown.delaware.gov/events/97568/,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/live/O0rA3d4CF84?si=hjSFoQPXVBb3-vnu,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.belairmd.org/,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/live/uQ3rK9rI1g8,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.townofcentreville.org/,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/33WZKCGJNmg,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://www.boonton.org/,,,,,
tier3_auto_transcription_queue.txt,https://videoplayer.telvue.com/player/xAkU_1Eb4e9C1-YCioqZmvaGx4GumMyB/playlists/3943/stream/393,videoplayer.telvue.com,telvue,no-owner,videoplayer.telvue.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.cliftonnj.org/,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/zSh2DIrld8E,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://stoneharbornj.org/agendameetings/watch-mayor-and-council-meetings-online/borough-council-agendas-minutes/,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=YavJncgqinc&list=PLicvhyhiZ7gzoNt4olVP-3LGGOM0oWC9E&index=1,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=tD-DTUDaWXU&list=PLicvhyhiZ7gyjMzt7NxqLeGECYABoqWNe&index=1,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/MvBKkL0vxaA,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/V_Yb9586WDU,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://sccmo.org,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=fApeL8BGY6s,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.tippecanoe.in.gov,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/32QIE_RB3Ag,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://www.peoriacounty.gov,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/3QMg2tenXEg,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://dallascountyiowa.gov,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/A9FiQOaLGSI,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://casscounty.com,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=xUQgC8-bjLg&t=160s,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://monroenc.org/m/newsflash/home/detail/841,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=Wts1NtEOgtM,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://muscatinecountyiowa.gov/supervisors/meetings_minutes/,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/live/8gR_xahCwkM​,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.crawfordcountykansas.org/,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=pAFyYoYXa30,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://www.pickenscountyga.gov,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=X_nXhhYrR3I,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,https://cityofwildwood.com,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/VhlRRqRhMvE,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,https://morrisoncountymn.gov/,,,,,
