file,url,host,platform,kind,detail,gov_id,source_url_override,strength,match,source,evidence_gov_id_unresolvable,evidence_conflict
tier3_auto_transcription_queue.txt,https://mandannd.portal.civicclerk.com/event/344/media,mandannd.portal.civicclerk.com,civicclerk,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/HSeZ-fmWnmM,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=jrkIIUfzUy8,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://youtu.be/4D1rlcI5EHU,youtu.be,youtube,no-owner,youtu.be is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=PiunVGKidIk&list=PLnGV6r4WDnpY2MjIzqfPNe37UHs60U5Vb&index=4,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.youtube.com/watch?v=u-Td937EG8I&list=PLnGV6r4WDnpY2MjIzqfPNe37UHs60U5Vb&index=2,www.youtube.com,youtube,no-owner,www.youtube.com is a MULTI_GOV_HOSTS host with no matching pin,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1073417.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1085157.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1081495.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1107363.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1032973.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1055725.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1095705.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1102315.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
tier3_auto_transcription_queue.txt,https://www.utah.gov/pmn/sitemap/notice/1010733.html,www.utah.gov,www.utah.gov,registry,not in MULTI_GOV_HOSTS -- single-tenant vendor host,,,,,,,
